<<<<<<< HEAD
Cytotype,Latitude,Longitude
diploid,35.085629,-79.428543
diploid,35.143899,-78.966303
diploid,35.253418,-79.030944
diploid,35.072211,-79.431094
diploid,34.974902,-79.654324
diploid,35.112591,-79.386016
diploid,35.000207,-79.210306
diploid,35.305147,-78.781391
diploid,35.05706,-79.501005
diploid,34.810093,-79.06226
diploid,34.954675,-79.220895
diploid,34.943432,-79.446673
diploid,35.504613,-78.813916
diploid,35.253396,-79.031059
diploid,35.142741,-78.966518
diploid,35.113715,-79.386016
diploid,35.085629,-79.428543
diploid,34.954675,-79.220895
diploid,35.000207,-79.210306
diploid,35.072211,-79.431094
diploid,35.05706,-79.501005
diploid,34.974902,-79.654324
diploid,34.943432,-79.446673
diploid,34.810093,-79.06226
diploid,34.874473,-79.658331
diploid,34.827989,-79.591719
diploid,34.618538,-79.877121
diploid,34.624627,-80.084345
diploid,34.522147,-80.037214
diploid,34.381971,-80.076904
diploid,34.42847,-80.187742
tetraploid,35.057813,-78.876529
tetraploid,35.042303,-78.795813
tetraploid,35.042576,-78.775148
tetraploid,34.964678,-78.849134
tetraploid,34.851521,-79.04447
tetraploid,34.79964,-78.907977
tetraploid,34.805996,-78.884074
tetraploid,34.866685,-77.882982
tetraploid,34.656404,-78493049
tetraploid,34.553387,-78.254495
tetraploid,34.50187,-79.111646
tetraploid,34.076424,-77.894628
tetraploid,34.041226,-77.896002
tetraploid,33.958734,-78.07501
tetraploid,33.822995,-81.628356
tetraploid,33.976895,-81.344135
tetraploid,34.035944,-81.003655
tetraploid,33.982794,-81.09398
tetraploid,34.280004,-80.559274
tetraploid,33.889416,-81.162162
tetraploid,33.808982,-81.63445
tetraploid,33.572222,-81.707039
tetraploid,33.571984,-81.55246
tetraploid,33.489466,-82.255026
tetraploid,33.514182,-79.086768
tetraploid,33.510333,-79.252075
tetraploid,33.373633,-79.822779
tetraploid,32.871024,-81.648949
tetraploid,32.636978,-81.4568
tetraploid,32.531709,-82.606514
tetraploid,32.446423,-82.380374
tetraploid,32.578761,-82.1391
tetraploid,32.586165,-82.150927
tetraploid,31.542942,-83.38381
tetraploid,30.370885,-82.152103
tetraploid,30.549138,-81.621015
tetraploid,30.318971,-81.804044
tetraploid,30.131277,-82.040427
tetraploid,30.158976,-82.030106
tetraploid,29.787301,-81.646599
tetraploid,29.610036,-82.244215
tetraploid,29.652412,-82.30979
tetraploid,29.615646,-81.975473
tetraploid,29.630554,-81740765
tetraploid,35.057813,-78.876529
tetraploid,35.042303,-78.795813
tetraploid,35.042576,-78.775148
tetraploid,34.964678,-78.849134
tetraploid,34.851521,-79.04447
tetraploid,34.79964,-78.907977
tetraploid,34.805996,-78.884074
tetraploid,34.866685,-77.882982
tetraploid,34.656404,-78493049
tetraploid,34.553387,-78.254495
tetraploid,34.50187,-79.111646
tetraploid,34.076424,-77.894628
tetraploid,34.041226,-77.896002
tetraploid,33.958734,-78.07501
tetraploid,34.697607,-79.527118
tetraploid,34.502269,-79.86168
tetraploid,34.34784,-80.104212
tetraploid,34.448432,-80.265505
tetraploid,34.437354,-80.287521
tetraploid,34.40565,-80.362051
tetraploid,34.35877,-80.452059
tetraploid,34.29867,-80.55097
tetraploid,34.280004,-80.559274
tetraploid,33.982794,-81.09398
tetraploid,34.035944,-81.003655
tetraploid,33.97575,-81.128109
tetraploid,33.976895,-81.344135
tetraploid,33.822995,-81.628356
tetraploid,33.808982,-81.63445
tetraploid,33.889416,-81.162162
tetraploid,33.572222,-81.707039
tetraploid,33.571984,-81.55246
tetraploid,33.514182,-79.086768
tetraploid,33.510333,-79.252075
tetraploid,33.373633,-79.822779
=======
Cytotype,Latitude,Longitude
diploid,35.085629,-79.428543
diploid,35.143899,-78.966303
diploid,35.253418,-79.030944
diploid,35.072211,-79.431094
diploid,34.974902,-79.654324
diploid,35.112591,-79.386016
diploid,35.000207,-79.210306
diploid,35.305147,-78.781391
diploid,35.05706,-79.501005
diploid,34.810093,-79.06226
diploid,34.954675,-79.220895
diploid,34.943432,-79.446673
diploid,35.504613,-78.813916
diploid,35.253396,-79.031059
diploid,35.142741,-78.966518
diploid,35.113715,-79.386016
diploid,35.085629,-79.428543
diploid,34.954675,-79.220895
diploid,35.000207,-79.210306
diploid,35.072211,-79.431094
diploid,35.05706,-79.501005
diploid,34.974902,-79.654324
diploid,34.943432,-79.446673
diploid,34.810093,-79.06226
diploid,34.874473,-79.658331
diploid,34.827989,-79.591719
diploid,34.618538,-79.877121
diploid,34.624627,-80.084345
diploid,34.522147,-80.037214
diploid,34.381971,-80.076904
diploid,34.42847,-80.187742
tetraploid,35.057813,-78.876529
tetraploid,35.042303,-78.795813
tetraploid,35.042576,-78.775148
tetraploid,34.964678,-78.849134
tetraploid,34.851521,-79.04447
tetraploid,34.79964,-78.907977
tetraploid,34.805996,-78.884074
tetraploid,34.866685,-77.882982
tetraploid,34.656404,-78493049
tetraploid,34.553387,-78.254495
tetraploid,34.50187,-79.111646
tetraploid,34.076424,-77.894628
tetraploid,34.041226,-77.896002
tetraploid,33.958734,-78.07501
tetraploid,33.822995,-81.628356
tetraploid,33.976895,-81.344135
tetraploid,34.035944,-81.003655
tetraploid,33.982794,-81.09398
tetraploid,34.280004,-80.559274
tetraploid,33.889416,-81.162162
tetraploid,33.808982,-81.63445
tetraploid,33.572222,-81.707039
tetraploid,33.571984,-81.55246
tetraploid,33.489466,-82.255026
tetraploid,33.514182,-79.086768
tetraploid,33.510333,-79.252075
tetraploid,33.373633,-79.822779
tetraploid,32.871024,-81.648949
tetraploid,32.636978,-81.4568
tetraploid,32.531709,-82.606514
tetraploid,32.446423,-82.380374
tetraploid,32.578761,-82.1391
tetraploid,32.586165,-82.150927
tetraploid,31.542942,-83.38381
tetraploid,30.370885,-82.152103
tetraploid,30.549138,-81.621015
tetraploid,30.318971,-81.804044
tetraploid,30.131277,-82.040427
tetraploid,30.158976,-82.030106
tetraploid,29.787301,-81.646599
tetraploid,29.610036,-82.244215
tetraploid,29.652412,-82.30979
tetraploid,29.615646,-81.975473
tetraploid,29.630554,-81740765
tetraploid,35.057813,-78.876529
tetraploid,35.042303,-78.795813
tetraploid,35.042576,-78.775148
tetraploid,34.964678,-78.849134
tetraploid,34.851521,-79.04447
tetraploid,34.79964,-78.907977
tetraploid,34.805996,-78.884074
tetraploid,34.866685,-77.882982
tetraploid,34.656404,-78493049
tetraploid,34.553387,-78.254495
tetraploid,34.50187,-79.111646
tetraploid,34.076424,-77.894628
tetraploid,34.041226,-77.896002
tetraploid,33.958734,-78.07501
tetraploid,34.697607,-79.527118
tetraploid,34.502269,-79.86168
tetraploid,34.34784,-80.104212
tetraploid,34.448432,-80.265505
tetraploid,34.437354,-80.287521
tetraploid,34.40565,-80.362051
tetraploid,34.35877,-80.452059
tetraploid,34.29867,-80.55097
tetraploid,34.280004,-80.559274
tetraploid,33.982794,-81.09398
tetraploid,34.035944,-81.003655
tetraploid,33.97575,-81.128109
tetraploid,33.976895,-81.344135
tetraploid,33.822995,-81.628356
tetraploid,33.808982,-81.63445
tetraploid,33.889416,-81.162162
tetraploid,33.572222,-81.707039
