Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmin9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmin9 permutation importance,Training gain without ppt9,Training gain without tmean9,Training gain without vpdmin9,Training gain with only ppt9,Training gain with only tmean9,Training gain with only vpdmin9,Test gain without ppt9,Test gain without tmean9,Test gain without vpdmin9,Test gain with only ppt9,Test gain with only tmean9,Test gain with only vpdmin9,AUC without ppt9,AUC without tmean9,AUC without vpdmin9,AUC with only ppt9,AUC with only tmean9,AUC with only vpdmin9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,63,0.5583,0.8225,600,0.8384,8,0.1191,0.6565,0.0871,10063,21.9160,65.4066,12.6775,27.3308,62.6101,10.0591,0.3981,0.3923,0.5170,0.2244,0.3807,0.1618,-0.0250,-0.2431,0.1786,-0.0658,0.0183,-0.2454,0.6085,0.5592,0.6725,0.5618,0.6042,0.5420,8.6592,0.3416,1.0000,0.0805,0.8143,0.0000,0.0000,1.933E-1,5.0000,0.1831,0.6480,0.0476,0.0000,3.11E-2,10.0000,0.2623,0.5329,0.0952,0.3750,4.374E-1,1.3683,0.0948,0.7914,0.0000,0.0000,1.539E-1,17.3692,0.3447,0.4164,0.0952,0.5000,4.442E-1,36.6274,0.5412,0.2222,0.2222,0.6250,2.538E-1,32.5572,0.4974,0.2540,0.1587,0.6250,3.314E-1,16.3842,0.3350,0.4300,0.0952,0.3750,2.235E-1,5.3531,0.1889,0.6382,0.0635,0.0000,2.751E-2,1.3683,0.0948,0.7914,0.0000,0.0000,1.539E-1,8.0395,0.2312,0.5726,0.0952,0.2500,2.608E-1
species_1,64,0.4919,0.8072,960,0.8474,7,0.8142,0.8560,0.0495,10064,22.8808,68.4450,8.6742,25.3172,68.0940,6.5888,0.3385,0.3177,0.4606,0.1843,0.3254,0.1180,0.6238,0.4236,0.7603,0.2949,0.5854,0.1202,0.8250,0.7586,0.8521,0.7082,0.8146,0.6493,8.7248,0.3677,1.0000,0.0845,0.8156,0.0000,0.0000,2.4E-1,5.0000,0.2147,0.6627,0.0000,0.0000,5.611E-2,10.0000,0.3029,0.5610,0.0156,0.0000,1.749E-2,5.0427,0.2154,0.6617,0.0000,0.0000,5.552E-2,22.4992,0.4086,0.3921,0.0938,0.1429,1.689E-2,38.6533,0.5419,0.2344,0.2344,0.1429,9.278E-4,29.9762,0.4607,0.3116,0.1250,0.1429,4.697E-3,40.0108,0.5554,0.2240,0.2656,0.2857,7.841E-3,40.0006,0.5551,0.2240,0.2656,0.1429,7.139E-4,5.0427,0.2154,0.6617,0.0000,0.0000,5.552E-2,7.2865,0.2607,0.6114,0.0156,0.0000,3.193E-2
species_2,64,0.5687,0.8874,680,0.8539,7,0.1032,0.7048,0.0698,10064,23.6201,66.8278,9.5521,24.1785,70.5759,5.2455,0.3984,0.3657,0.5317,0.2103,0.3799,0.1383,0.0564,-0.0075,0.0731,0.0605,0.0537,-0.0556,0.6329,0.6361,0.6789,0.6455,0.6296,0.5541,8.6502,0.3387,1.0000,0.0709,0.7984,0.0000,0.0000,2.068E-1,5.0000,0.2006,0.6372,0.0000,0.1429,2.127E-1,10.0000,0.2823,0.5360,0.0312,0.1429,8.97E-2,7.6594,0.2506,0.5788,0.0000,0.1429,1.326E-1,18.9733,0.3520,0.4032,0.0938,0.1429,1.969E-2,34.8426,0.5002,0.2343,0.2344,0.8571,8.457E-1,29.0201,0.4305,0.2875,0.1406,0.2857,2.39E-2,29.2077,0.4315,0.2857,0.1562,0.2857,2.326E-2,24.7681,0.3960,0.3328,0.1406,0.1429,6.794E-3,5.0807,0.2030,0.6352,0.0000,0.1429,2.095E-1,8.2512,0.2585,0.5675,0.0156,0.1429,1.201E-1
species_3,64,0.4833,0.7746,580,0.8391,7,0.8669,0.8541,0.0561,10064,24.2748,67.6663,8.0589,26.7532,68.2969,4.9499,0.3308,0.3068,0.4596,0.1859,0.3214,0.1096,0.6888,0.5172,0.7555,0.2803,0.6162,0.1959,0.8474,0.7870,0.8352,0.7066,0.8286,0.7183,8.7348,0.3717,1.0000,0.0857,0.8192,0.0000,0.0000,2.475E-1,5.0000,0.2132,0.6641,0.0156,0.0000,5.7E-2,10.0000,0.3042,0.5612,0.0156,0.0000,1.753E-2,4.6447,0.2041,0.6735,0.0000,0.0000,6.285E-2,23.5338,0.4217,0.3831,0.0938,0.1429,1.487E-2,37.2862,0.5284,0.2484,0.2500,0.1429,1.295E-3,35.2702,0.5068,0.2654,0.1875,0.1429,1.89E-3,39.5363,0.5530,0.2305,0.2812,0.2857,8.938E-3,39.5352,0.5529,0.2305,0.2812,0.1429,8.429E-4,4.6447,0.2041,0.6735,0.0000,0.0000,6.285E-2,7.0210,0.2557,0.6175,0.0156,0.0000,3.425E-2
species_4,64,0.4768,0.7882,860,0.8456,7,0.9053,0.8648,0.0643,10064,25.0275,61.7875,13.1850,27.9218,62.3463,9.7319,0.3191,0.3100,0.4353,0.1782,0.2993,0.1118,0.7557,0.4723,0.9568,0.3371,0.7842,0.1695,0.8858,0.7669,0.8855,0.7775,0.9160,0.6648,8.7394,0.3741,1.0000,0.0827,0.8167,0.0000,0.0000,2.423E-1,5.0000,0.2140,0.6599,0.0000,0.0000,5.448E-2,10.0000,0.3040,0.5559,0.0156,0.0000,1.641E-2,5.8425,0.2323,0.6392,0.0000,0.0000,4.36E-2,28.0311,0.4665,0.3370,0.0938,0.1429,7.297E-3,37.8220,0.5465,0.2500,0.2500,0.1429,1.343E-3,25.5908,0.4521,0.3616,0.0625,0.1429,1.08E-2,53.7797,0.7046,0.1491,0.4062,0.1429,6.72E-5,53.7797,0.7046,0.1491,0.4062,0.1429,6.72E-5,5.2922,0.2198,0.6525,0.0000,0.0000,5.037E-2,6.6738,0.2461,0.6203,0.0156,0.0000,3.535E-2
species_5,64,0.4535,0.7734,760,0.8453,7,1.1426,0.9346,0.0256,10064,21.1152,71.0548,7.8300,25.3999,67.6440,6.9561,0.3207,0.2803,0.4256,0.1750,0.3085,0.0963,0.7692,0.7397,1.0447,0.3706,0.7224,0.3039,0.8889,0.8652,0.9268,0.7644,0.8811,0.7498,8.7616,0.3833,1.0000,0.0863,0.8202,0.0000,0.0000,2.496E-1,5.0000,0.2279,0.6666,0.0000,0.0000,5.851E-2,10.0000,0.3222,0.5690,0.0156,0.0000,1.93E-2,5.9417,0.2485,0.6447,0.0000,0.0000,4.628E-2,28.1698,0.4722,0.3490,0.0938,0.0000,6.302E-4,39.1631,0.5451,0.2500,0.2500,0.0000,6.104E-5,27.8207,0.4697,0.3524,0.0781,0.0000,6.755E-4,53.8634,0.7095,0.1526,0.4375,0.1429,7.69E-5,48.3008,0.6366,0.1840,0.4062,0.0000,7.146E-6,4.8513,0.2241,0.6704,0.0000,0.0000,6.087E-2,6.4235,0.2604,0.6343,0.0156,0.0000,4.133E-2
species_6,64,0.4945,0.7484,740,0.8281,7,0.6865,0.7899,0.1085,10064,23.4019,70.7439,5.8542,24.3194,68.7238,6.9568,0.3503,0.3210,0.4636,0.1976,0.3362,0.1117,0.3904,0.3815,0.6139,0.1708,0.3599,0.1755,0.7539,0.7227,0.7853,0.6948,0.7344,0.6891,8.7223,0.3664,1.0000,0.0840,0.8300,0.0000,0.0000,2.713E-1,5.0000,0.1933,0.6591,0.0156,0.1429,2.496E-1,10.0000,0.2888,0.5509,0.0469,0.2857,3.181E-1,3.7586,0.1611,0.6981,0.0000,0.0000,8.083E-2,16.1833,0.3647,0.4559,0.0938,0.2857,1.607E-1,38.3898,0.5614,0.2346,0.2344,0.2857,9.675E-3,37.5394,0.5540,0.2410,0.2188,0.2857,1.091E-2,32.0643,0.5034,0.2857,0.2031,0.2857,2.326E-2,75.2644,0.8618,0.0628,0.6562,0.2857,1.842E-5,3.7586,0.1611,0.6981,0.0000,0.0000,8.083E-2,6.9960,0.2432,0.6099,0.0156,0.2857,4.416E-1
species_7,64,0.4773,0.7909,1000,0.8473,7,0.8902,0.8836,0.0287,10064,22.3241,66.6844,10.9914,24.5043,66.4898,9.0059,0.3274,0.2908,0.4391,0.1646,0.3070,0.1086,0.7004,0.6111,0.8947,0.4311,0.7236,0.1967,0.8570,0.8420,0.8910,0.8064,0.8879,0.6661,8.7406,0.3746,1.0000,0.0853,0.8158,0.0000,0.0000,2.404E-1,5.0000,0.2182,0.6610,0.0000,0.0000,5.512E-2,10.0000,0.3058,0.5589,0.0156,0.0000,1.704E-2,6.8868,0.2552,0.6175,0.0000,0.0000,3.425E-2,30.6407,0.4815,0.3145,0.0938,0.0000,3.042E-4,38.5165,0.5397,0.2454,0.2500,0.1429,1.208E-3,30.6407,0.4815,0.3145,0.0938,0.0000,3.042E-4,54.9229,0.7248,0.1429,0.4531,0.1429,5.227E-5,36.4609,0.5198,0.2623,0.2188,0.0000,8.547E-5,5.1158,0.2200,0.6581,0.0000,0.0000,5.346E-2,6.7230,0.2520,0.6211,0.0000,0.0000,3.567E-2
species_8,64,0.5428,0.8636,520,0.8522,7,0.2812,0.7333,0.0537,10064,24.6012,69.1026,6.2961,25.3279,69.0053,5.6669,0.3616,0.3353,0.5114,0.2096,0.3460,0.1131,0.3819,0.1966,0.2410,0.0478,0.3735,0.1451,0.7344,0.6741,0.7045,0.6058,0.7372,0.6337,8.6760,0.3482,1.0000,0.0819,0.8136,0.0000,0.0000,2.36E-1,5.0000,0.1913,0.6493,0.0000,0.0000,4.868E-2,10.0000,0.2765,0.5396,0.0156,0.0000,1.333E-2,6.5519,0.2204,0.6103,0.0000,0.0000,3.153E-2,22.9936,0.3981,0.3620,0.0938,0.2857,6.399E-2,34.7093,0.4909,0.2441,0.2500,0.4286,6.527E-2,22.4345,0.3939,0.3684,0.0781,0.2857,6.885E-2,26.6055,0.4237,0.3222,0.1562,0.2857,3.919E-2,15.3697,0.3476,0.4574,0.0625,0.0000,4.187E-3,5.8111,0.2077,0.6282,0.0000,0.0000,3.86E-2,7.8131,0.2415,0.5823,0.0156,0.0000,2.269E-2
species_9,64,0.4813,0.7962,1000,0.8453,7,0.8796,0.8767,0.0399,10064,21.0957,73.7962,5.1081,22.5682,71.5429,5.8890,0.3444,0.2866,0.4586,0.1839,0.3323,0.0973,0.5475,0.6494,0.7800,0.3064,0.5239,0.2760,0.7969,0.8369,0.8476,0.7324,0.7984,0.7259,8.7381,0.3730,1.0000,0.0891,0.8226,0.0000,0.0000,2.549E-1,5.0000,0.2149,0.6661,0.0000,0.0000,5.82E-2,10.0000,0.3140,0.5665,0.0156,0.0000,1.872E-2,6.2158,0.2447,0.6373,0.0000,0.0000,4.271E-2,25.9420,0.4379,0.3614,0.0938,0.0000,8.05E-4,36.8293,0.5121,0.2557,0.2500,0.1429,1.526E-3,25.3993,0.4350,0.3672,0.0781,0.0000,9.01E-4,36.9678,0.5140,0.2545,0.2656,0.2857,1.394E-2,36.4225,0.5085,0.2591,0.2344,0.0000,7.848E-5,5.2095,0.2195,0.6609,0.0000,0.0000,5.506E-2,7.0551,0.2647,0.6196,0.0156,0.0000,3.507E-2
