x,y,species median
1.0,1.0,0.12675473
2.0,2.0,0.84168494
3.0,3.0,0.055537716
4.0,4.0,0.07863559
5.0,5.0,0.4950051
6.0,6.0,0.38507926
7.0,7.0,0.9470425
8.0,8.0,0.01910109
9.0,9.0,0.023061126
10.0,10.0,0.45003998
11.0,11.0,0.25785363
12.0,12.0,0.7727001
13.0,13.0,4.410006E-4
14.0,14.0,0.084533244
15.0,15.0,0.88152575
16.0,16.0,0.84323525
17.0,17.0,0.75482374
18.0,18.0,0.55226856
19.0,19.0,0.39014867
20.0,20.0,0.016597131
21.0,21.0,0.5342062
22.0,22.0,0.8118245
23.0,23.0,0.15275551
24.0,24.0,0.3024186
25.0,25.0,0.08549456
26.0,26.0,0.87887764
27.0,27.0,0.30603588
28.0,28.0,0.7597803
29.0,29.0,0.12364613
30.0,30.0,0.777212
31.0,31.0,0.0017541428
32.0,32.0,0.4045735
33.0,33.0,0.5912613
34.0,34.0,0.3476035
35.0,35.0,0.1027782
36.0,36.0,0.13939594
37.0,37.0,0.001157299
38.0,38.0,0.0017105137
39.0,39.0,0.74050355
40.0,40.0,0.0023620792
41.0,41.0,0.25712574
42.0,42.0,0.14583685
43.0,43.0,0.2890986
44.0,44.0,0.811374
45.0,45.0,1.608336E-5
46.0,46.0,0.036479108
47.0,47.0,0.016802398
48.0,48.0,0.35440716
49.0,49.0,0.6282144
50.0,50.0,0.0053466326
51.0,51.0,0.2968535
52.0,52.0,0.8553396
53.0,53.0,0.25163138
54.0,54.0,0.14030729
55.0,55.0,0.4015755
56.0,56.0,0.16234227
57.0,57.0,0.84823054
58.0,58.0,3.3550625E-4
59.0,59.0,0.114942625
60.0,60.0,0.2987352
61.0,61.0,0.47415897
62.0,62.0,0.5940021
63.0,63.0,0.2771486
64.0,64.0,5.73069E-6
65.0,65.0,0.5508645
66.0,66.0,0.7994283
67.0,67.0,0.09615559
68.0,68.0,0.15658131
69.0,69.0,0.073909186
70.0,70.0,0.7500377
71.0,71.0,0.3662155
72.0,72.0,5.3448055E-4
73.0,73.0,0.13901775
74.0,74.0,0.5534878
75.0,75.0,0.021360405
76.0,76.0,0.04122127
77.0,77.0,0.4720982
78.0,78.0,0.31408986
79.0,79.0,0.03913668
80.0,80.0,0.03319352
81.0,81.0,0.028106213
82.0,82.0,0.16244559
83.0,83.0,0.41273788
84.0,84.0,0.4919521
85.0,85.0,0.84834456
86.0,86.0,0.04908658
87.0,87.0,0.4269649
88.0,88.0,0.12684406
89.0,89.0,0.26740888
90.0,90.0,0.6192499
91.0,91.0,0.4181491
92.0,92.0,5.7482957E-5
93.0,93.0,0.13669056
94.0,94.0,5.946358E-5
95.0,95.0,0.06879501
96.0,96.0,0.4303719
97.0,97.0,0.49190694
98.0,98.0,0.36136118
99.0,99.0,0.4395818
100.0,100.0,0.052986845
101.0,101.0,0.21864961
102.0,102.0,0.64382035
103.0,103.0,0.07835202
104.0,104.0,0.7206922
105.0,105.0,0.097419396
106.0,106.0,0.22531474
107.0,107.0,0.054699074
108.0,108.0,0.6111723
109.0,109.0,0.42089808
110.0,110.0,0.3145411
111.0,111.0,0.007436243
112.0,112.0,0.116584845
113.0,113.0,0.7865146
114.0,114.0,0.13420945
115.0,115.0,0.63191015
116.0,116.0,0.44229075
117.0,117.0,0.31976947
118.0,118.0,0.073758855
119.0,119.0,0.13252887
120.0,120.0,0.21198109
121.0,121.0,0.09649585
122.0,122.0,0.07199489
123.0,123.0,0.038998816
124.0,124.0,0.53050345
125.0,125.0,0.4911496
126.0,126.0,0.34682104
127.0,127.0,0.19630954
128.0,128.0,0.0752449
129.0,129.0,0.71922296
130.0,130.0,0.22725065
131.0,131.0,0.42973122
132.0,132.0,0.0017031772
133.0,133.0,0.1621813
134.0,134.0,0.2587982
135.0,135.0,0.7100498
136.0,136.0,0.30937427
137.0,137.0,0.29390207
138.0,138.0,0.41239622
139.0,139.0,0.31371298
140.0,140.0,0.31638828
141.0,141.0,0.36938488
142.0,142.0,0.027057381
143.0,143.0,0.5965102
144.0,144.0,0.188828
145.0,145.0,0.24906154
146.0,146.0,0.09039605
147.0,147.0,0.23701635
148.0,148.0,0.0013133179
149.0,149.0,0.8293602
150.0,150.0,0.17833103
151.0,151.0,0.6997987
152.0,152.0,0.60013914
153.0,153.0,0.7196459
154.0,154.0,0.47548044
155.0,155.0,0.05896883
156.0,156.0,0.48395777
157.0,157.0,0.12459886
158.0,158.0,0.16106626
159.0,159.0,0.4610138
160.0,160.0,0.2953783
161.0,161.0,0.6578168
162.0,162.0,0.3490667
163.0,163.0,0.3962784
164.0,164.0,0.05522885
165.0,165.0,0.9551452
166.0,166.0,0.44808218
167.0,167.0,5.138726E-4
168.0,168.0,0.31052595
169.0,169.0,0.063513234
170.0,170.0,0.074298605
171.0,171.0,0.37114447
172.0,172.0,0.40626082
173.0,173.0,0.88381463
174.0,174.0,0.0232527
175.0,175.0,0.070146896
176.0,176.0,0.547314
177.0,177.0,0.5580323
178.0,178.0,0.18628426
179.0,179.0,0.4193108
180.0,180.0,0.49824876
181.0,181.0,0.10450027
182.0,182.0,0.009319439
183.0,183.0,0.4010874
184.0,184.0,0.041769918
185.0,185.0,0.9070843
186.0,186.0,0.46237597
187.0,187.0,0.41639227
188.0,188.0,0.90974176
189.0,189.0,0.50161827
190.0,190.0,0.77908576
191.0,191.0,0.32162955
192.0,192.0,0.2451928
193.0,193.0,0.009019887
194.0,194.0,0.82181156
195.0,195.0,0.34801507
196.0,196.0,0.37613028
197.0,197.0,0.06851871
198.0,198.0,0.7568163
199.0,199.0,0.14121047
200.0,200.0,0.42779347
201.0,201.0,0.684753
202.0,202.0,0.22325741
203.0,203.0,0.09646863
204.0,204.0,0.40009314
205.0,205.0,0.13128516
206.0,206.0,0.022949249
207.0,207.0,0.26061612
208.0,208.0,0.4452394
209.0,209.0,0.5886623
210.0,210.0,0.4909946
211.0,211.0,0.37853682
212.0,212.0,0.046589967
213.0,213.0,0.1722796
214.0,214.0,0.4486704
215.0,215.0,0.60408765
216.0,216.0,0.11312865
217.0,217.0,0.21608435
218.0,218.0,0.50306696
219.0,219.0,0.5099374
220.0,220.0,1.998525E-5
221.0,221.0,0.41428185
222.0,222.0,0.1359962
223.0,223.0,0.439081
224.0,224.0,0.50872165
225.0,225.0,0.09369159
226.0,226.0,0.21756032
227.0,227.0,0.45173246
228.0,228.0,0.5729484
229.0,229.0,0.6030254
230.0,230.0,0.01682078
231.0,231.0,0.6117652
232.0,232.0,0.16588292
233.0,233.0,0.4698503
234.0,234.0,0.5956175
235.0,235.0,0.73687154
236.0,236.0,0.06109779
237.0,237.0,0.3641069
238.0,238.0,0.25337407
239.0,239.0,0.3771367
240.0,240.0,0.07338559
241.0,241.0,0.39425895
242.0,242.0,0.24232653
243.0,243.0,0.16186118
244.0,244.0,0.52650005
245.0,245.0,0.44565612
246.0,246.0,0.07885731
247.0,247.0,0.117791824
248.0,248.0,0.02257411
249.0,249.0,0.47820997
250.0,250.0,0.4076568
251.0,251.0,0.38022208
252.0,252.0,0.15999691
253.0,253.0,0.50958335
254.0,254.0,0.010738224
255.0,255.0,0.3984455
256.0,256.0,0.28331167
257.0,257.0,0.4408873
258.0,258.0,0.34327394
259.0,259.0,0.067211755
260.0,260.0,0.48907623
261.0,261.0,0.5587082
262.0,262.0,0.00934034
263.0,263.0,0.116540715
264.0,264.0,0.025563601
265.0,265.0,0.28507087
266.0,266.0,0.87558264
267.0,267.0,0.4122914
268.0,268.0,0.26877785
269.0,269.0,0.93836844
270.0,270.0,0.5534546
271.0,271.0,0.005617882
272.0,272.0,0.21561702
273.0,273.0,0.13916224
274.0,274.0,0.12619182
275.0,275.0,0.63422513
276.0,276.0,0.2493328
277.0,277.0,0.18784888
278.0,278.0,0.18925929
279.0,279.0,0.8094944
280.0,280.0,0.6160931
281.0,281.0,0.43889844
282.0,282.0,0.5028583
283.0,283.0,0.8969339
284.0,284.0,0.41640228
285.0,285.0,0.23986143
286.0,286.0,0.415326
287.0,287.0,0.39713925
288.0,288.0,0.22056039
289.0,289.0,0.4504687
290.0,290.0,0.8782822
291.0,291.0,0.6677351
292.0,292.0,0.47286478
293.0,293.0,0.30683595
294.0,294.0,0.089517355
295.0,295.0,0.6643864
296.0,296.0,0.4113039
297.0,297.0,0.9384908
298.0,298.0,0.91590893
299.0,299.0,0.20523944
300.0,300.0,0.4230182
301.0,301.0,0.18466984
302.0,302.0,0.14629856
303.0,303.0,0.060709346
304.0,304.0,0.5839345
305.0,305.0,0.03983099
306.0,306.0,0.18796821
307.0,307.0,0.69008917
308.0,308.0,0.24653612
309.0,309.0,0.4079576
310.0,310.0,0.620487
311.0,311.0,0.0055666803
312.0,312.0,0.4127333
313.0,313.0,0.32760602
314.0,314.0,0.779822
315.0,315.0,0.13746561
316.0,316.0,0.76542443
317.0,317.0,0.118254274
318.0,318.0,0.12746052
319.0,319.0,0.19579732
320.0,320.0,0.06024743
321.0,321.0,0.6794221
322.0,322.0,0.5289052
323.0,323.0,0.19472577
324.0,324.0,0.45498565
325.0,325.0,0.83162695
326.0,326.0,0.29584605
327.0,327.0,0.30836743
328.0,328.0,0.2990999
329.0,329.0,0.08017383
330.0,330.0,0.0015156217
331.0,331.0,6.159875E-4
332.0,332.0,0.024704508
333.0,333.0,0.20351821
334.0,334.0,0.0824013
335.0,335.0,0.07857276
336.0,336.0,0.40044585
337.0,337.0,0.42028418
338.0,338.0,0.397604
339.0,339.0,0.0988845
340.0,340.0,0.4282789
341.0,341.0,0.06611158
342.0,342.0,0.13988669
343.0,343.0,0.061194513
344.0,344.0,0.226499
345.0,345.0,0.9353565
346.0,346.0,0.8800197
347.0,347.0,0.28300726
348.0,348.0,2.1676658E-4
349.0,349.0,0.4163438
350.0,350.0,0.39447156
351.0,351.0,0.33801135
352.0,352.0,0.776173
353.0,353.0,0.30627415
354.0,354.0,0.22535136
355.0,355.0,0.17991263
356.0,356.0,0.46162006
357.0,357.0,0.6837165
358.0,358.0,0.010650902
359.0,359.0,0.5174754
360.0,360.0,0.46961105
361.0,361.0,0.48275623
362.0,362.0,0.8149798
363.0,363.0,0.39062858
364.0,364.0,0.38672477
365.0,365.0,0.3122735
366.0,366.0,0.438146
367.0,367.0,0.79929477
368.0,368.0,0.7687012
369.0,369.0,0.4470135
370.0,370.0,0.14878036
371.0,371.0,0.25909138
372.0,372.0,0.23123045
373.0,373.0,0.28828683
374.0,374.0,0.46219718
375.0,375.0,0.071007736
376.0,376.0,0.8750824
377.0,377.0,0.67917603
378.0,378.0,0.75028956
379.0,379.0,0.0881995
380.0,380.0,0.027481472
381.0,381.0,0.005975361
382.0,382.0,0.80120975
383.0,383.0,0.20800309
384.0,384.0,0.5868453
385.0,385.0,0.78128463
386.0,386.0,0.30510873
387.0,387.0,0.63544667
388.0,388.0,0.8994235
389.0,389.0,0.02362651
390.0,390.0,0.0357612
391.0,391.0,0.83125013
392.0,392.0,0.37050727
393.0,393.0,0.055829566
394.0,394.0,0.07845659
395.0,395.0,0.56144804
396.0,396.0,0.3463075
397.0,397.0,0.0018299726
398.0,398.0,3.665561E-6
399.0,399.0,0.7854983
400.0,400.0,0.39515796
401.0,401.0,0.020057006
402.0,402.0,0.081037715
403.0,403.0,0.8304369
404.0,404.0,0.27491197
405.0,405.0,0.5615572
406.0,406.0,0.0021132599
407.0,407.0,0.4143715
408.0,408.0,0.39900917
409.0,409.0,0.87052053
410.0,410.0,0.1026212
411.0,411.0,0.026150683
412.0,412.0,0.32505476
413.0,413.0,0.92025256
414.0,414.0,0.52065766
415.0,415.0,0.76919204
416.0,416.0,0.19465227
417.0,417.0,0.0057967245
418.0,418.0,0.14601612
419.0,419.0,0.15570827
420.0,420.0,0.14606659
421.0,421.0,2.243726E-6
422.0,422.0,0.086039014
423.0,423.0,0.11727774
424.0,424.0,0.47155854
425.0,425.0,0.12815177
426.0,426.0,0.56337446
427.0,427.0,0.57824415
428.0,428.0,0.9103056
429.0,429.0,0.8354355
430.0,430.0,0.26448685
431.0,431.0,0.83152264
432.0,432.0,0.4858121
433.0,433.0,0.20352252
434.0,434.0,0.2514237
435.0,435.0,0.89433515
436.0,436.0,0.4109256
437.0,437.0,0.11040429
438.0,438.0,0.5162004
439.0,439.0,0.17303337
440.0,440.0,0.5838954
441.0,441.0,0.41902307
442.0,442.0,0.93340296
443.0,443.0,0.3731441
444.0,444.0,0.21571347
445.0,445.0,0.0050656623
446.0,446.0,0.3080523
447.0,447.0,0.119154476
448.0,448.0,0.09387439
449.0,449.0,0.47784594
450.0,450.0,0.7604494
451.0,451.0,0.14211026
452.0,452.0,0.5567868
453.0,453.0,0.12519346
454.0,454.0,0.07269258
455.0,455.0,0.51523477
456.0,456.0,0.4819779
457.0,457.0,0.72691214
458.0,458.0,0.17651215
459.0,459.0,0.048060633
