x,y,species stddev
1.0,1.0,0.012835961
2.0,2.0,0.023834798
3.0,3.0,0.019133247
4.0,4.0,0.020208672
5.0,5.0,0.046974998
6.0,6.0,0.029020667
7.0,7.0,0.008212816
8.0,8.0,0.011800956
9.0,9.0,0.0042475834
10.0,10.0,0.034190286
11.0,11.0,0.026117614
12.0,12.0,0.018676778
13.0,13.0,1.5438373E-4
14.0,14.0,0.008295477
15.0,15.0,0.012078139
16.0,16.0,0.020481346
17.0,17.0,0.035563834
18.0,18.0,0.015353338
19.0,19.0,0.06423183
20.0,20.0,0.003672783
21.0,21.0,0.0430845
22.0,22.0,0.019165885
23.0,23.0,0.011464437
24.0,24.0,0.027660158
25.0,25.0,0.014120216
26.0,26.0,0.009155049
27.0,27.0,0.026617862
28.0,28.0,0.021929443
29.0,29.0,0.014640446
30.0,30.0,0.03434512
31.0,31.0,4.452566E-4
32.0,32.0,0.03312276
33.0,33.0,0.023539145
34.0,34.0,0.027341425
35.0,35.0,0.013057632
36.0,36.0,0.016870087
37.0,37.0,4.8824793E-4
38.0,38.0,4.761919E-4
39.0,39.0,0.022543853
40.0,40.0,6.331483E-4
41.0,41.0,0.022748405
42.0,42.0,0.022018991
43.0,43.0,0.015267819
44.0,44.0,0.021709597
45.0,45.0,6.9297175E-6
46.0,46.0,0.011775208
47.0,47.0,0.010337164
48.0,48.0,0.036236644
49.0,49.0,0.061757553
50.0,50.0,0.002918299
51.0,51.0,0.06004252
52.0,52.0,0.012671718
53.0,53.0,0.02031597
54.0,54.0,0.017561238
55.0,55.0,0.05302372
56.0,56.0,0.021470286
57.0,57.0,0.012723518
58.0,58.0,1.3600971E-4
59.0,59.0,0.014784098
60.0,60.0,0.016699791
61.0,61.0,0.1107746
62.0,62.0,0.03193723
63.0,63.0,0.02361312
64.0,64.0,3.3220533E-6
65.0,65.0,0.104946174
66.0,66.0,0.020382473
67.0,67.0,0.010155804
68.0,68.0,0.011911189
69.0,69.0,0.011130022
70.0,70.0,0.021361107
71.0,71.0,0.031656753
72.0,72.0,1.9444393E-4
73.0,73.0,0.02077922
74.0,74.0,0.03170766
75.0,75.0,0.013026782
76.0,76.0,0.008400015
77.0,77.0,0.029066313
78.0,78.0,0.026492136
79.0,79.0,0.014464019
80.0,80.0,0.017662102
81.0,81.0,0.015967753
82.0,82.0,0.021880448
83.0,83.0,0.06699455
84.0,84.0,0.13000154
85.0,85.0,0.018372022
86.0,86.0,0.017906966
87.0,87.0,0.016562702
88.0,88.0,0.016201636
89.0,89.0,0.03255061
90.0,90.0,0.048333943
91.0,91.0,0.02847063
92.0,92.0,2.3309E-5
93.0,93.0,0.019515643
94.0,94.0,2.0114881E-5
95.0,95.0,0.014457591
96.0,96.0,0.02903913
97.0,97.0,0.031138502
98.0,98.0,0.034330748
99.0,99.0,0.06909636
100.0,100.0,0.0060529117
101.0,101.0,0.022018267
102.0,102.0,0.03535608
103.0,103.0,0.010420295
104.0,104.0,0.01784259
105.0,105.0,0.011980404
106.0,106.0,0.05034168
107.0,107.0,0.0060236654
108.0,108.0,0.031842653
109.0,109.0,0.03149477
110.0,110.0,0.027456645
111.0,111.0,0.0018681664
112.0,112.0,0.013467069
113.0,113.0,0.01615821
114.0,114.0,0.029573658
115.0,115.0,0.037780333
116.0,116.0,0.031641804
117.0,117.0,0.02820743
118.0,118.0,0.018439377
119.0,119.0,0.016474849
120.0,120.0,0.0334278
121.0,121.0,0.030194862
122.0,122.0,0.011923106
123.0,123.0,0.013375979
124.0,124.0,0.06455283
125.0,125.0,0.11482336
126.0,126.0,0.026191596
127.0,127.0,0.024304954
128.0,128.0,0.02472168
129.0,129.0,0.023484476
130.0,130.0,0.043016646
131.0,131.0,0.098186314
132.0,132.0,4.507055E-4
133.0,133.0,0.011973634
134.0,134.0,0.041872848
135.0,135.0,0.022814194
136.0,136.0,0.046117067
137.0,137.0,0.026231283
138.0,138.0,0.02837792
139.0,139.0,0.07518844
140.0,140.0,0.025578905
141.0,141.0,0.044810943
142.0,142.0,0.004880713
143.0,143.0,0.03151269
144.0,144.0,0.015790671
145.0,145.0,0.019074133
146.0,146.0,0.011674814
147.0,147.0,0.027461698
148.0,148.0,4.2571482E-4
149.0,149.0,0.022397637
150.0,150.0,0.023484869
151.0,151.0,0.024238309
152.0,152.0,0.032583915
153.0,153.0,0.022173773
154.0,154.0,0.028930059
155.0,155.0,0.01013433
156.0,156.0,0.09273395
157.0,157.0,0.016343879
158.0,158.0,0.016564623
159.0,159.0,0.06768288
160.0,160.0,0.016574915
161.0,161.0,0.025721634
162.0,162.0,0.030306082
163.0,163.0,0.02675156
164.0,164.0,0.011881279
165.0,165.0,0.00427421
166.0,166.0,0.016358262
167.0,167.0,1.5422204E-4
168.0,168.0,0.026792573
169.0,169.0,0.020854603
170.0,170.0,0.015379736
171.0,171.0,0.028432993
172.0,172.0,0.0819093
173.0,173.0,0.01580158
174.0,174.0,0.004116482
175.0,175.0,0.010789884
176.0,176.0,0.015227762
177.0,177.0,0.04312265
178.0,178.0,0.018406615
179.0,179.0,0.029030195
180.0,180.0,0.01986382
181.0,181.0,0.013067863
182.0,182.0,0.0023041088
183.0,183.0,0.04428577
184.0,184.0,0.008954344
185.0,185.0,0.016969047
186.0,186.0,0.03014317
187.0,187.0,0.038182624
188.0,188.0,0.011920311
189.0,189.0,0.102478914
190.0,190.0,0.028995628
191.0,191.0,0.015079539
192.0,192.0,0.03514326
193.0,193.0,0.0050023193
194.0,194.0,0.017714087
195.0,195.0,0.058912206
196.0,196.0,0.02890022
197.0,197.0,0.011529833
198.0,198.0,0.020144958
199.0,199.0,0.012717232
200.0,200.0,0.032162946
201.0,201.0,0.029967912
202.0,202.0,0.025182916
203.0,203.0,0.018438
204.0,204.0,0.025616147
205.0,205.0,0.0131627135
206.0,206.0,0.004094642
207.0,207.0,0.05835359
208.0,208.0,0.03330715
209.0,209.0,0.029996898
210.0,210.0,0.039162725
211.0,211.0,0.026785761
212.0,212.0,0.01592692
213.0,213.0,0.023456411
214.0,214.0,0.03889116
215.0,215.0,0.037926402
216.0,216.0,0.011873036
217.0,217.0,0.025177373
218.0,218.0,0.03244112
219.0,219.0,0.04637708
220.0,220.0,6.4687742E-6
221.0,221.0,0.086025976
222.0,222.0,0.019045783
223.0,223.0,0.0339942
224.0,224.0,0.0662993
225.0,225.0,0.009330122
226.0,226.0,0.036908437
227.0,227.0,0.06282806
228.0,228.0,0.04050774
229.0,229.0,0.032037374
230.0,230.0,0.003947289
231.0,231.0,0.013616889
232.0,232.0,0.021514483
233.0,233.0,0.02952508
234.0,234.0,0.023938423
235.0,235.0,0.035954256
236.0,236.0,0.0086065335
237.0,237.0,0.030559292
238.0,238.0,0.022334605
239.0,239.0,0.07251944
240.0,240.0,0.019382557
241.0,241.0,0.06814451
242.0,242.0,0.029576227
243.0,243.0,0.020751867
244.0,244.0,0.026749155
245.0,245.0,0.03608942
246.0,246.0,0.010811962
247.0,247.0,0.027466293
248.0,248.0,0.005191878
249.0,249.0,0.03504282
250.0,250.0,0.08931584
251.0,251.0,0.06748966
252.0,252.0,0.02272185
253.0,253.0,0.06290873
254.0,254.0,0.0021084158
255.0,255.0,0.031851105
256.0,256.0,0.043262232
257.0,257.0,0.030057486
258.0,258.0,0.042822644
259.0,259.0,0.010243279
260.0,260.0,0.1106296
261.0,261.0,0.040807348
262.0,262.0,0.0066983323
263.0,263.0,0.016421467
264.0,264.0,0.0041324315
265.0,265.0,0.022282343
266.0,266.0,0.01299297
267.0,267.0,0.0852387
268.0,268.0,0.060460366
269.0,269.0,0.010330833
270.0,270.0,0.041890398
271.0,271.0,0.0034120413
272.0,272.0,0.018590955
273.0,273.0,0.014372927
274.0,274.0,0.019332156
275.0,275.0,0.022127261
276.0,276.0,0.026447983
277.0,277.0,0.01802854
278.0,278.0,0.025159966
279.0,279.0,0.02125094
280.0,280.0,0.043296743
281.0,281.0,0.07085708
282.0,282.0,0.11258067
283.0,283.0,0.016306773
284.0,284.0,0.030367142
285.0,285.0,0.015816865
286.0,286.0,0.027906721
287.0,287.0,0.030215425
288.0,288.0,0.032957565
289.0,289.0,0.046154197
290.0,290.0,0.011703399
291.0,291.0,0.020516701
292.0,292.0,0.046200223
293.0,293.0,0.055036172
294.0,294.0,0.023826264
295.0,295.0,0.021959167
296.0,296.0,0.04143668
297.0,297.0,0.010422772
298.0,298.0,0.013415198
299.0,299.0,0.019644111
300.0,300.0,0.09864277
301.0,301.0,0.012915974
302.0,302.0,0.01173065
303.0,303.0,0.012468791
304.0,304.0,0.12343482
305.0,305.0,0.008855154
306.0,306.0,0.025060203
307.0,307.0,0.019419309
308.0,308.0,0.041907195
309.0,309.0,0.06980222
310.0,310.0,0.021825818
311.0,311.0,0.0036325746
312.0,312.0,0.065995105
313.0,313.0,0.016058553
314.0,314.0,0.02580594
315.0,315.0,0.020219237
316.0,316.0,0.01672141
317.0,317.0,0.015113436
318.0,318.0,0.011757284
319.0,319.0,0.032377698
320.0,320.0,0.02211534
321.0,321.0,0.020737557
322.0,322.0,0.03388591
323.0,323.0,0.023609444
324.0,324.0,0.020508911
325.0,325.0,0.026512451
326.0,326.0,0.017535176
327.0,327.0,0.03804558
328.0,328.0,0.025906844
329.0,329.0,0.015213578
330.0,330.0,4.371948E-4
331.0,331.0,2.7042333E-4
332.0,332.0,0.0058983024
333.0,333.0,0.023451418
334.0,334.0,0.010313255
335.0,335.0,0.027008455
336.0,336.0,0.074178435
