Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tmean11 contribution,vpdmax11 contribution,vpdmin11 contribution,ppt11 permutation importance,tmean11 permutation importance,vpdmax11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tmean11,Training gain without vpdmax11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tmean11,Training gain with only vpdmax11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tmean11,Test gain without vpdmax11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tmean11,Test gain with only vpdmax11,Test gain with only vpdmin11,AUC without ppt11,AUC without tmean11,AUC without vpdmax11,AUC without vpdmin11,AUC with only ppt11,AUC with only tmean11,AUC with only vpdmax11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,63,0.3844,0.5639,520,0.7799,8,0.6658,0.8322,0.0414,10063,24.6390,52.3822,21.2243,1.7545,16.0938,58.1249,23.0419,2.7394,0.3438,0.2911,0.3157,0.3751,0.2081,0.2662,0.1288,0.0124,0.6640,0.5149,0.4656,0.6432,0.2306,0.4825,0.2619,0.0245,0.8279,0.8089,0.7703,0.8256,0.6351,0.7847,0.7554,0.5445,8.8324,0.4145,1.0000,0.1020,0.8326,0.0000,0.0000,2.308E-1,5.0000,0.2409,0.6891,0.0000,0.0000,5.082E-2,10.0000,0.3331,0.5894,0.0635,0.0000,1.456E-2,5.5192,0.2530,0.6766,0.0000,0.0000,4.394E-2,17.0242,0.4141,0.4868,0.0952,0.0000,3.155E-3,33.8388,0.5710,0.3174,0.3175,0.1250,1.875E-3,16.3000,0.4062,0.4962,0.0794,0.0000,3.673E-3,43.0751,0.6398,0.2500,0.4286,0.2500,4.229E-3,25.3037,0.4941,0.3940,0.2381,0.0000,5.809E-4,4.8855,0.2384,0.6919,0.0000,0.0000,5.255E-2,5.3380,0.2486,0.6809,0.0000,0.0000,4.621E-2
species_1,64,0.3995,0.5781,460,0.7859,7,0.6561,0.8020,0.0674,10064,21.8109,55.2357,21.0775,1.8758,20.2710,55.1599,24.5691,0.0000,0.3632,0.3064,0.3155,0.3898,0.1970,0.2735,0.1413,0.0132,0.5714,0.5102,0.5391,0.6507,0.3645,0.4717,0.2410,0.0031,0.7820,0.7835,0.7831,0.8097,0.7404,0.7812,0.6979,0.4990,8.8165,0.4072,1.0000,0.1007,0.8302,0.0000,0.0000,2.718E-1,5.0000,0.2353,0.6862,0.0156,0.0000,7.165E-2,10.0000,0.3190,0.5839,0.0469,0.0000,2.313E-2,4.9240,0.2332,0.6881,0.0000,0.0000,7.304E-2,14.4361,0.3749,0.5142,0.0938,0.1429,7.237E-2,33.4502,0.5703,0.3125,0.3125,0.1429,4.773E-3,13.6535,0.3664,0.5254,0.0625,0.1429,8.096E-2,36.9577,0.5962,0.2857,0.3438,0.2857,2.326E-2,36.0096,0.5903,0.2927,0.3438,0.1429,3.299E-3,4.9240,0.2332,0.6881,0.0000,0.0000,7.304E-2,5.6696,0.2502,0.6701,0.0156,0.0000,6.068E-2
species_2,64,0.4863,0.6860,420,0.8065,7,-0.2103,0.5751,0.0802,10064,29.9350,42.4468,24.2594,3.3587,21.4548,49.9502,28.5950,0.0000,0.4284,0.3888,0.3578,0.4659,0.2239,0.2969,0.1831,0.0227,-0.0654,-0.2729,0.1351,-0.0964,0.1124,0.2633,-0.1496,-0.0887,0.6042,0.5255,0.6769,0.6043,0.6481,0.6731,0.5155,0.3774,8.7300,0.3706,1.0000,0.0884,0.8096,0.0000,0.0000,2.28E-1,5.0000,0.2011,0.6541,0.0312,0.1429,2.409E-1,10.0000,0.2869,0.5447,0.0781,0.2857,3.062E-1,2.2305,0.1367,0.7455,0.0000,0.0000,1.28E-1,10.6363,0.2956,0.5334,0.0938,0.4286,5.727E-1,31.9431,0.5442,0.2902,0.2969,0.7143,6.495E-1,21.9800,0.4421,0.3797,0.1719,0.5714,5.351E-1,11.6433,0.3085,0.5162,0.1250,0.5714,7.991E-1,4.0052,0.1809,0.6829,0.0312,0.0000,6.928E-2,2.2305,0.1367,0.7455,0.0000,0.0000,1.28E-1,6.5659,0.2321,0.6146,0.0312,0.2857,4.52E-1
species_3,64,0.4432,0.6112,460,0.7892,7,0.1449,0.6655,0.0828,10064,14.7276,66.2916,17.2776,1.7032,17.8513,64.6091,17.5396,0.0000,0.4116,0.3194,0.3697,0.4350,0.2031,0.3371,0.1418,0.0130,0.0661,0.3544,0.0068,0.1535,0.2908,-0.1047,0.2320,0.0031,0.6338,0.7327,0.6049,0.6656,0.6888,0.5756,0.6874,0.5094,8.7734,0.3877,1.0000,0.0918,0.8374,0.0000,0.0000,2.889E-1,5.0000,0.2045,0.6793,0.0156,0.0000,6.671E-2,10.0000,0.2850,0.5646,0.0938,0.1429,1.17E-1,3.7684,0.1793,0.7162,0.0000,0.0000,9.667E-2,13.1001,0.3296,0.5104,0.0938,0.2857,2.44E-1,31.2906,0.5538,0.3079,0.3125,0.5714,3.71E-1,25.8344,0.4942,0.3550,0.2031,0.5714,4.792E-1,18.9619,0.4100,0.4286,0.1562,0.4286,3.469E-1,6.8132,0.2358,0.6325,0.0469,0.0000,4.048E-2,3.7684,0.1793,0.7162,0.0000,0.0000,9.667E-2,6.4255,0.2292,0.6419,0.0469,0.0000,4.49E-2
species_4,64,0.3606,0.5232,420,0.7721,7,0.9630,0.9211,0.0347,10064,24.9481,53.6414,19.5528,1.8577,23.3498,53.6882,22.9620,0.0000,0.3236,0.2813,0.2874,0.3514,0.1900,0.2470,0.1255,0.0125,0.8883,0.6937,0.7670,0.9429,0.4191,0.6836,0.3448,0.0156,0.9133,0.8567,0.9167,0.9229,0.7739,0.9092,0.7701,0.5100,8.8567,0.4255,1.0000,0.1083,0.8374,0.0000,0.0000,2.889E-1,5.0000,0.2529,0.6998,0.0312,0.0000,8.221E-2,10.0000,0.3404,0.6019,0.0469,0.0000,2.864E-2,4.5496,0.2419,0.7109,0.0000,0.0000,9.181E-2,17.6703,0.4299,0.4922,0.0938,0.0000,7.003E-3,33.9508,0.5731,0.3281,0.3281,0.0000,4.093E-4,17.6703,0.4299,0.4922,0.0938,0.0000,7.003E-3,57.3592,0.7196,0.1721,0.4844,0.1429,1.55E-4,42.4866,0.6347,0.2640,0.3906,0.0000,8.94E-5,4.5496,0.2419,0.7109,0.0000,0.0000,9.181E-2,5.0945,0.2551,0.6976,0.0312,0.0000,8.043E-2
species_5,64,0.4612,0.6445,520,0.8010,7,0.0051,0.6172,0.0967,10064,22.0164,56.0659,20.7440,1.1736,24.8100,55.7880,19.3840,0.0180,0.4185,0.3522,0.3847,0.4535,0.2405,0.3327,0.1595,0.0089,0.0169,-0.0260,-0.1340,-0.0129,-0.0660,-0.0710,0.0108,0.0400,0.6169,0.5798,0.5865,0.6127,0.5161,0.6037,0.6168,0.6048,8.7556,0.3810,1.0000,0.0909,0.8134,0.0000,0.0000,2.356E-1,5.0000,0.2129,0.6617,0.0156,0.1429,2.543E-1,10.0000,0.2949,0.5545,0.0625,0.2857,3.252E-1,4.0173,0.1921,0.6890,0.0000,0.1429,3.066E-1,14.9895,0.3597,0.4752,0.0938,0.4286,4.458E-1,33.4812,0.5675,0.2854,0.2812,0.7143,6.388E-1,26.7100,0.4966,0.3417,0.2188,0.7143,7.518E-1,18.5167,0.4010,0.4286,0.1562,0.4286,3.469E-1,2.7474,0.1579,0.7307,0.0000,0.0000,1.112E-1,4.0173,0.1921,0.6890,0.0000,0.1429,3.066E-1,6.2607,0.2372,0.6306,0.0156,0.1429,2.022E-1
species_6,64,0.3866,0.5519,280,0.7809,7,0.7095,0.8371,0.0995,10064,31.9950,50.4117,14.7706,2.8227,28.3977,53.0198,18.5824,0.0000,0.3371,0.2972,0.3301,0.3718,0.2162,0.2738,0.1094,0.0167,0.7702,0.4934,0.3874,0.7379,0.1652,0.4767,0.4614,-0.0514,0.8464,0.8174,0.7823,0.8431,0.6549,0.7962,0.8565,0.4263,8.8311,0.4141,1.0000,0.1047,0.8257,0.0000,0.0000,2.617E-1,5.0000,0.2468,0.6856,0.0312,0.1429,2.998E-1,10.0000,0.3345,0.5871,0.0469,0.1429,1.425E-1,2.8310,0.1845,0.7462,0.0000,0.1429,4.356E-1,14.3561,0.3901,0.5214,0.0938,0.1429,7.776E-2,34.6293,0.5779,0.3120,0.3125,0.1429,4.73E-3,28.7677,0.5287,0.3613,0.2188,0.1429,1.075E-2,59.3740,0.7337,0.1554,0.5312,0.1429,8.547E-5,59.3740,0.7337,0.1554,0.5312,0.1429,8.547E-5,2.8310,0.1845,0.7462,0.0000,0.1429,4.356E-1,5.2352,0.2521,0.6800,0.0312,0.1429,2.888E-1
species_7,64,0.4105,0.5865,420,0.7875,7,0.4933,0.7661,0.0849,10064,26.2401,46.5812,25.1554,2.0233,19.8479,53.7222,25.5061,0.9237,0.3695,0.3261,0.3145,0.3996,0.2129,0.2654,0.1594,0.0112,0.4570,0.2251,0.5296,0.5108,0.2155,0.5321,-0.0026,0.0261,0.7504,0.7169,0.7942,0.7711,0.6586,0.8141,0.6608,0.5477,8.8067,0.4030,1.0000,0.0980,0.8271,0.0000,0.0000,2.648E-1,5.0000,0.2319,0.6802,0.0000,0.1429,2.892E-1,10.0000,0.3187,0.5782,0.0469,0.1429,1.319E-1,5.3434,0.2397,0.6717,0.0000,0.1429,2.728E-1,14.4963,0.3776,0.5084,0.0938,0.1429,6.823E-2,35.0225,0.5798,0.2969,0.2969,0.4286,1.221E-1,28.9596,0.5225,0.3472,0.2344,0.2857,5.375E-2,31.6839,0.5479,0.3235,0.2812,0.2857,3.986E-2,27.4258,0.5047,0.3612,0.2344,0.1429,1.073E-2,5.0599,0.2331,0.6788,0.0000,0.1429,2.863E-1,5.6868,0.2483,0.6637,0.0156,0.1429,2.579E-1
species_8,64,0.4425,0.6264,380,0.7957,7,0.2059,0.6765,0.0776,10064,34.9024,40.1841,21.4988,3.4147,25.7202,52.3180,20.5838,1.3780,0.3879,0.3529,0.3576,0.4225,0.2421,0.2868,0.1466,0.0207,0.3095,-0.0126,0.1193,0.3019,-0.0724,0.3534,0.1359,-0.0680,0.7100,0.6069,0.6382,0.7072,0.5211,0.7125,0.6957,0.3816,8.7751,0.3895,1.0000,0.0914,0.8167,0.0000,0.0000,2.423E-1,5.0000,0.2259,0.6661,0.0469,0.0000,5.82E-2,10.0000,0.3097,0.5630,0.0625,0.1429,1.153E-1,2.6910,0.1610,0.7356,0.0000,0.0000,1.165E-1,17.4962,0.4019,0.4541,0.0938,0.4286,4.004E-1,34.1402,0.5669,0.2915,0.2969,0.5714,3.338E-1,17.4962,0.4019,0.4541,0.0938,0.4286,4.004E-1,19.6249,0.4257,0.4286,0.1406,0.4286,3.469E-1,9.3429,0.3000,0.5745,0.0625,0.0000,2.066E-2,2.6910,0.1610,0.7356,0.0000,0.0000,1.165E-1,5.9684,0.2435,0.6429,0.0469,0.0000,4.539E-2
species_9,64,0.4096,0.5799,360,0.7844,7,0.5095,0.7624,0.0763,10064,25.4190,49.8910,22.5110,2.1790,19.5592,54.4106,26.0302,0.0000,0.3701,0.3146,0.3156,0.3998,0.1913,0.2794,0.1481,0.0144,0.4778,0.3757,0.4981,0.5288,0.3958,0.4204,0.1628,-0.0280,0.7666,0.7353,0.7798,0.7714,0.7485,0.7611,0.6555,0.4171,8.8075,0.4028,1.0000,0.0999,0.8343,0.0000,0.0000,2.813E-1,5.0000,0.2261,0.6886,0.0312,0.0000,7.341E-2,10.0000,0.3103,0.5819,0.0469,0.1429,1.362E-1,3.6089,0.1956,0.7276,0.0000,0.0000,1.08E-1,13.1045,0.3489,0.5305,0.0938,0.1429,8.509E-2,30.9639,0.5443,0.3281,0.3281,0.2857,4.232E-2,45.7129,0.6560,0.2216,0.3594,0.4286,4.726E-2,36.3110,0.5895,0.2857,0.3438,0.2857,2.326E-2,39.0492,0.6092,0.2658,0.3594,0.2857,1.692E-2,3.6089,0.1956,0.7276,0.0000,0.0000,1.08E-1,5.9940,0.2445,0.6641,0.0312,0.0000,5.694E-2
