x,y,species cloglog values
1.0,1.0,0.91095346
2.0,2.0,0.1485021
3.0,3.0,0.0026140984
4.0,4.0,0.6876861
5.0,5.0,0.04682347
6.0,6.0,0.63302964
7.0,7.0,0.8267875
8.0,8.0,0.6566294
9.0,9.0,0.5517632
10.0,10.0,0.7194679
11.0,11.0,0.4823845
12.0,12.0,0.323301
13.0,13.0,0.7652603
14.0,14.0,0.12438158
15.0,15.0,0.38578114
16.0,16.0,0.65766674
17.0,17.0,0.34836727
18.0,18.0,0.4174087
19.0,19.0,0.11862304
20.0,20.0,0.123615205
21.0,21.0,0.73442286
22.0,22.0,0.17096646
23.0,23.0,0.8070113
24.0,24.0,0.47896495
25.0,25.0,0.4903826
26.0,26.0,0.93510914
27.0,27.0,0.16752823
28.0,28.0,0.052761126
29.0,29.0,2.0681303E-4
30.0,30.0,0.23668644
31.0,31.0,0.44446546
32.0,32.0,0.015409558
33.0,33.0,0.15833236
34.0,34.0,0.8281336
35.0,35.0,0.3363366
36.0,36.0,0.7758597
37.0,37.0,0.8043374
38.0,38.0,0.46426997
39.0,39.0,0.8007898
40.0,40.0,0.47494313
41.0,41.0,0.843989
42.0,42.0,0.5193816
43.0,43.0,0.38593143
44.0,44.0,0.4735853
45.0,45.0,0.66700447
46.0,46.0,0.54126656
47.0,47.0,0.052093994
48.0,48.0,0.74032974
49.0,49.0,0.051815398
50.0,50.0,0.038912557
51.0,51.0,0.38409486
52.0,52.0,0.63364965
53.0,53.0,0.5029326
54.0,54.0,0.43306234
55.0,55.0,0.2995621
56.0,56.0,0.4606542
57.0,57.0,0.48721683
58.0,58.0,0.1201806
59.0,59.0,0.23055582
60.0,60.0,0.16523157
61.0,61.0,0.8706978
62.0,62.0,0.6877974
63.0,63.0,0.79473823
64.0,64.0,9.662076E-4
65.0,65.0,0.47620016
66.0,66.0,0.3951185
67.0,67.0,0.9050776
68.0,68.0,0.62925386
69.0,69.0,0.29619184
70.0,70.0,0.27503556
71.0,71.0,0.17138097
72.0,72.0,0.70477825
73.0,73.0,0.37891793
74.0,74.0,0.21283387
75.0,75.0,2.0479415E-4
76.0,76.0,0.85975057
77.0,77.0,0.5486493
78.0,78.0,0.7318242
79.0,79.0,0.04450977
80.0,80.0,0.44081742
81.0,81.0,0.610582
82.0,82.0,0.5941599
83.0,83.0,0.041105166
84.0,84.0,0.8871731
85.0,85.0,0.20354494
86.0,86.0,0.57997006
87.0,87.0,0.47517076
88.0,88.0,0.095463276
89.0,89.0,0.5011924
90.0,90.0,0.13304165
91.0,91.0,0.6716368
92.0,92.0,0.7182756
93.0,93.0,0.068094395
94.0,94.0,0.29828468
95.0,95.0,0.19553164
96.0,96.0,0.50946194
97.0,97.0,0.5509744
98.0,98.0,0.0780239
99.0,99.0,0.32048556
100.0,100.0,0.47174808
101.0,101.0,0.13160808
102.0,102.0,0.68409395
103.0,103.0,0.8572891
104.0,104.0,0.003189782
105.0,105.0,0.80531293
106.0,106.0,0.08464802
107.0,107.0,0.33086365
108.0,108.0,0.78386736
109.0,109.0,0.5954538
110.0,110.0,0.66116023
111.0,111.0,0.5261075
112.0,112.0,0.6577786
113.0,113.0,0.4886431
114.0,114.0,0.33394793
115.0,115.0,0.5991473
116.0,116.0,0.6917609
117.0,117.0,0.029114205
118.0,118.0,0.4733748
119.0,119.0,0.07451029
120.0,120.0,0.7642472
121.0,121.0,0.8033352
122.0,122.0,0.7547776
123.0,123.0,0.46874028
124.0,124.0,0.19683702
125.0,125.0,0.2123832
126.0,126.0,0.094888456
127.0,127.0,0.25789073
128.0,128.0,0.6135027
129.0,129.0,0.60843086
130.0,130.0,0.7102274
131.0,131.0,0.7710978
132.0,132.0,0.72218114
133.0,133.0,0.27903488
134.0,134.0,0.35439184
135.0,135.0,0.60300535
136.0,136.0,0.06608716
137.0,137.0,0.72378564
138.0,138.0,0.07315334
139.0,139.0,0.12312214
140.0,140.0,0.20707639
141.0,141.0,7.575909E-5
142.0,142.0,0.8000905
143.0,143.0,0.8798589
144.0,144.0,0.7808821
145.0,145.0,0.7157501
146.0,146.0,0.6700792
147.0,147.0,0.28002664
148.0,148.0,0.328937
149.0,149.0,0.15209308
150.0,150.0,0.51608264
151.0,151.0,0.13852984
152.0,152.0,0.5804787
153.0,153.0,0.05307673
154.0,154.0,0.48826903
155.0,155.0,0.47542974
156.0,156.0,0.73677087
157.0,157.0,0.011041006
158.0,158.0,0.09084122
159.0,159.0,0.67338026
160.0,160.0,0.80576843
161.0,161.0,0.84328866
162.0,162.0,0.3803875
163.0,163.0,0.0314455
164.0,164.0,0.12904303
165.0,165.0,0.6831491
