X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.8065492520277627E-4,50.97144832822832,0.6893185211301105
2.0,2.0,train,4.7190543573070917E-4,98.45728846646558,0.9528121690560194
3.0,3.0,train,2.0242414175134123E-4,58.02077534794115,0.7301399928864093
4.0,4.0,train,2.1511757436320887E-4,62.06683955904033,0.7514196075014522
5.0,5.0,train,1.5781154577726542E-4,43.49069802244982,0.6398272422774016
7.0,7.0,train,2.7764459476458607E-4,77.65034477678556,0.8341365820991802
8.0,8.0,train,2.0951822091652467E-4,60.25854885870959,0.742247773447257
9.0,9.0,train,2.6480655715790296E-4,75.1302251305664,0.8197693520387002
10.0,10.0,train,1.0009664846162863E-4,24.803272237559327,0.47675646119806125
11.0,11.0,train,2.3051514557603946E-4,66.52006991942021,0.774993057222158
12.0,12.0,train,5.620222770033732E-4,99.75170882717612,0.9736621940062945
13.0,13.0,train,5.85645262027852E-4,99.89650821707272,0.9773955880174428
14.0,14.0,train,5.156457039530927E-4,99.46932793108724,0.9644443079527925
15.0,15.0,train,3.141672216301243E-4,83.76497545053772,0.8690477171587371
16.0,16.0,train,3.6182106461069507E-4,90.33765803338906,0.9037957872051469
17.0,17.0,train,3.9031521273725746E-4,93.48245146332938,0.919994738825319
19.0,19.0,train,1.3284239884035548E-4,35.12484116677057,0.5766687914518994
20.0,20.0,train,1.7717594614748993E-4,49.638100879275264,0.6822451793448037
21.0,21.0,train,2.664836665106012E-4,75.64780333909957,0.8217146920309109
22.0,22.0,train,8.64233726285509E-5,19.999535776595355,0.42835141610013017
24.0,24.0,train,4.907252639923167E-5,7.559908637211263,0.2720623735079406
25.0,25.0,train,4.966836643413904E-4,99.181906248092,0.9598026783628348
26.0,26.0,train,4.0399200248936607E-4,94.85532619841712,0.9267709475586139
27.0,27.0,train,8.877224054109325E-5,20.934112488947886,0.43697427666191757
28.0,28.0,train,1.5027829274370807E-4,41.09318360209607,0.621835158621959
30.0,30.0,train,2.4849909766350294E-4,71.38181712974006,0.799711228005234
31.0,31.0,train,4.45319091362162E-4,97.47586002584089,0.9439540594930572
32.0,32.0,train,1.7102084117803337E-4,47.78572136278421,0.669334030224497
33.0,33.0,train,1.9066963420728768E-4,54.240639804172,0.7088132723472349
34.0,34.0,train,2.244975214589338E-4,64.64045471137193,0.766058689661691
35.0,35.0,train,1.7082073837902645E-4,47.70412955152194,0.668905596382724
36.0,36.0,train,1.2453183123754157E-4,32.54024179855823,0.5532803882698489
37.0,37.0,train,1.8600019858511663E-4,52.73373425173285,0.6998807621413436
38.0,38.0,train,1.29307637448252E-4,34.13546342204039,0.5668744208576801
39.0,39.0,train,1.4088130301546958E-4,37.75695134898971,0.5981268467216738
40.0,40.0,train,7.157123175046583E-5,14.432895470443418,0.37068615038234265
41.0,41.0,train,7.943883710516486E-5,17.496932560843426,0.4019226031709886
42.0,42.0,train,9.067686372174747E-5,21.619898735398078,0.4438706970275047
43.0,43.0,train,8.483394566073667E-5,19.317063617690042,0.4224417238342928
44.0,44.0,train,1.0964400471648676E-4,27.91964161114524,0.5081038061340677
46.0,46.0,train,2.2794038755587624E-4,65.6690777109748,0.7712128542833996
47.0,47.0,train,1.2155478975752143E-4,31.65760790541014,0.5445913915809162
48.0,48.0,train,3.6630600946401596E-5,4.442712525986109,0.21103265277957162
49.0,49.0,train,2.7132928701580106E-5,2.700127262725276,0.16102345922199135
50.0,50.0,train,2.0010758432904182E-4,57.30065269078346,0.7260643078598479
51.0,51.0,train,8.091582630460232E-5,17.97328911969974,0.40761140642664506
52.0,52.0,train,8.57792723378527E-5,19.709193228892747,0.42596389133766
53.0,53.0,train,1.0802589658593921E-4,27.420537449527952,0.5029263487886477
54.0,54.0,train,6.480661913853196E-5,12.333268631009904,0.3425276251592574
55.0,55.0,train,3.817856571289416E-5,4.73408051678772,0.21889598707863112
56.0,56.0,train,1.413473346410848E-4,37.97032755374797,0.5993369142873344
58.0,58.0,train,1.6270769862107952E-4,45.20047817160385,0.6510594260286571
60.0,60.0,train,4.2659057161508157E-4,96.54098570585606,0.9367331962817674
61.0,61.0,train,3.441763902295586E-4,87.97949599047898,0.8921599819869251
62.0,62.0,train,3.420081585565434E-4,87.67877630730788,0.8906362950907905
63.0,63.0,train,3.374589394232744E-4,87.1317394452044,0.8873690789500286
64.0,64.0,train,3.017168123464634E-4,81.7340577659072,0.8580609884121606
65.0,65.0,train,2.669973221107377E-4,75.79116390356509,0.8223062889954849
66.0,66.0,train,3.2527174669387575E-4,85.50851994761813,0.8781272431019774
67.0,67.0,train,4.0419895450834653E-4,94.8845714830817,0.9268689466896816
68.0,68.0,train,4.1154608260618534E-4,95.56689925953607,0.9302643911238047
69.0,69.0,train,4.6345523906654465E-4,98.31042495872398,0.9501601026200526
70.0,70.0,train,3.7730270400121804E-4,91.90582872379781,0.9129664120777049
71.0,71.0,train,1.802305510899945E-4,50.81217191021399,0.6884642011079045
6.0,6.0,test,7.241636764354543E-5,14.773276465589227,0.3741183043414493
18.0,18.0,test,9.22365380845883E-5,22.082835113706064,0.4494551408346501
23.0,23.0,test,6.987276038827638E-5,13.853791781905873,0.36373151816998117
29.0,29.0,test,3.3266386062045383E-4,86.44283223639138,0.8838195691255482
45.0,45.0,test,5.511602607214788E-5,9.338585699307393,0.29997999340800285
57.0,57.0,test,1.7550662269830752E-4,49.10333718825668,0.6787942166804191
59.0,59.0,test,2.6904439074965065E-4,76.15415487464111,0.8246445401543965
