x,y,species min
1.0,1.0,0.68400055
2.0,2.0,0.082627706
3.0,3.0,0.17243873
4.0,4.0,0.010472007
5.0,5.0,0.11530607
6.0,6.0,0.1250542
7.0,7.0,0.70926446
8.0,8.0,0.50194156
9.0,9.0,0.8552484
10.0,10.0,0.14176235
11.0,11.0,0.056711417
12.0,12.0,0.3100547
13.0,13.0,0.09559302
14.0,14.0,0.55047286
15.0,15.0,0.0033007578
16.0,16.0,0.30747044
17.0,17.0,0.004471556
18.0,18.0,0.65521383
19.0,19.0,0.060257524
20.0,20.0,0.55668503
21.0,21.0,0.07068102
22.0,22.0,0.20377043
23.0,23.0,0.6707047
24.0,24.0,0.5535408
25.0,25.0,0.14353715
26.0,26.0,0.30178618
27.0,27.0,0.036652356
28.0,28.0,0.3909108
29.0,29.0,0.33907104
30.0,30.0,0.0044176932
31.0,31.0,0.8868808
32.0,32.0,0.5146864
33.0,33.0,0.8257676
34.0,34.0,0.115655124
35.0,35.0,0.11958099
36.0,36.0,0.73353064
37.0,37.0,0.2861738
38.0,38.0,0.5412746
39.0,39.0,0.6243059
40.0,40.0,0.32386997
41.0,41.0,0.21470249
42.0,42.0,0.33602974
43.0,43.0,0.104575545
44.0,44.0,0.29309896
45.0,45.0,0.0037951597
46.0,46.0,0.65221536
47.0,47.0,0.9336796
48.0,48.0,0.34904817
49.0,49.0,0.47779688
50.0,50.0,0.09694328
51.0,51.0,0.53711253
52.0,52.0,0.91474515
53.0,53.0,0.013971231
54.0,54.0,0.04204381
55.0,55.0,0.3923005
56.0,56.0,0.3029202
57.0,57.0,0.20809543
58.0,58.0,0.4458464
59.0,59.0,0.4426831
60.0,60.0,0.35897756
61.0,61.0,0.39067686
62.0,62.0,0.068684526
63.0,63.0,0.25705627
64.0,64.0,0.34517345
65.0,65.0,0.6427242
66.0,66.0,7.666822E-4
67.0,67.0,0.5004966
68.0,68.0,0.4412445
69.0,69.0,0.81015277
70.0,70.0,0.37328514
71.0,71.0,0.023973994
72.0,72.0,0.0693083
73.0,73.0,0.08582317
74.0,74.0,0.09708602
75.0,75.0,0.30565834
76.0,76.0,0.002072561
77.0,77.0,0.16902128
78.0,78.0,0.5555283
79.0,79.0,0.15109414
80.0,80.0,0.044153173
81.0,81.0,0.6032903
82.0,82.0,0.5160601
83.0,83.0,0.044064596
84.0,84.0,0.060891815
85.0,85.0,0.19797795
86.0,86.0,0.5958545
87.0,87.0,0.8638623
88.0,88.0,0.064716846
89.0,89.0,0.34966597
90.0,90.0,0.3484884
91.0,91.0,0.06570488
92.0,92.0,0.19123173
93.0,93.0,0.37082705
94.0,94.0,0.47126916
95.0,95.0,0.13750434
96.0,96.0,0.82161945
97.0,97.0,0.8821195
98.0,98.0,0.8828808
99.0,99.0,1.2998717E-4
100.0,100.0,0.5415619
101.0,101.0,0.0034134951
102.0,102.0,0.47716463
103.0,103.0,0.27082115
104.0,104.0,0.1308935
105.0,105.0,0.5534414
106.0,106.0,0.79379934
107.0,107.0,0.007909085
108.0,108.0,0.71850175
109.0,109.0,0.6299929
110.0,110.0,0.11739285
111.0,111.0,0.018487323
112.0,112.0,0.7764111
113.0,113.0,0.5366073
114.0,114.0,0.17707229
115.0,115.0,0.44809884
116.0,116.0,0.69197917
117.0,117.0,0.40722755
118.0,118.0,0.24617074
119.0,119.0,0.25937352
120.0,120.0,0.08556953
121.0,121.0,0.29567593
122.0,122.0,0.4524704
123.0,123.0,0.13469993
124.0,124.0,0.21199057
125.0,125.0,0.092117995
126.0,126.0,0.45634496
127.0,127.0,1.318171E-4
128.0,128.0,0.3047845
129.0,129.0,0.58730364
130.0,130.0,0.11355137
131.0,131.0,0.604124
132.0,132.0,0.46492788
133.0,133.0,0.5813904
134.0,134.0,0.5589668
135.0,135.0,0.08529553
136.0,136.0,0.047488865
137.0,137.0,0.2603623
138.0,138.0,0.36291632
139.0,139.0,0.5192635
140.0,140.0,0.4102759
141.0,141.0,0.13625534
142.0,142.0,0.54996353
143.0,143.0,0.14006878
144.0,144.0,0.14755975
145.0,145.0,0.0762227
146.0,146.0,0.2628618
147.0,147.0,0.9062538
148.0,148.0,0.059781097
149.0,149.0,0.020947836
150.0,150.0,0.40155134
151.0,151.0,0.098885484
152.0,152.0,0.34258607
153.0,153.0,2.5656258E-4
154.0,154.0,2.0902531E-4
155.0,155.0,0.4569499
156.0,156.0,0.27018502
157.0,157.0,0.20061538
158.0,158.0,0.60349053
159.0,159.0,0.5336332
160.0,160.0,0.23816174
161.0,161.0,0.57222503
162.0,162.0,7.095376E-5
163.0,163.0,0.7416112
164.0,164.0,0.63985676
165.0,165.0,0.062340397
166.0,166.0,0.2015522
167.0,167.0,0.7817519
168.0,168.0,0.2615022
169.0,169.0,0.27992496
170.0,170.0,0.18034466
171.0,171.0,0.26875943
172.0,172.0,0.3742393
173.0,173.0,0.33567905
174.0,174.0,0.51074016
175.0,175.0,0.002454587
176.0,176.0,1.2314186E-5
177.0,177.0,0.5503211
178.0,178.0,0.38396654
179.0,179.0,0.15756674
180.0,180.0,0.077001825
181.0,181.0,0.06511633
182.0,182.0,0.46925038
183.0,183.0,0.85387903
184.0,184.0,0.36188698
185.0,185.0,0.84199524
186.0,186.0,0.6022654
187.0,187.0,0.040831216
188.0,188.0,0.6856883
189.0,189.0,0.22182065
190.0,190.0,0.41689834
191.0,191.0,0.50847226
192.0,192.0,0.07857724
193.0,193.0,0.63880295
194.0,194.0,0.54696083
195.0,195.0,0.29513595
196.0,196.0,0.18531302
197.0,197.0,0.19894844
198.0,198.0,0.25212845
199.0,199.0,0.34908393
200.0,200.0,0.13464423
201.0,201.0,0.28429884
202.0,202.0,0.3931262
203.0,203.0,0.029242525
204.0,204.0,1.0223746E-4
205.0,205.0,0.20289885
206.0,206.0,0.20236681
207.0,207.0,0.51153916
208.0,208.0,0.33578816
209.0,209.0,0.20125555
210.0,210.0,0.03079561
211.0,211.0,0.0700506
212.0,212.0,0.26059085
213.0,213.0,0.730299
214.0,214.0,0.01596495
215.0,215.0,0.05724994
216.0,216.0,0.03357911
217.0,217.0,0.4130834
218.0,218.0,0.8021512
219.0,219.0,0.33881867
220.0,220.0,0.47048774
221.0,221.0,0.22720654
222.0,222.0,0.026722519
223.0,223.0,0.07413636
224.0,224.0,0.6254393
225.0,225.0,0.5066863
226.0,226.0,0.26182306
227.0,227.0,0.43334746
228.0,228.0,0.2827738
229.0,229.0,0.66176087
230.0,230.0,0.0012778338
231.0,231.0,0.37380028
232.0,232.0,0.43649328
233.0,233.0,0.21041049
234.0,234.0,0.13063128
235.0,235.0,0.15705399
236.0,236.0,0.4925744
237.0,237.0,0.76888764
238.0,238.0,0.6553665
239.0,239.0,0.090037845
240.0,240.0,0.14036189
241.0,241.0,0.0020702905
242.0,242.0,0.7384462
243.0,243.0,0.32145274
244.0,244.0,0.002730735
245.0,245.0,0.44747823
246.0,246.0,4.280401E-5
247.0,247.0,0.20933163
248.0,248.0,0.14110553
