Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.68135E-10,0.000000017,0.000001191,1,0,0
5.03922E-10,0.000000067,0.000003571,0.999900567,0,0
5.35374E-10,0.000000121,0.000003794,0.999801134,0,0
1.49117E-9,0.000000365,0.000010567,0.999602267,0,0
2.57284E-9,0.000001148,0.000018232,0.999204534,0,0
3.6259E-9,0.000002736,0.000025694,0.998707368,0,0
7.48866E-9,0.000010282,0.000053066,0.997514169,0,0
1.0919E-8,0.000025582,0.000077374,0.995923238,0,0
1.67158E-8,0.000050148,0.000118449,0.994133439,0,0
2.33945E-8,0.000100056,0.00016577,0.991647609,0,0
5.93968E-8,0.00025463,0.000420822,0.98737198,0,0
9.11919E-8,0.000504678,0.000646016,0.984090683,0,0
1.4151E-7,0.001002336,0.001002301,0.979815054,0,0
3.29977E-7,0.002522717,0.002335625,0.973153028,0,0
5.95645E-7,0.005058159,0.004212101,0.967485334,0,0
1.03292E-6,0.010061847,0.007292992,0.961419907,0,0
2.2656E-6,0.025122365,0.015926847,0.952371483,0,0
3.66187E-6,0.050047409,0.025615798,0.943820225,0,0
5.01785E-6,0.100135094,0.034933846,0.93258427,0,0
6.56183E-6,0.200476354,0.045435376,0.915282888,0,0
7.93756E-6,0.300478404,0.054696253,0.901561102,0,0
9.11828E-6,0.400041635,0.062572659,0.889927414,0,0
1.02876E-5,0.500654546,0.070308396,0.879586358,0,0
1.12066E-5,0.600601387,0.076343149,0.870339067,0,0
1.23997E-5,0.700546718,0.084119647,0.861887243,0,0
1.29399E-5,0.75113221,0.087618975,0.857909913,0,0
1.34391E-5,0.80118696,0.090841217,0.854131451,0,0
1.41584E-5,0.900142987,0.095463276,0.846972258,0,0
1.51221E-5,1.000830942,0.101619674,0.840111365,0,0
1.59024E-5,1.100033129,0.106573437,0.833747638,0,0
1.72222E-5,1.200052817,0.114890567,0.827781645,0,0
1.82612E-5,1.301525166,0.121383307,0.82211395,0,0
1.91008E-5,1.400233132,0.126595713,0.816843989,0,0
1.99515E-5,1.501435462,0.131844866,0.811673461,0,0
2.20099E-5,1.751092892,0.144416716,0.799840907,0,0
2.3642E-5,2.00030517,0.154254713,0.789002685,0,0
2.53558E-5,2.250482511,0.164464394,0.778860495,0,0
2.67864E-5,2.500119791,0.172891999,0.769314905,0,0
2.84616E-5,2.75252988,0.182652614,0.760266481,0,0
3.02849E-5,3.002908715,0.193145368,0.751814656,0,0
3.17893E-5,3.252217494,0.201701366,0.743859998,0.01754386,0
3.3298E-5,3.502911953,0.210190822,0.736203639,0.01754386,0
3.45299E-5,3.750244885,0.217055672,0.728945013,0.01754386,0
3.58567E-5,4.000073066,0.22438267,0.721885254,0.01754386,0
3.70522E-5,4.251373875,0.230925611,0.715024361,0.01754386,0
3.82345E-5,4.500356543,0.237342154,0.708461768,0.01754386,0
3.92479E-5,4.752424476,0.242799987,0.701998608,0.01754386,0
4.03069E-5,5.003211263,0.248460858,0.695734314,0.035087719,0
4.14029E-5,5.252400807,0.254275503,0.689668887,0.052631579,0
4.23575E-5,5.503800409,0.259302812,0.683702894,0.052631579,0
4.3678E-5,5.752560542,0.26620153,0.677935766,0.052631579,0
4.50412E-5,6.000866868,0.273256265,0.672367505,0.052631579,0
4.60323E-5,6.251499468,0.278342501,0.666898678,0.052631579,0
4.70516E-5,6.502985604,0.283536231,0.661529283,0.052631579,0
4.80793E-5,6.750451795,0.288735194,0.656358755,0.052631579,0
4.90683E-5,7.003084079,0.293702855,0.651188227,0.052631579,0
4.99216E-5,7.250624167,0.297960865,0.646216566,0.052631579,0
5.12895E-5,7.503546667,0.304733117,0.641244904,0.052631579,0
5.22787E-5,7.752388128,0.309590048,0.636472109,0.052631579,0
5.35161E-5,8.000910122,0.315617268,0.631798747,0.052631579,0
5.43768E-5,8.254612815,0.319779165,0.627125385,0.052631579,0
5.52548E-5,8.501295261,0.323998259,0.62265089,0.052631579,0
5.61601E-5,8.752173695,0.328320795,0.618176395,0.052631579,0
5.71558E-5,9.001659336,0.333043461,0.613801332,0.052631579,0
5.81067E-5,9.255135196,0.337522915,0.60942627,0.070175439,0
5.92034E-5,9.501358322,0.342651391,0.605250075,0.070175439,0
6.01284E-5,9.752070349,0.346946405,0.601073879,0.087719298,0
6.09411E-5,10.000387059,0.350696235,0.596997116,0.087719298,0
6.18369E-5,10.251871434,0.354805197,0.592920354,0.087719298,0
6.28342E-5,10.501200451,0.359348663,0.588943025,0.087719298,0
6.3676E-5,10.754368602,0.363159133,0.584965696,0.087719298,0
6.46471E-5,11.004638454,0.367526774,0.5810878,0.087719298,0
6.58122E-5,11.252412466,0.372727301,0.577309337,0.087719298,0
6.64618E-5,11.503765856,0.375608196,0.573530874,0.087719298,0
6.72736E-5,11.751158124,0.379189848,0.569851844,0.087719298,0
6.81045E-5,12.001591813,0.382834361,0.566172815,0.087719298,0
6.87799E-5,12.254934663,0.38578114,0.562493785,0.087719298,0
6.95344E-5,12.503974351,0.389056336,0.558914189,0.087719298,0
7.01925E-5,12.75535581,0.391899098,0.555334593,0.087719298,0
7.08932E-5,13.002157821,0.394910983,0.55185443,0.087719298,0
7.16244E-5,13.251565202,0.398038205,0.548374267,0.087719298,0
7.241E-5,13.503560218,0.401380179,0.544894104,0.087719298,0
7.3042E-5,13.750807074,0.4040552,0.541513374,0.087719298,0
7.3938E-5,14.000626079,0.407826937,0.538132644,0.087719298,0
7.46958E-5,14.253137031,0.410998634,0.534751914,0.087719298,0
7.54048E-5,14.500817909,0.413950412,0.531470617,0.087719298,0
7.61131E-5,14.751011541,0.416884773,0.528189321,0.087719298,0
7.66252E-5,15.003125325,0.418996891,0.524908024,0.087719298,0
7.74934E-5,15.257405905,0.422560412,0.521626728,0.087719298,0
7.81905E-5,15.50643237,0.425406085,0.518444864,0.087719298,0
7.90785E-5,15.750264037,0.42901033,0.515362434,0.087719298,0
7.94677E-5,16.003864897,0.430583026,0.512180571,0.087719298,0
8.0288E-5,16.251581066,0.43388343,0.509098141,0.087719298,0
8.09483E-5,16.501538326,0.436526161,0.50601571,0.087719298,0
8.15544E-5,16.753344025,0.438941237,0.50293328,0.087719298,0.071428571
8.2112E-5,17.007183033,0.441153857,0.49985085,0.087719298,0.071428571
8.27222E-5,17.254441583,0.443565104,0.496867853,0.087719298,0.071428571
