X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.8562590918977124E-4,60.618367283804744,0.7316397906322198
3.0,3.0,train,2.1321500445559317E-4,71.09262684192362,0.7792961115087125
5.0,5.0,train,1.5932658627898882E-4,48.51611435512944,0.6766619173413306
7.0,7.0,train,2.408314027535478E-4,80.2617943507552,0.8185245759049825
8.0,8.0,train,1.9153141034214947E-4,62.99929911106072,0.7426386268654188
9.0,9.0,train,2.670657306732304E-4,86.43085052145204,0.8493118462903426
10.0,10.0,train,1.0406122347053763E-4,26.124283541842157,0.521654806794589
13.0,13.0,train,3.725954183118313E-4,99.769831949,0.9286652433645735
14.0,14.0,train,3.5273083770345217E-4,99.30677852838714,0.9178823765088946
15.0,15.0,train,3.0353050928610807E-4,93.3023081904424,0.8836262064577574
16.0,16.0,train,3.0750924748047115E-4,94.07657321932867,0.8868615470347484
17.0,17.0,train,3.141044998240896E-4,95.27121061973452,0.8920276130869715
18.0,18.0,train,9.743740115217156E-5,23.06664734152078,0.4986663281829775
20.0,20.0,train,1.7530096987530136E-4,55.93462236970605,0.7112685233934186
21.0,21.0,train,2.7047169398246437E-4,87.0961011048636,0.8529053332126009
22.0,22.0,train,1.5162925952320964E-4,45.05456026543519,0.6585350481398403
23.0,23.0,train,1.2935475811948116E-4,36.27795304640775,0.6001490895814519
24.0,24.0,train,1.0733748645360559E-4,27.47032579354136,0.5326326230152658
27.0,27.0,train,1.0641897400077703E-4,27.17171088292913,0.5295806185935489
28.0,28.0,train,1.631435844972663E-4,50.1649958562091,0.6852906299691505
29.0,29.0,train,2.835997200317988E-4,89.89559022652938,0.8659724300320513
30.0,30.0,train,2.4277939444349538E-4,80.77360039564223,0.8210125069726047
31.0,31.0,train,3.6364073671020264E-4,99.62653670799274,0.9239918623167629
32.0,32.0,train,2.0244299709104514E-4,67.32939086258843,0.7617889571595814
33.0,33.0,train,2.078363610851518E-4,69.20688272604283,0.7707215244149235
34.0,34.0,train,2.3478794496638788E-4,78.6239029758977,0.8105837859144267
35.0,35.0,train,1.8193809768799228E-4,58.93782253177198,0.724534177839792
38.0,38.0,train,1.2464362270857605E-4,34.46725283273118,0.5865746822382234
39.0,39.0,train,1.3249399418939972E-4,37.38705117857919,0.6089459542304253
40.0,40.0,train,8.980730588701463E-5,19.828940537333462,0.47081291238964995
41.0,41.0,train,9.430374221047137E-5,21.638794559971778,0.48740895303769793
42.0,42.0,train,1.0268334971556546E-4,25.594526204028988,0.5169612683383876
43.0,43.0,train,1.0343564041240314E-4,25.888078375861074,0.5195295229659165
44.0,44.0,train,1.4302786313476247E-4,41.583363762393866,0.637074259056122
45.0,45.0,train,5.7423824595084904E-5,9.073105087120304,0.3343091809047638
46.0,46.0,train,1.7267118904905956E-4,54.81716570425759,0.7058373431323298
48.0,48.0,train,3.954490224967129E-5,4.822758980180202,0.24439173732319086
49.0,49.0,train,3.0305252558096387E-5,3.0062815356650736,0.19326179714273561
51.0,51.0,train,8.52904966032596E-5,18.298492928601547,0.4536006667724709
52.0,52.0,train,8.57149011860826E-5,18.50292995281064,0.45524150157348253
53.0,53.0,train,9.460634382134232E-5,21.77720136344955,0.48850695782800013
54.0,54.0,train,5.9606989162688294E-5,9.610747140435475,0.344528723641094
55.0,55.0,train,4.0627172954383226E-5,5.0760293938925996,0.2501646609412692
56.0,56.0,train,1.245089949166296E-4,34.40794884193717,0.5861800736654621
57.0,57.0,train,1.6007898617088082E-4,48.901572376943164,0.6783813130880695
58.0,58.0,train,1.515160815842295E-4,45.0073119955639,0.6582610739651258
59.0,59.0,train,2.3196132710007157E-4,77.51170061598621,0.8067514051554098
60.0,60.0,train,3.0444958412242527E-4,93.4617434836022,0.8843816814729393
61.0,61.0,train,3.096408419595283E-4,94.48639584375655,0.8885577054017688
62.0,62.0,train,2.911268051620103E-4,91.09683673520637,0.8729341624686074
63.0,63.0,train,2.8781987385191897E-4,90.52182593981047,0.8699212940875294
64.0,64.0,train,2.839446289062236E-4,89.9535150648762,0.8662996165634348
66.0,66.0,train,2.7987839569762246E-4,89.04628628327619,0.8623909860496219
68.0,68.0,train,3.4796375553770484E-4,99.10310733348615,0.9150609237472558
69.0,69.0,train,3.350217168299152E-4,97.95603360163318,0.9069025206215127
70.0,70.0,train,3.017722281819472E-4,93.02208357236388,0.8821671251511713
71.0,71.0,train,1.762065731383769E-4,56.24813260481442,0.7131155232306392
19.0,19.0,test,1.2496686979966693E-4,34.59342383208474,0.5875206185987882
65.0,65.0,test,2.604035571775116E-4,84.97308662796456,0.842027095991217
47.0,47.0,test,1.0378169685584485E-4,26.024239177553373,0.5207063395700833
67.0,67.0,test,3.445704222863088E-4,98.91792480321527,0.9129936703711866
6.0,6.0,test,8.117511254230434E-5,16.59576814081094,0.43743118083059573
26.0,26.0,test,3.1223583506103097E-4,94.87822372583152,0.8905883164403259
11.0,11.0,test,1.9572431547644628E-4,64.8313392787287,0.7501730478375814
50.0,50.0,test,1.2545932318589782E-4,34.78213761519911,0.5889575543449934
4.0,4.0,test,1.835067236350868E-4,59.801341996247295,0.727579288612014
12.0,12.0,test,3.6549350111330606E-4,99.65618653099659,0.9249832874402555
37.0,37.0,test,1.666135011084786E-4,51.855729239891104,0.6929347534097716
36.0,36.0,test,1.4516013500721797E-4,42.428550709054036,0.6425169150676173
25.0,25.0,test,3.697533102938349E-4,99.72435633608423,0.927213967144509
2.0,2.0,test,3.28947034141159E-4,97.19083447700076,0.9028073659427885
