x,y,species_1 cloglog values
1.0,1.0,0.12984227
2.0,2.0,0.8524637
3.0,3.0,0.043041743
4.0,4.0,0.0604135
5.0,5.0,0.4950051
6.0,6.0,0.37675354
7.0,7.0,0.9391956
8.0,8.0,0.02034079
9.0,9.0,0.02995372
10.0,10.0,0.42104283
11.0,11.0,0.25053275
12.0,12.0,0.7544433
13.0,13.0,3.6468208E-4
14.0,14.0,0.08516289
15.0,15.0,0.88152575
16.0,16.0,0.8400356
17.0,17.0,0.76660234
18.0,18.0,0.5670559
19.0,19.0,0.3916171
20.0,20.0,0.01520063
21.0,21.0,0.54127866
22.0,22.0,0.80151415
23.0,23.0,0.15551783
24.0,24.0,0.29790986
25.0,25.0,0.08889902
26.0,26.0,0.87328714
27.0,27.0,0.29682726
28.0,28.0,0.7812085
29.0,29.0,0.12880023
30.0,30.0,0.7694657
31.0,31.0,0.0014459899
32.0,32.0,0.36793005
33.0,33.0,0.587015
34.0,34.0,0.33804405
35.0,35.0,0.108460836
36.0,36.0,0.14413162
37.0,37.0,0.0010014169
38.0,38.0,0.0013606249
39.0,39.0,0.7480615
40.0,40.0,0.0019061083
41.0,41.0,0.25712574
42.0,42.0,0.14583685
43.0,43.0,0.30066556
44.0,44.0,0.811374
45.0,45.0,1.3220098E-5
46.0,46.0,0.035565175
47.0,47.0,0.017913532
48.0,48.0,0.35440716
49.0,49.0,0.6282144
50.0,50.0,0.005864743
51.0,51.0,0.2968535
52.0,52.0,0.84185266
53.0,53.0,0.26140386
54.0,54.0,0.14381008
55.0,55.0,0.3465788
56.0,56.0,0.14884695
57.0,57.0,0.8334967
58.0,58.0,2.879201E-4
59.0,59.0,0.11441256
60.0,60.0,0.31340426
61.0,61.0,0.4821886
62.0,62.0,0.6093592
63.0,63.0,0.2771358
64.0,64.0,4.550157E-6
65.0,65.0,0.60794985
66.0,66.0,0.7873959
67.0,67.0,0.09818632
68.0,68.0,0.16045715
69.0,69.0,0.06834579
70.0,70.0,0.7732219
71.0,71.0,0.3662155
72.0,72.0,4.425827E-4
73.0,73.0,0.13975506
74.0,74.0,0.5767287
75.0,75.0,0.022668043
76.0,76.0,0.040335085
77.0,77.0,0.46936527
78.0,78.0,0.3022575
79.0,79.0,0.03219237
80.0,80.0,0.034640573
81.0,81.0,0.028956788
82.0,82.0,0.16979687
83.0,83.0,0.41273788
84.0,84.0,0.4919521
85.0,85.0,0.85242194
86.0,86.0,0.038783956
87.0,87.0,0.44853365
88.0,88.0,0.13188276
89.0,89.0,0.29644993
90.0,90.0,0.6178761
91.0,91.0,0.4095483
92.0,92.0,4.859035E-5
93.0,93.0,0.14153875
94.0,94.0,5.787617E-5
95.0,95.0,0.057667524
96.0,96.0,0.41896093
97.0,97.0,0.4840336
98.0,98.0,0.35094795
99.0,99.0,0.35741407
100.0,100.0,0.054882303
101.0,101.0,0.21708046
102.0,102.0,0.65668786
103.0,103.0,0.07386571
104.0,104.0,0.70262504
105.0,105.0,0.097419396
106.0,106.0,0.21447352
107.0,107.0,0.055853095
108.0,108.0,0.64392704
109.0,109.0,0.38201955
110.0,110.0,0.3040907
111.0,111.0,0.007436243
112.0,112.0,0.11742612
113.0,113.0,0.78529394
114.0,114.0,0.16309933
115.0,115.0,0.6141001
116.0,116.0,0.438971
117.0,117.0,0.30367553
118.0,118.0,0.059759904
119.0,119.0,0.13317862
120.0,120.0,0.22126414
121.0,121.0,0.09658351
122.0,122.0,0.062784925
123.0,123.0,0.0328504
124.0,124.0,0.53050345
125.0,125.0,0.4911496
126.0,126.0,0.32873744
127.0,127.0,0.21225353
128.0,128.0,0.054916948
129.0,129.0,0.71641934
130.0,130.0,0.22725065
131.0,131.0,0.4343708
132.0,132.0,0.0014094475
133.0,133.0,0.1621813
134.0,134.0,0.2588907
135.0,135.0,0.6891821
136.0,136.0,0.3154596
137.0,137.0,0.28308138
138.0,138.0,0.4027214
139.0,139.0,0.31371298
140.0,140.0,0.31638828
141.0,141.0,0.3683
142.0,142.0,0.03448659
143.0,143.0,0.5772427
144.0,144.0,0.188828
145.0,145.0,0.2599158
146.0,146.0,0.09039605
