Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.05245E-11,0.000000001,0.000000065,0.999900636,0,0
1.50558E-11,0.000000004,0.000000092,0.999701908,0,0
5.8774E-11,0.000000015,0.000000361,0.999403816,0,0
9.05216E-11,0.000000032,0.000000556,0.999205087,0,0
2.24673E-10,0.000000118,0.000001379,0.998608903,0,0
3.3815E-10,0.000000266,0.000002076,0.998112083,0,0
7.71057E-10,0.000001006,0.000004733,0.99682035,0,0
1.85413E-9,0.000002629,0.000011381,0.995627981,0,0
4.16493E-9,0.000010411,0.000025565,0.992945151,0,0
6.63757E-9,0.000025202,0.000040742,0.990162957,0,0
1.10681E-8,0.000050374,0.000067937,0.987281399,0,0
2.13272E-8,0.000101724,0.000130903,0.983903021,0,0
4.22662E-8,0.000250854,0.000259407,0.979332273,0,0
8.02847E-8,0.000504804,0.000492687,0.974960254,0,0
1.3776E-7,0.001009482,0.000845248,0.970190779,0,0
3.1448E-7,0.002505214,0.001928498,0.962937202,0,0
5.41529E-7,0.005000553,0.003318532,0.957074722,0,0
8.65255E-7,0.010069451,0.005297086,0.949721781,0,0
1.90631E-6,0.025190295,0.011633228,0.938493641,0,0
3.28335E-6,0.050213593,0.019952362,0.929054054,0,0
5.06698E-6,0.100460073,0.030623788,0.917031002,0,0
7.22964E-6,0.200097211,0.043407199,0.900735294,0,0
8.77152E-6,0.300231534,0.052418097,0.888314785,0,0
1.01717E-5,0.400348246,0.060527453,0.877881558,0,0
1.11767E-5,0.500586758,0.066305282,0.868541335,0,0
1.20678E-5,0.600622743,0.071398288,0.859996025,0,0
1.27474E-5,0.701233651,0.075263959,0.851947536,0,0
1.2979E-5,0.750103877,0.076577525,0.848171701,0,0
1.3327E-5,0.800084903,0.078547831,0.844395866,0,0
1.37779E-5,0.900603669,0.081094791,0.837042925,0,0
1.42931E-5,1.000313163,0.083996546,0.829988076,0,0
1.49242E-5,1.101077979,0.087537809,0.823131955,0,0
1.54302E-5,1.201237562,0.090367824,0.816573927,0,0
1.60313E-5,1.300328954,0.093717562,0.81031399,0,0
1.65986E-5,1.401413113,0.096868054,0.804153418,0,0
1.69757E-5,1.500524276,0.098955913,0.798290938,0,0
1.8221E-5,1.750870252,0.105817211,0.78418124,0,0
1.96284E-5,2.000906313,0.11350897,0.771065183,0,0
2.10424E-5,2.251141128,0.121170223,0.758843402,0,0
2.23536E-5,2.501660824,0.128214778,0.747416534,0,0
2.35893E-5,2.751523746,0.134802453,0.736585851,0,0
2.48255E-5,3.000828715,0.141342669,0.726351351,0,0
2.62059E-5,3.250967686,0.148587453,0.716613672,0,0
2.74212E-5,3.500090245,0.154915568,0.707372814,0,0
2.85939E-5,3.750068944,0.160976966,0.698529412,0,0
2.97483E-5,4.000911652,0.166901188,0.689984102,0.015625,0
3.09883E-5,4.252899819,0.173218098,0.681736884,0.015625,0
3.22169E-5,4.502034323,0.179429942,0.673887122,0.015625,0
3.35552E-5,4.75149525,0.186143116,0.666335453,0.015625,0.142857143
3.49999E-5,5.002258204,0.19332848,0.659081876,0.015625,0.142857143
3.65503E-5,5.251996426,0.200969068,0.652126391,0.015625,0.285714286
3.82225E-5,5.502441769,0.209128587,0.645468998,0.015625,0.285714286
3.95482E-5,5.751173318,0.215538129,0.639109698,0.015625,0.285714286
4.07789E-5,6.003853737,0.221441959,0.632849762,0.015625,0.285714286
4.19348E-5,6.25198959,0.226946599,0.626887917,0.015625,0.285714286
4.30101E-5,6.502625843,0.232032389,0.621025437,0.015625,0.285714286
4.40086E-5,6.750314509,0.236724639,0.615361685,0.015625,0.285714286
4.54253E-5,7.000504694,0.24333343,0.609797297,0.015625,0.285714286
4.66986E-5,7.253726431,0.249224556,0.604332273,0.03125,0.285714286
4.76225E-5,7.503577605,0.25347023,0.599065978,0.046875,0.285714286
4.83252E-5,7.753147913,0.256683241,0.593899046,0.046875,0.285714286
4.91495E-5,8.001804298,0.260434885,0.588831479,0.046875,0.285714286
5.00092E-5,8.254764211,0.264327138,0.583763911,0.046875,0.285714286
5.09496E-5,8.502372869,0.268561654,0.578895072,0.046875,0.285714286
5.16548E-5,8.753891591,0.271721057,0.574026232,0.046875,0.285714286
5.24456E-5,9.003832423,0.275247257,0.569256757,0.046875,0.285714286
5.32246E-5,9.252156271,0.278704707,0.564586645,0.046875,0.285714286
5.40053E-5,9.504239853,0.282153125,0.559916534,0.046875,0.285714286
5.48241E-5,9.754773496,0.28575192,0.555345787,0.046875,0.285714286
