x,y,species avg
1.0,1.0,0.12201366
2.0,2.0,0.8298111
3.0,3.0,0.058227185
4.0,4.0,0.07439472
5.0,5.0,0.48256877
6.0,6.0,0.38791153
7.0,7.0,0.9453552
8.0,8.0,0.023066947
9.0,9.0,0.02424257
10.0,10.0,0.4309895
11.0,11.0,0.25577825
12.0,12.0,0.77141595
13.0,13.0,4.279191E-4
14.0,14.0,0.08074921
15.0,15.0,0.8796316
16.0,16.0,0.835389
17.0,17.0,0.7484817
18.0,18.0,0.55798507
19.0,19.0,0.35984188
20.0,20.0,0.015687585
21.0,21.0,0.5134553
22.0,22.0,0.81401545
23.0,23.0,0.14720601
24.0,24.0,0.29688406
25.0,25.0,0.08547669
26.0,26.0,0.87899804
27.0,27.0,0.30125892
28.0,28.0,0.75832385
29.0,29.0,0.11945745
30.0,30.0,0.77326286
31.0,31.0,0.0015788024
32.0,32.0,0.39150605
33.0,33.0,0.5957304
34.0,34.0,0.34167984
35.0,35.0,0.09786141
36.0,36.0,0.1326143
37.0,37.0,0.0012277944
38.0,38.0,0.0015726049
39.0,39.0,0.7267144
40.0,40.0,0.0021558665
41.0,41.0,0.24569993
42.0,42.0,0.13981067
43.0,43.0,0.28852463
44.0,44.0,0.8023772
45.0,45.0,1.5770607E-5
46.0,46.0,0.038111623
47.0,47.0,0.020177403
48.0,48.0,0.33989117
49.0,49.0,0.60826254
50.0,50.0,0.006337327
51.0,51.0,0.26405135
52.0,52.0,0.8469058
53.0,53.0,0.24878287
54.0,54.0,0.13496386
55.0,55.0,0.38047048
56.0,56.0,0.15334374
57.0,57.0,0.8407247
58.0,58.0,3.4422538E-4
59.0,59.0,0.11349477
60.0,60.0,0.29927686
61.0,61.0,0.41963774
62.0,62.0,0.58359236
63.0,63.0,0.28108463
64.0,64.0,6.3637385E-6
65.0,65.0,0.5123551
66.0,66.0,0.7947909
67.0,67.0,0.094292164
68.0,68.0,0.15229075
69.0,69.0,0.073447734
70.0,70.0,0.74540395
71.0,71.0,0.36090758
72.0,72.0,5.153528E-4
73.0,73.0,0.14002925
74.0,74.0,0.54847324
75.0,75.0,0.02562055
76.0,76.0,0.038406298
77.0,77.0,0.46638563
78.0,78.0,0.31355157
79.0,79.0,0.042382248
80.0,80.0,0.037678488
81.0,81.0,0.031669453
82.0,82.0,0.15114695
83.0,83.0,0.36167726
84.0,84.0,0.48321047
85.0,85.0,0.83612955
86.0,86.0,0.052823614
87.0,87.0,0.4362164
88.0,88.0,0.12123183
89.0,89.0,0.26604676
90.0,90.0,0.6168874
91.0,91.0,0.42249063
92.0,92.0,5.33532E-5
93.0,93.0,0.12377005
94.0,94.0,5.468378E-5
95.0,95.0,0.067519456
96.0,96.0,0.42331788
97.0,97.0,0.48257184
98.0,98.0,0.34767622
99.0,99.0,0.41429433
100.0,100.0,0.051411472
101.0,101.0,0.21915984
102.0,102.0,0.63023543
103.0,103.0,0.076800555
104.0,104.0,0.716048
105.0,105.0,0.0967096
106.0,106.0,0.20512566
107.0,107.0,0.0521931
108.0,108.0,0.6081658
109.0,109.0,0.40360835
110.0,110.0,0.31459197
111.0,111.0,0.007375789
112.0,112.0,0.10739817
113.0,113.0,0.793116
114.0,114.0,0.12770487
115.0,115.0,0.6299098
116.0,116.0,0.43393922
117.0,117.0,0.31198114
118.0,118.0,0.0732886
119.0,119.0,0.12706554
120.0,120.0,0.19040161
121.0,121.0,0.09448282
122.0,122.0,0.0689423
123.0,123.0,0.042075206
124.0,124.0,0.4963705
125.0,125.0,0.48366722
126.0,126.0,0.33624583
127.0,127.0,0.19142969
128.0,128.0,0.07459238
129.0,129.0,0.71854174
130.0,130.0,0.21262687
131.0,131.0,0.37907833
132.0,132.0,0.0015655388
133.0,133.0,0.15529144
134.0,134.0,0.23714402
135.0,135.0,0.7026034
136.0,136.0,0.2887348
137.0,137.0,0.29014418
138.0,138.0,0.40753743
139.0,139.0,0.294955
140.0,140.0,0.31107658
141.0,141.0,0.3571223
142.0,142.0,0.027760914
143.0,143.0,0.5933566
144.0,144.0,0.18408065
145.0,145.0,0.24599743
146.0,146.0,0.08486879
147.0,147.0,0.23255697
148.0,148.0,0.0012208526
149.0,149.0,0.8197575
150.0,150.0,0.16679265
151.0,151.0,0.6904478
152.0,152.0,0.5877402
153.0,153.0,0.71341276
154.0,154.0,0.48268503
155.0,155.0,0.06001123
156.0,156.0,0.44170374
157.0,157.0,0.12088251
158.0,158.0,0.15800142
159.0,159.0,0.42229158
160.0,160.0,0.29094896
161.0,161.0,0.65449625
162.0,162.0,0.3342006
163.0,163.0,0.39170578
164.0,164.0,0.053118035
165.0,165.0,0.9565077
166.0,166.0,0.45482728
167.0,167.0,4.694472E-4
168.0,168.0,0.29884276
169.0,169.0,0.06477508
170.0,170.0,0.07203184
171.0,171.0,0.37361813
172.0,172.0,0.38535267
173.0,173.0,0.8856242
174.0,174.0,0.021646183
175.0,175.0,0.06787526
176.0,176.0,0.54467124
177.0,177.0,0.53703934
178.0,178.0,0.1857787
179.0,179.0,0.4081414
180.0,180.0,0.4940173
181.0,181.0,0.10005094
182.0,182.0,0.008464143
183.0,183.0,0.40418288
184.0,184.0,0.043666918
185.0,185.0,0.9055235
186.0,186.0,0.45389313
187.0,187.0,0.40009865
188.0,188.0,0.9087806
189.0,189.0,0.46348667
190.0,190.0,0.76697475
191.0,191.0,0.31743446
192.0,192.0,0.23985034
193.0,193.0,0.010416183
194.0,194.0,0.823266
195.0,195.0,0.34883034
196.0,196.0,0.36547127
197.0,197.0,0.0678672
198.0,198.0,0.75381315
199.0,199.0,0.13676049
200.0,200.0,0.41708136
201.0,201.0,0.67520255
202.0,202.0,0.22196543
203.0,203.0,0.09512914
204.0,204.0,0.3864335
205.0,205.0,0.12703368
206.0,206.0,0.021761987
207.0,207.0,0.2417884
208.0,208.0,0.4338773
209.0,209.0,0.5739296
210.0,210.0,0.46914655
211.0,211.0,0.3786853
212.0,212.0,0.051009543
213.0,213.0,0.16751602
214.0,214.0,0.4323415
215.0,215.0,0.5916549
216.0,216.0,0.10852936
217.0,217.0,0.2086577
218.0,218.0,0.4985786
219.0,219.0,0.49787322
220.0,220.0,1.7712442E-5
221.0,221.0,0.37611324
222.0,222.0,0.12921381
223.0,223.0,0.42703083
224.0,224.0,0.51318604
225.0,225.0,0.09009363
226.0,226.0,0.19767585
227.0,227.0,0.40801796
228.0,228.0,0.56982255
229.0,229.0,0.60810673
230.0,230.0,0.01584335
231.0,231.0,0.6099273
232.0,232.0,0.15662876
233.0,233.0,0.46303734
234.0,234.0,0.5950456
235.0,235.0,0.7148403
236.0,236.0,0.058732472
237.0,237.0,0.3550489
238.0,238.0,0.25567237
239.0,239.0,0.36236122
240.0,240.0,0.070468865
241.0,241.0,0.38120884
242.0,242.0,0.22498281
243.0,243.0,0.15551096
244.0,244.0,0.52179295
245.0,245.0,0.42699438
246.0,246.0,0.07551321
247.0,247.0,0.11072336
248.0,248.0,0.02134527
249.0,249.0,0.47159207
250.0,250.0,0.35231438
251.0,251.0,0.35448498
252.0,252.0,0.15037909
253.0,253.0,0.49546874
254.0,254.0,0.009975879
255.0,255.0,0.3892541
256.0,256.0,0.26802602
257.0,257.0,0.42563727
258.0,258.0,0.33576733
259.0,259.0,0.06547725
260.0,260.0,0.44933528
261.0,261.0,0.5365679
262.0,262.0,0.0114167025
263.0,263.0,0.11431599
264.0,264.0,0.024121556
265.0,265.0,0.28914517
266.0,266.0,0.87793505
267.0,267.0,0.37507188
268.0,268.0,0.25043595
269.0,269.0,0.9355838
270.0,270.0,0.5337821
271.0,271.0,0.0068097385
272.0,272.0,0.21173327
273.0,273.0,0.13520724
274.0,274.0,0.12350497
275.0,275.0,0.6308743
276.0,276.0,0.24806277
277.0,277.0,0.18117662
278.0,278.0,0.1830534
279.0,279.0,0.8030621
280.0,280.0,0.6153131
281.0,281.0,0.42852166
282.0,282.0,0.46056294
283.0,283.0,0.89165646
284.0,284.0,0.40351775
285.0,285.0,0.23208636
286.0,286.0,0.39926505
287.0,287.0,0.38104352
288.0,288.0,0.20976777
289.0,289.0,0.4473006
290.0,290.0,0.87174684
291.0,291.0,0.6680649
292.0,292.0,0.45914006
293.0,293.0,0.28695422
294.0,294.0,0.083542146
295.0,295.0,0.66171384
296.0,296.0,0.39415807
297.0,297.0,0.93999356
298.0,298.0,0.909776
299.0,299.0,0.20001572
300.0,300.0,0.37649775
301.0,301.0,0.1793573
302.0,302.0,0.14080606
303.0,303.0,0.060676813
304.0,304.0,0.5428983
305.0,305.0,0.037925724
306.0,306.0,0.17195667
307.0,307.0,0.68803215
308.0,308.0,0.22296116
309.0,309.0,0.38189656
310.0,310.0,0.61775154
311.0,311.0,0.0065480396
312.0,312.0,0.3736302
313.0,313.0,0.32853872
314.0,314.0,0.77188075
315.0,315.0,0.13332757
316.0,316.0,0.76834786
317.0,317.0,0.10835156
318.0,318.0,0.122292235
319.0,319.0,0.18058932
320.0,320.0,0.061931673
321.0,321.0,0.67898303
322.0,322.0,0.5147651
323.0,323.0,0.18878907
324.0,324.0,0.45779863
325.0,325.0,0.8276403
326.0,326.0,0.30111808
327.0,327.0,0.2922395
328.0,328.0,0.2928348
329.0,329.0,0.08084263
330.0,330.0,0.0013960087
331.0,331.0,6.687612E-4
332.0,332.0,0.023896392
333.0,333.0,0.20220985
334.0,334.0,0.07818254
335.0,335.0,0.077123456
336.0,336.0,0.36955053
337.0,337.0,0.40407082
338.0,338.0,0.38918936
339.0,339.0,0.09473252
340.0,340.0,0.4298138
341.0,341.0,0.06411473
342.0,342.0,0.1344563
343.0,343.0,0.057670392
344.0,344.0,0.22102436
345.0,345.0,0.92649716
346.0,346.0,0.872213
347.0,347.0,0.27714616
348.0,348.0,2.2267253E-4
349.0,349.0,0.39972222
350.0,350.0,0.37774348
351.0,351.0,0.31446657
352.0,352.0,0.76445866
353.0,353.0,0.3007238
354.0,354.0,0.21888113
355.0,355.0,0.1667798
356.0,356.0,0.4617166
357.0,357.0,0.67896146
358.0,358.0,0.010032411
359.0,359.0,0.47404075
360.0,360.0,0.46969727
361.0,361.0,0.47271013
362.0,362.0,0.8092092
363.0,363.0,0.39208955
364.0,364.0,0.35140988
365.0,365.0,0.28836447
366.0,366.0,0.4317054
367.0,367.0,0.7974138
368.0,368.0,0.7639192
369.0,369.0,0.44590557
370.0,370.0,0.14396782
371.0,371.0,0.25701052
372.0,372.0,0.22339854
373.0,373.0,0.2830995
374.0,374.0,0.45200264
375.0,375.0,0.0690686
376.0,376.0,0.87351465
377.0,377.0,0.67641944
378.0,378.0,0.7473775
379.0,379.0,0.08261655
380.0,380.0,0.025219925
381.0,381.0,0.0054485975
382.0,382.0,0.7990418
383.0,383.0,0.20584069
384.0,384.0,0.56948406
385.0,385.0,0.7719451
386.0,386.0,0.30019668
387.0,387.0,0.64343715
388.0,388.0,0.8979213
389.0,389.0,0.024845827
390.0,390.0,0.036808264
391.0,391.0,0.82782227
392.0,392.0,0.36382523
393.0,393.0,0.05318763
394.0,394.0,0.07360658
395.0,395.0,0.5670353
396.0,396.0,0.33836132
397.0,397.0,0.0017838456
398.0,398.0,5.583769E-6
399.0,399.0,0.7770155
400.0,400.0,0.39162368
401.0,401.0,0.01906009
402.0,402.0,0.07558168
403.0,403.0,0.8290393
404.0,404.0,0.27121782
405.0,405.0,0.5498964
406.0,406.0,0.0021173845
407.0,407.0,0.39804432
408.0,408.0,0.38423914
409.0,409.0,0.86678034
410.0,410.0,0.09964279
411.0,411.0,0.031589206
412.0,412.0,0.3156034
413.0,413.0,0.9160142
414.0,414.0,0.509549
415.0,415.0,0.76975864
416.0,416.0,0.19135825
417.0,417.0,0.0057857013
418.0,418.0,0.14593369
419.0,419.0,0.15384977
420.0,420.0,0.14298883
421.0,421.0,1.8334437E-6
422.0,422.0,0.08148453
423.0,423.0,0.114303544
424.0,424.0,0.4696187
425.0,425.0,0.12344852
426.0,426.0,0.55819124
427.0,427.0,0.5357735
428.0,428.0,0.90664685
429.0,429.0,0.8320986
430.0,430.0,0.2600213
431.0,431.0,0.8291055
432.0,432.0,0.47592598
433.0,433.0,0.19578418
434.0,434.0,0.24424434
435.0,435.0,0.8915136
436.0,436.0,0.40694356
437.0,437.0,0.10757316
438.0,438.0,0.5087691
439.0,439.0,0.16751036
440.0,440.0,0.58182716
441.0,441.0,0.39944124
442.0,442.0,0.928598
443.0,443.0,0.37297842
444.0,444.0,0.21738888
445.0,445.0,0.004821241
446.0,446.0,0.3014307
447.0,447.0,0.11538798
448.0,448.0,0.08979307
449.0,449.0,0.43636078
450.0,450.0,0.7513922
451.0,451.0,0.1428389
452.0,452.0,0.54947054
453.0,453.0,0.12187528
454.0,454.0,0.068733834
455.0,455.0,0.508193
456.0,456.0,0.42583075
457.0,457.0,0.7254428
458.0,458.0,0.1727326
459.0,459.0,0.04773287
460.0,460.0,0.13299005
461.0,461.0,0.76625973
462.0,462.0,0.021870906
463.0,463.0,0.049050488
464.0,464.0,0.030944722
465.0,465.0,0.0709446
466.0,466.0,0.3168722
467.0,467.0,0.25047594
468.0,468.0,0.8931437
469.0,469.0,0.86980945
470.0,470.0,0.45518336
471.0,471.0,0.58287674
472.0,472.0,0.92635614
473.0,473.0,0.3886769
474.0,474.0,0.15849811
475.0,475.0,0.04945911
476.0,476.0,0.18066896
477.0,477.0,0.45200583
478.0,478.0,0.23294327
479.0,479.0,0.45410943
480.0,480.0,0.055142928
481.0,481.0,0.48449075
482.0,482.0,0.07388085
483.0,483.0,0.8464413
484.0,484.0,0.9209035
485.0,485.0,0.29712066
