x,y,species max
1.0,1.0,0.13973202
2.0,2.0,0.8579146
3.0,3.0,0.104332894
4.0,4.0,0.10131091
5.0,5.0,0.5570937
6.0,6.0,0.44767213
7.0,7.0,0.9600806
8.0,8.0,0.052842084
9.0,9.0,0.032671247
10.0,10.0,0.47824094
11.0,11.0,0.3054803
12.0,12.0,0.79830974
13.0,13.0,6.628694E-4
14.0,14.0,0.08914485
15.0,15.0,0.8954348
16.0,16.0,0.8629515
17.0,17.0,0.8032697
18.0,18.0,0.5839252
19.0,19.0,0.43254998
20.0,20.0,0.019563245
21.0,21.0,0.5770059
22.0,22.0,0.85340345
23.0,23.0,0.1623177
24.0,24.0,0.3338107
25.0,25.0,0.11287273
26.0,26.0,0.89825433
27.0,27.0,0.34810084
28.0,28.0,0.7982039
29.0,29.0,0.13294905
30.0,30.0,0.8324584
31.0,31.0,0.0021201954
32.0,32.0,0.4376484
33.0,33.0,0.6483764
34.0,34.0,0.389146
35.0,35.0,0.11309393
36.0,36.0,0.14768969
37.0,37.0,0.0019522981
38.0,38.0,0.002107706
39.0,39.0,0.7536122
40.0,40.0,0.0027275204
41.0,41.0,0.28466547
42.0,42.0,0.1668781
43.0,43.0,0.31077722
44.0,44.0,0.83619225
45.0,45.0,2.6207677E-5
46.0,46.0,0.06743974
47.0,47.0,0.045975883
48.0,48.0,0.38344392
49.0,49.0,0.7021911
50.0,50.0,0.012561718
51.0,51.0,0.33657768
52.0,52.0,0.86199415
53.0,53.0,0.27977195
54.0,54.0,0.1539835
55.0,55.0,0.4393615
56.0,56.0,0.18992142
57.0,57.0,0.8566239
58.0,58.0,5.5149494E-4
59.0,59.0,0.13677144
60.0,60.0,0.32359526
61.0,61.0,0.56838197
62.0,62.0,0.6093592
63.0,63.0,0.32377887
64.0,64.0,1.2266181E-5
65.0,65.0,0.66323596
66.0,66.0,0.8325957
67.0,67.0,0.11024253
68.0,68.0,0.16767186
69.0,69.0,0.090474345
70.0,70.0,0.7749102
71.0,71.0,0.4142913
72.0,72.0,7.773789E-4
73.0,73.0,0.18017173
74.0,74.0,0.5991023
75.0,75.0,0.05867364
76.0,76.0,0.047717165
77.0,77.0,0.5077064
78.0,78.0,0.35126913
79.0,79.0,0.08015809
80.0,80.0,0.0828527
81.0,81.0,0.07285255
82.0,82.0,0.17112447
83.0,83.0,0.43787652
84.0,84.0,0.6502691
85.0,85.0,0.85368854
86.0,86.0,0.09847556
87.0,87.0,0.46134612
88.0,88.0,0.13814455
89.0,89.0,0.3239502
90.0,90.0,0.71373594
91.0,91.0,0.480817
92.0,92.0,8.515223E-5
93.0,93.0,0.14153875
94.0,94.0,8.538412E-5
95.0,95.0,0.09347889
96.0,96.0,0.46271187
97.0,97.0,0.5196909
98.0,98.0,0.3848784
99.0,99.0,0.5024916
100.0,100.0,0.058364015
101.0,101.0,0.26193583
102.0,102.0,0.679626
103.0,103.0,0.0900234
104.0,104.0,0.7416897
105.0,105.0,0.11620492
106.0,106.0,0.25977346
107.0,107.0,0.059112743
108.0,108.0,0.65151227
109.0,109.0,0.4450282
110.0,110.0,0.36387783
111.0,111.0,0.00988844
112.0,112.0,0.121907786
113.0,113.0,0.8242414
114.0,114.0,0.17383459
115.0,115.0,0.7042916
116.0,116.0,0.4691156
117.0,117.0,0.35976252
118.0,118.0,0.10879333
119.0,119.0,0.1497482
120.0,120.0,0.22214621
121.0,121.0,0.16993603
122.0,122.0,0.085503705
123.0,123.0,0.07657503
124.0,124.0,0.5769755
125.0,125.0,0.636059
126.0,126.0,0.37248605
127.0,127.0,0.23145558
128.0,128.0,0.12671211
129.0,129.0,0.7484601
130.0,130.0,0.2695044
131.0,131.0,0.50547695
132.0,132.0,0.002083752
133.0,133.0,0.16794544
134.0,134.0,0.3089625
135.0,135.0,0.72583133
136.0,136.0,0.34714618
137.0,137.0,0.3265413
138.0,138.0,0.44587457
139.0,139.0,0.3810539
140.0,140.0,0.34796333
141.0,141.0,0.4156512
142.0,142.0,0.037052087
143.0,143.0,0.63731414
144.0,144.0,0.20891841
145.0,145.0,0.27670163
146.0,146.0,0.09771173
147.0,147.0,0.2855235
148.0,148.0,0.0017970355
149.0,149.0,0.8533412
150.0,150.0,0.19669664
151.0,151.0,0.7153788
152.0,152.0,0.62397367
153.0,153.0,0.7359701
154.0,154.0,0.5444098
155.0,155.0,0.08035459
156.0,156.0,0.5231038
157.0,157.0,0.14308925
158.0,158.0,0.18690646
159.0,159.0,0.48346043
160.0,160.0,0.312769
161.0,161.0,0.689994
162.0,162.0,0.37376198
163.0,163.0,0.4447803
164.0,164.0,0.068633586
165.0,165.0,0.962938
166.0,166.0,0.47857103
167.0,167.0,6.7214493E-4
168.0,168.0,0.33532575
169.0,169.0,0.11050015
170.0,170.0,0.09234661
171.0,171.0,0.4308043
172.0,172.0,0.47470284
173.0,173.0,0.90620947
174.0,174.0,0.027722782
175.0,175.0,0.08843869
176.0,176.0,0.5675228
177.0,177.0,0.59973323
178.0,178.0,0.2185834
179.0,179.0,0.4448707
180.0,180.0,0.5293578
181.0,181.0,0.11321175
182.0,182.0,0.0110765435
183.0,183.0,0.46446428
184.0,184.0,0.06306226
185.0,185.0,0.9379864
186.0,186.0,0.49141493
187.0,187.0,0.44694546
188.0,188.0,0.93045694
189.0,189.0,0.5717026
190.0,190.0,0.8111283
191.0,191.0,0.3367008
192.0,192.0,0.30229184
193.0,193.0,0.02182329
194.0,194.0,0.847341
195.0,195.0,0.4451729
196.0,196.0,0.4162578
197.0,197.0,0.08985022
198.0,198.0,0.7817809
199.0,199.0,0.15298207
200.0,200.0,0.44942662
201.0,201.0,0.71587354
202.0,202.0,0.27272716
203.0,203.0,0.13600829
204.0,204.0,0.4180804
205.0,205.0,0.14951234
206.0,206.0,0.028386906
207.0,207.0,0.30297127
208.0,208.0,0.47339243
209.0,209.0,0.6193748
210.0,210.0,0.5108584
211.0,211.0,0.42549506
212.0,212.0,0.09249151
213.0,213.0,0.20022878
214.0,214.0,0.49033442
215.0,215.0,0.6540622
216.0,216.0,0.12776628
217.0,217.0,0.2543836
218.0,218.0,0.54174405
219.0,219.0,0.5698587
220.0,220.0,2.7175834E-5
221.0,221.0,0.5098812
222.0,222.0,0.14886768
223.0,223.0,0.4711002
224.0,224.0,0.6257783
225.0,225.0,0.102851
226.0,226.0,0.24684176
227.0,227.0,0.4994919
228.0,228.0,0.6288394
229.0,229.0,0.652942
230.0,230.0,0.020993004
231.0,231.0,0.63105947
232.0,232.0,0.19430739
233.0,233.0,0.5038494
234.0,234.0,0.63340425
235.0,235.0,0.76049024
236.0,236.0,0.07066049
237.0,237.0,0.38695458
238.0,238.0,0.2920852
239.0,239.0,0.4567744
240.0,240.0,0.10450956
241.0,241.0,0.4603025
242.0,242.0,0.2565866
243.0,243.0,0.18633784
244.0,244.0,0.5590506
245.0,245.0,0.47090134
246.0,246.0,0.089963935
247.0,247.0,0.14554632
248.0,248.0,0.028207462
249.0,249.0,0.5192835
250.0,250.0,0.4592773
251.0,251.0,0.45935476
252.0,252.0,0.18121469
253.0,253.0,0.6129661
254.0,254.0,0.013192744
255.0,255.0,0.4279687
256.0,256.0,0.33346424
257.0,257.0,0.46123108
258.0,258.0,0.40963674
259.0,259.0,0.082395226
260.0,260.0,0.59277034
261.0,261.0,0.5875995
262.0,262.0,0.027782798
263.0,263.0,0.13079822
264.0,264.0,0.030806597
265.0,265.0,0.33228764
266.0,266.0,0.89582056
267.0,267.0,0.47934148
268.0,268.0,0.31646213
269.0,269.0,0.949915
270.0,270.0,0.5949084
271.0,271.0,0.014435326
272.0,272.0,0.2410563
273.0,273.0,0.15658434
274.0,274.0,0.15027653
275.0,275.0,0.66439813
276.0,276.0,0.30169243
277.0,277.0,0.20912392
278.0,278.0,0.21726781
279.0,279.0,0.83784634
280.0,280.0,0.6828684
281.0,281.0,0.51963484
282.0,282.0,0.61924636
283.0,283.0,0.913954
284.0,284.0,0.44058064
285.0,285.0,0.25193128
286.0,286.0,0.42847523
287.0,287.0,0.41818178
288.0,288.0,0.249114
289.0,289.0,0.5269383
290.0,290.0,0.88736063
291.0,291.0,0.7064027
292.0,292.0,0.5312609
293.0,293.0,0.3640311
294.0,294.0,0.12048006
295.0,295.0,0.6938803
296.0,296.0,0.43876448
297.0,297.0,0.9602263
298.0,298.0,0.9227227
299.0,299.0,0.2318303
300.0,300.0,0.49436274
301.0,301.0,0.19523853
302.0,302.0,0.1536921
303.0,303.0,0.076925516
304.0,304.0,0.7099116
305.0,305.0,0.04940261
306.0,306.0,0.1929345
307.0,307.0,0.7173244
308.0,308.0,0.284876
309.0,309.0,0.4610724
310.0,310.0,0.6461656
311.0,311.0,0.014986027
312.0,312.0,0.45424837
313.0,313.0,0.35203516
314.0,314.0,0.802555
315.0,315.0,0.1651321
316.0,316.0,0.80004084
317.0,317.0,0.12152214
318.0,318.0,0.13404159
319.0,319.0,0.2230273
320.0,320.0,0.11289082
321.0,321.0,0.71865726
322.0,322.0,0.55181116
323.0,323.0,0.22146253
324.0,324.0,0.4933797
325.0,325.0,0.86291015
326.0,326.0,0.33022445
327.0,327.0,0.35223752
328.0,328.0,0.32735932
329.0,329.0,0.113736995
330.0,330.0,0.0020289922
331.0,331.0,0.0010672774
332.0,332.0,0.03044145
333.0,333.0,0.23620182
334.0,334.0,0.088143274
335.0,335.0,0.13239375
336.0,336.0,0.4516705
337.0,337.0,0.44681647
338.0,338.0,0.44352552
339.0,339.0,0.10446711
340.0,340.0,0.49135128
341.0,341.0,0.081739776
342.0,342.0,0.14670137
343.0,343.0,0.07167176
344.0,344.0,0.2471564
345.0,345.0,0.9430661
346.0,346.0,0.8951219
347.0,347.0,0.32633772
348.0,348.0,3.5891533E-4
349.0,349.0,0.43828142
350.0,350.0,0.4227434
351.0,351.0,0.40989152
352.0,352.0,0.78383267
353.0,353.0,0.34702185
354.0,354.0,0.23465545
355.0,355.0,0.18910907
356.0,356.0,0.5142553
357.0,357.0,0.69994134
358.0,358.0,0.012238953
359.0,359.0,0.6342905
360.0,360.0,0.5145343
361.0,361.0,0.5111329
362.0,362.0,0.8250899
363.0,363.0,0.4349732
364.0,364.0,0.46591297
365.0,365.0,0.37937608
366.0,366.0,0.46186697
367.0,367.0,0.81972873
368.0,368.0,0.7880098
369.0,369.0,0.5098916
370.0,370.0,0.16898626
371.0,371.0,0.30515608
372.0,372.0,0.2860571
373.0,373.0,0.31875423
374.0,374.0,0.49175504
375.0,375.0,0.08212603
376.0,376.0,0.89200044
377.0,377.0,0.7048203
378.0,378.0,0.7768401
379.0,379.0,0.09867768
380.0,380.0,0.031243598
381.0,381.0,0.007084091
382.0,382.0,0.8327452
383.0,383.0,0.23903748
384.0,384.0,0.62370074
385.0,385.0,0.80186176
386.0,386.0,0.33650973
387.0,387.0,0.6974466
388.0,388.0,0.917092
389.0,389.0,0.048014022
390.0,390.0,0.06389351
391.0,391.0,0.8445067
392.0,392.0,0.40164706
393.0,393.0,0.07363251
394.0,394.0,0.095964864
395.0,395.0,0.6144165
396.0,396.0,0.37681386
397.0,397.0,0.002559022
398.0,398.0,1.4327761E-5
399.0,399.0,0.79367757
400.0,400.0,0.4751622
401.0,401.0,0.024608716
402.0,402.0,0.10962866
403.0,403.0,0.85611725
404.0,404.0,0.30928287
405.0,405.0,0.63469785
406.0,406.0,0.0030064606
407.0,407.0,0.44814733
408.0,408.0,0.4213275
409.0,409.0,0.89729446
410.0,410.0,0.11515521
411.0,411.0,0.0776323
412.0,412.0,0.3631202
413.0,413.0,0.92785704
414.0,414.0,0.55485934
415.0,415.0,0.7931461
416.0,416.0,0.20897196
417.0,417.0,0.007963789
418.0,418.0,0.17654705
419.0,419.0,0.17206459
420.0,420.0,0.15837307
421.0,421.0,3.0176589E-6
422.0,422.0,0.09150351
423.0,423.0,0.1375689
424.0,424.0,0.51271844
425.0,425.0,0.13695985
426.0,426.0,0.60647196
427.0,427.0,0.63811624
428.0,428.0,0.9260596
429.0,429.0,0.8609284
430.0,430.0,0.2949216
431.0,431.0,0.8578557
432.0,432.0,0.5164263
433.0,433.0,0.23994392
434.0,434.0,0.2928567
435.0,435.0,0.9191944
436.0,436.0,0.45827323
437.0,437.0,0.12334963
438.0,438.0,0.5502913
439.0,439.0,0.19332321
440.0,440.0,0.6101325
441.0,441.0,0.42978778
442.0,442.0,0.94560564
443.0,443.0,0.40784067
444.0,444.0,0.2586243
445.0,445.0,0.0068332637
446.0,446.0,0.3279704
447.0,447.0,0.13618615
448.0,448.0,0.09984026
449.0,449.0,0.567717
450.0,450.0,0.79699016
451.0,451.0,0.17867039
452.0,452.0,0.58761567
453.0,453.0,0.1350403
454.0,454.0,0.09468911
455.0,455.0,0.5533455
456.0,456.0,0.52397585
457.0,457.0,0.75704896
458.0,458.0,0.19865607
459.0,459.0,0.07911829
460.0,460.0,0.14598888
461.0,461.0,0.7868477
462.0,462.0,0.024989737
463.0,463.0,0.058534928
464.0,464.0,0.040388092
465.0,465.0,0.09251914
466.0,466.0,0.35442623
467.0,467.0,0.2918822
468.0,468.0,0.923393
469.0,469.0,0.89321846
470.0,470.0,0.4943849
471.0,471.0,0.64030695
472.0,472.0,0.9415771
473.0,473.0,0.4378721
474.0,474.0,0.18714778
475.0,475.0,0.061644014
476.0,476.0,0.22049233
477.0,477.0,0.48065934
478.0,478.0,0.25166658
479.0,479.0,0.60943574
480.0,480.0,0.103079766
481.0,481.0,0.5941657
482.0,482.0,0.111132525
483.0,483.0,0.86784506
484.0,484.0,0.94186175
485.0,485.0,0.33385456
486.0,486.0,0.050923415
487.0,487.0,0.103712045
488.0,488.0,0.085122325
489.0,489.0,0.43715668
490.0,490.0,0.43315473
491.0,491.0,0.32016432
492.0,492.0,0.23035842
493.0,493.0,0.12044395
494.0,494.0,0.40881085
495.0,495.0,0.49042848
496.0,496.0,0.08982893
497.0,497.0,0.48067906
498.0,498.0,0.28201053
499.0,499.0,0.69973946
500.0,500.0,0.26342842
501.0,501.0,0.72416335
502.0,502.0,0.89263576
503.0,503.0,0.3170754
504.0,504.0,0.49846902
505.0,505.0,0.54829556
506.0,506.0,0.31756976
507.0,507.0,0.0902451
508.0,508.0,0.060119435
509.0,509.0,0.30998263
510.0,510.0,0.5437753
511.0,511.0,0.46488717
512.0,512.0,0.73339933
513.0,513.0,0.027160063
514.0,514.0,0.25283846
515.0,515.0,0.54947764
516.0,516.0,0.5201037
517.0,517.0,0.064716734
518.0,518.0,0.64126396
519.0,519.0,0.0057039172
520.0,520.0,0.23703279
521.0,521.0,0.5135934
522.0,522.0,0.2379749
523.0,523.0,4.7351612E-4
524.0,524.0,0.4516209
525.0,525.0,0.37340713
526.0,526.0,0.5330732
527.0,527.0,0.7206787
528.0,528.0,0.18590981
529.0,529.0,0.09507681
530.0,530.0,0.78306913
531.0,531.0,0.06959611
532.0,532.0,0.13001604
533.0,533.0,0.70048887
534.0,534.0,0.27748224
535.0,535.0,0.41447368
536.0,536.0,0.005503071
537.0,537.0,0.71882653
538.0,538.0,8.847809E-5
539.0,539.0,0.3264825
540.0,540.0,0.376743
541.0,541.0,0.10907985
542.0,542.0,0.45736128
543.0,543.0,0.0050933477
544.0,544.0,0.5680787
545.0,545.0,0.08600507
546.0,546.0,0.097940914
547.0,547.0,2.3255603E-5
548.0,548.0,0.6390863
549.0,549.0,0.088795215
550.0,550.0,0.8902644
551.0,551.0,0.0017429058
552.0,552.0,0.6884695
553.0,553.0,0.7227319
554.0,554.0,0.6608324
555.0,555.0,0.098842375
556.0,556.0,0.45103788
557.0,557.0,0.72952086
558.0,558.0,0.40381485
559.0,559.0,0.3669751
560.0,560.0,0.50372875
561.0,561.0,0.8797026
562.0,562.0,0.43745992
