Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmin9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmin9 permutation importance,Training gain without ppt9,Training gain without tmean9,Training gain without vpdmin9,Training gain with only ppt9,Training gain with only tmean9,Training gain with only vpdmin9,Test gain without ppt9,Test gain without tmean9,Test gain without vpdmin9,Test gain with only ppt9,Test gain with only tmean9,Test gain with only vpdmin9,AUC without ppt9,AUC without tmean9,AUC without vpdmin9,AUC with only ppt9,AUC with only tmean9,AUC with only vpdmin9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,17,1.2559,2.2324,440,0.9827,2,1.5006,0.9241,0.0409,10017,25.6478,47.2165,27.1357,23.1568,49.8133,27.0298,0.9002,0.9955,1.0935,0.5135,0.7627,0.4706,0.8871,1.1520,1.5213,0.8263,0.9104,0.3566,0.8394,0.8852,0.9281,0.8545,0.8370,0.6967,7.9550,0.1666,1.0000,0.0322,0.4964,0.0000,0.0000,2.464E-1,5.0000,0.1142,0.3316,0.0000,0.0000,1.1E-1,10.0000,0.2292,0.2526,0.0000,0.0000,6.379E-2,59.9859,0.7917,0.0492,0.0000,0.5000,9.601E-2,62.9079,0.8147,0.0441,0.0588,0.5000,8.63E-2,59.9859,0.7917,0.0492,0.0588,0.5000,9.601E-2,59.9859,0.7917,0.0492,0.0000,0.5000,9.601E-2,28.5895,0.4941,0.1338,0.0000,0.0000,1.79E-2,28.5895,0.4941,0.1338,0.0000,0.0000,1.79E-2,4.6879,0.1075,0.3392,0.0000,0.0000,1.151E-1,7.5087,0.1711,0.2844,0.0000,0.0000,8.089E-2
species_1,17,1.1988,2.1024,480,0.9766,2,1.8021,0.9587,0.0104,10017,24.6370,47.8587,27.5043,25.5752,45.8677,28.5571,0.8419,0.9639,1.0416,0.4961,0.7036,0.4533,1.2110,1.3681,1.7746,0.9403,1.2310,0.4806,0.9082,0.9209,0.9750,0.8939,0.9508,0.7080,8.0140,0.1773,1.0000,0.0329,0.5151,0.0000,0.0000,2.654E-1,5.0000,0.1185,0.3415,0.0000,0.0000,1.166E-1,10.0000,0.2390,0.2623,0.0000,0.0000,6.878E-2,31.3090,0.5372,0.1324,0.0000,0.0000,1.752E-2,54.7050,0.7614,0.0643,0.0588,0.0000,4.133E-3,54.7050,0.7614,0.0643,0.0588,0.0000,4.133E-3,54.7050,0.7614,0.0643,0.0588,0.0000,4.133E-3,58.8255,0.7892,0.0560,0.1176,0.0000,3.137E-3,58.8255,0.7892,0.0560,0.1176,0.0000,3.137E-3,4.7903,0.1136,0.3467,0.0000,0.0000,1.202E-1,7.0478,0.1683,0.3017,0.0000,0.0000,9.102E-2
species_2,17,1.1685,2.0708,280,0.9778,2,2.1381,0.9861,0.0076,10017,25.9880,50.3537,23.6583,28.0836,46.0305,25.8859,0.8144,0.9374,1.0460,0.5195,0.7132,0.4126,1.4818,1.6596,1.7856,0.7769,1.1674,0.8456,0.9710,0.9567,0.9719,0.8342,0.9189,0.9170,8.0444,0.1827,1.0000,0.0346,0.5301,0.0000,0.0000,2.81E-1,5.0000,0.1162,0.3545,0.0000,0.0000,1.257E-1,10.0000,0.2345,0.2700,0.0000,0.0000,7.292E-2,33.1938,0.5630,0.1278,0.0000,0.0000,1.633E-2,64.6990,0.8207,0.0469,0.0588,0.0000,2.202E-3,58.5306,0.7825,0.0588,0.0588,0.0000,3.457E-3,64.6990,0.8207,0.0469,0.0588,0.0000,2.202E-3,78.8180,0.8947,0.0247,0.3529,0.0000,6.08E-4,78.8180,0.8947,0.0247,0.3529,0.0000,6.08E-4,5.0101,0.1166,0.3543,0.0000,0.0000,1.255E-1,7.0954,0.1668,0.3111,0.0000,0.0000,9.677E-2
species_3,17,1.1599,2.0500,340,0.9773,2,2.1999,0.9906,0.0057,10017,25.1130,50.9780,23.9090,25.0624,50.0183,24.9193,0.8247,0.9041,1.0355,0.4772,0.7171,0.4198,1.4411,1.8990,1.8700,1.0872,1.1803,0.7933,0.9582,0.9892,0.9795,0.9550,0.9288,0.8743,8.0514,0.1844,1.0000,0.0364,0.5228,0.0000,0.0000,2.733E-1,5.0000,0.1228,0.3525,0.0000,0.0000,1.243E-1,10.0000,0.2372,0.2721,0.0000,0.0000,7.406E-2,35.9449,0.5873,0.1198,0.0000,0.0000,1.435E-2,64.6122,0.8195,0.0478,0.0588,0.0000,2.287E-3,58.9321,0.7838,0.0588,0.0588,0.0000,3.457E-3,64.6122,0.8195,0.0478,0.0588,0.0000,2.287E-3,84.4067,0.9113,0.0174,0.4118,0.0000,3.017E-4,84.4067,0.9113,0.0174,0.4118,0.0000,3.017E-4,4.7766,0.1177,0.3580,0.0000,0.0000,1.282E-1,6.9926,0.1742,0.3133,0.0000,0.0000,9.814E-2
species_4,17,1.1617,2.0460,280,0.9768,2,2.1485,0.9841,0.0107,10017,24.5306,52.3103,23.1590,25.0154,51.4064,23.5782,0.8179,0.9012,1.0434,0.4818,0.7147,0.4095,1.4716,1.8983,1.7953,1.0472,1.1967,0.8651,0.9660,0.9872,0.9676,0.9388,0.9347,0.9566,8.0503,0.1842,1.0000,0.0352,0.5233,0.0000,0.0000,2.739E-1,5.0000,0.1226,0.3491,0.0000,0.0000,1.219E-1,10.0000,0.2447,0.2702,0.0000,0.0000,7.303E-2,36.1688,0.5908,0.1193,0.0000,0.0000,1.423E-2,61.7160,0.8034,0.0536,0.0588,0.0000,2.874E-3,59.0829,0.7882,0.0588,0.0588,0.0000,3.457E-3,61.7160,0.8034,0.0536,0.0588,0.0000,2.874E-3,74.7750,0.8732,0.0310,0.2941,0.0000,9.639E-4,74.7750,0.8732,0.0310,0.2941,0.0000,9.639E-4,4.8253,0.1176,0.3534,0.0000,0.0000,1.249E-1,6.8412,0.1715,0.3129,0.0000,0.0000,9.789E-2
species_5,17,1.1416,2.0141,340,0.9768,2,2.3214,0.9984,0.0009,10017,25.3551,50.5657,24.0791,25.0839,49.4179,25.4982,0.8101,0.8919,1.0203,0.4690,0.7049,0.4139,1.5371,1.9871,1.9740,1.1450,1.2655,0.8368,0.9806,0.9969,0.9957,0.9806,0.9585,0.9201,8.0717,0.1883,1.0000,0.0370,0.5297,0.0000,0.0000,2.806E-1,5.0000,0.1234,0.3584,0.0000,0.0000,1.284E-1,10.0000,0.2413,0.2764,0.0000,0.0000,7.641E-2,36.3879,0.5937,0.1212,0.0000,0.0000,1.469E-2,65.2214,0.8243,0.0479,0.0588,0.0000,2.296E-3,59.6824,0.7901,0.0588,0.0588,0.0000,3.457E-3,65.2214,0.8243,0.0479,0.0588,0.0000,2.296E-3,97.2075,0.9539,0.0028,0.7647,0.0000,7.813E-6,97.2075,0.9539,0.0028,0.7647,0.0000,7.813E-6,4.9002,0.1200,0.3609,0.0000,0.0000,1.302E-1,6.9031,0.1727,0.3197,0.0000,0.0000,1.022E-1
species_6,17,1.1534,2.0509,380,0.9784,2,2.1944,0.9890,0.0069,10017,25.1754,50.1954,24.6292,24.6829,48.9890,26.3281,0.8195,0.9057,1.0209,0.4673,0.7041,0.4346,1.4395,1.8410,1.9446,1.1496,1.2547,0.6565,0.9566,0.9810,0.9916,0.9857,0.9553,0.7848,8.0584,0.1856,1.0000,0.0369,0.5272,0.0000,0.0000,2.779E-1,5.0000,0.1220,0.3567,0.0000,0.0000,1.272E-1,10.0000,0.2344,0.2742,0.0000,0.0000,7.52E-2,37.4313,0.6046,0.1157,0.0000,0.0000,1.339E-2,67.4231,0.8394,0.0429,0.0588,0.0000,1.843E-3,58.9987,0.7840,0.0588,0.0588,0.0000,3.457E-3,67.4231,0.8394,0.0429,0.0588,0.0000,1.843E-3,81.9443,0.9051,0.0207,0.4118,0.0000,4.27E-4,81.9443,0.9051,0.0207,0.4118,0.0000,4.27E-4,4.8783,0.1185,0.3597,0.0000,0.0000,1.294E-1,7.0535,0.1732,0.3155,0.0000,0.0000,9.952E-2
species_7,17,1.2029,2.1169,360,0.9788,2,1.8625,0.9656,0.0017,10017,24.2934,53.2234,22.4832,27.0366,49.2140,23.7494,0.8356,0.9420,1.0804,0.5184,0.7295,0.4138,1.3362,1.6298,1.5389,0.7990,1.0752,0.8342,0.9331,0.9546,0.9337,0.8345,0.8872,0.9052,8.0099,0.1767,1.0000,0.0324,0.5127,0.0000,0.0000,2.629E-1,5.0000,0.1238,0.3355,0.0000,0.0000,1.126E-1,10.0000,0.2471,0.2601,0.0000,0.0000,6.763E-2,34.7611,0.5760,0.1187,0.0000,0.0000,1.409E-2,63.0444,0.8094,0.0487,0.0588,0.0000,2.373E-3,57.7438,0.7794,0.0588,0.0588,0.0000,3.457E-3,63.0444,0.8094,0.0487,0.0588,0.0000,2.373E-3,70.5103,0.8476,0.0360,0.1765,0.0000,1.299E-3,70.5103,0.8476,0.0360,0.1765,0.0000,1.299E-3,4.6331,0.1132,0.3443,0.0000,0.0000,1.186E-1,6.8731,0.1738,0.3005,0.0000,0.0000,9.029E-2
species_8,17,1.1845,2.0854,420,0.9791,2,2.0150,0.9741,0.0168,10017,25.7469,49.9921,24.2611,26.4140,46.7701,26.8160,0.8241,0.9425,1.0504,0.4990,0.7066,0.4312,1.4380,1.6210,1.7634,0.9440,1.2552,0.7047,0.9563,0.9485,0.9659,0.8938,0.9512,0.8103,8.0296,0.1803,1.0000,0.0332,0.5188,0.0000,0.0000,2.692E-1,5.0000,0.1204,0.3423,0.0000,0.0000,1.172E-1,10.0000,0.2455,0.2643,0.0000,0.0000,6.983E-2,34.5407,0.5724,0.1225,0.0000,0.0000,1.5E-2,67.4486,0.8370,0.0419,0.0588,0.5000,8.21E-2,58.3196,0.7804,0.0588,0.0588,0.0000,3.457E-3,67.4486,0.8370,0.0419,0.0588,0.5000,8.21E-2,63.0086,0.8107,0.0497,0.0588,0.0000,2.472E-3,63.0086,0.8107,0.0497,0.0588,0.0000,2.472E-3,4.7909,0.1154,0.3475,0.0000,0.0000,1.208E-1,6.8317,0.1697,0.3065,0.0000,0.0000,9.393E-2
species_9,18,1.2417,2.1456,480,0.9778,1,1.8526,0.9630,-1.0000,10018,25.9798,48.0857,25.9344,24.3843,48.5660,27.0497,0.8660,0.9832,1.0974,0.5262,0.7423,0.4463,1.3333,1.5680,1.6729,0.9004,1.2314,0.7025,0.9277,0.9432,0.9529,0.8679,0.9297,0.7873,7.9703,0.1695,1.0000,0.0309,0.5009,0.0000,0.0000,5.009E-1,5.0000,0.1218,0.3271,0.0000,0.0000,3.271E-1,10.0000,0.2387,0.2522,0.0000,0.0000,2.522E-1,31.8191,0.5392,0.1239,0.0000,0.0000,1.239E-1,60.3327,0.7932,0.0506,0.0556,0.0000,5.061E-2,57.6630,0.7787,0.0556,0.0556,0.0000,5.56E-2,60.3327,0.7932,0.0506,0.0556,0.0000,5.061E-2,68.2884,0.8415,0.0370,0.1667,0.0000,3.703E-2,68.2884,0.8415,0.0370,0.1667,0.0000,3.703E-2,4.5573,0.1090,0.3376,0.0000,0.0000,3.376E-1,7.0967,0.1719,0.2888,0.0000,0.0000,2.888E-1
