x,y,species cloglog values
1.0,1.0,0.13039121
2.0,2.0,0.12350177
3.0,3.0,0.35848355
4.0,4.0,5.301566E-5
5.0,5.0,0.15567711
6.0,6.0,0.077017084
7.0,7.0,0.864715
8.0,8.0,0.6359125
9.0,9.0,0.0031573884
10.0,10.0,0.04940615
11.0,11.0,0.6692757
12.0,12.0,1.9487848E-4
13.0,13.0,0.0013184819
14.0,14.0,0.019864013
15.0,15.0,0.7793251
16.0,16.0,0.25610742
17.0,17.0,0.29939595
18.0,18.0,0.35881442
19.0,19.0,0.023021065
20.0,20.0,0.3257294
21.0,21.0,0.036897536
22.0,22.0,0.10077684
23.0,23.0,3.6360052E-5
24.0,24.0,0.10461888
25.0,25.0,4.6823788E-4
26.0,26.0,0.12846318
27.0,27.0,2.0997644E-4
28.0,28.0,0.001857858
29.0,29.0,6.7669986E-5
30.0,30.0,0.67020816
31.0,31.0,0.79081106
32.0,32.0,0.025362246
33.0,33.0,7.694719E-4
34.0,34.0,8.483754E-6
35.0,35.0,0.28819066
36.0,36.0,0.0041410597
37.0,37.0,5.713406E-4
38.0,38.0,7.2914685E-5
39.0,39.0,0.61196554
40.0,40.0,0.1125559
41.0,41.0,5.3706095E-5
42.0,42.0,6.346419E-7
43.0,43.0,0.023580661
44.0,44.0,0.049381673
45.0,45.0,0.23271632
46.0,46.0,0.07431307
47.0,47.0,0.07873841
48.0,48.0,0.87016374
49.0,49.0,0.11454805
50.0,50.0,7.4133575E-5
51.0,51.0,0.0011486678
52.0,52.0,0.6081252
53.0,53.0,0.020549914
54.0,54.0,7.541315E-4
55.0,55.0,0.0011165077
56.0,56.0,0.15616757
57.0,57.0,2.8164856E-4
58.0,58.0,0.5936595
59.0,59.0,0.45330796
60.0,60.0,5.9446675E-4
61.0,61.0,0.111249425
62.0,62.0,2.0085055E-4
63.0,63.0,0.14192316
64.0,64.0,0.7144567
65.0,65.0,1.4623905E-5
66.0,66.0,0.65680283
67.0,67.0,0.022002563
68.0,68.0,0.5399098
69.0,69.0,0.10188922
70.0,70.0,0.0045044897
71.0,71.0,0.081318215
72.0,72.0,3.403249E-4
73.0,73.0,0.57420594
74.0,74.0,0.6260751
75.0,75.0,0.121349625
76.0,76.0,4.50272E-4
77.0,77.0,0.2092758
78.0,78.0,0.021772444
79.0,79.0,7.558738E-5
80.0,80.0,0.0016754093
81.0,81.0,0.18918398
82.0,82.0,0.0011002792
83.0,83.0,0.0169071
84.0,84.0,8.0277714E-5
