x,y,species max
1.0,1.0,0.41133788
2.0,2.0,1.8062908E-4
3.0,3.0,0.8685207
4.0,4.0,0.71292996
5.0,5.0,0.23363118
6.0,6.0,1.1998454E-5
7.0,7.0,0.92018604
8.0,8.0,0.0481039
9.0,9.0,4.494471E-4
10.0,10.0,0.8571664
11.0,11.0,1.8565133E-4
12.0,12.0,3.953695E-6
13.0,13.0,3.120522E-4
14.0,14.0,0.0011867253
15.0,15.0,0.6744279
16.0,16.0,0.9282346
17.0,17.0,0.002786466
18.0,18.0,0.45314053
19.0,19.0,0.14224784
20.0,20.0,9.090835E-4
21.0,21.0,0.0010350393
22.0,22.0,0.31803286
23.0,23.0,0.08442228
24.0,24.0,0.06804158
25.0,25.0,4.3157875E-6
26.0,26.0,0.9124774
27.0,27.0,1.5874497E-5
28.0,28.0,0.19318987
29.0,29.0,0.015039762
30.0,30.0,0.7441219
31.0,31.0,0.012184253
32.0,32.0,0.10943312
33.0,33.0,0.109400734
34.0,34.0,0.7428451
35.0,35.0,0.059204526
36.0,36.0,0.47576982
37.0,37.0,0.7637752
38.0,38.0,9.390564E-4
39.0,39.0,0.38462842
40.0,40.0,6.709922E-4
41.0,41.0,0.46696424
42.0,42.0,0.39539844
43.0,43.0,0.2714747
44.0,44.0,2.4211347E-4
45.0,45.0,0.8757224
46.0,46.0,0.11459611
47.0,47.0,0.047849007
48.0,48.0,0.8832416
49.0,49.0,1.5298903E-4
50.0,50.0,2.2014719E-8
51.0,51.0,4.706418E-6
52.0,52.0,0.96707064
53.0,53.0,0.5367473
54.0,54.0,0.67774427
55.0,55.0,4.1018598E-6
56.0,56.0,0.001671787
57.0,57.0,0.04229932
58.0,58.0,0.7753443
59.0,59.0,0.08894545
60.0,60.0,0.027173536
61.0,61.0,3.0428637E-6
62.0,62.0,0.82414025
63.0,63.0,0.66019255
64.0,64.0,0.86060756
65.0,65.0,0.16422172
66.0,66.0,0.06509642
67.0,67.0,0.47318727
68.0,68.0,0.018803522
69.0,69.0,0.027366668
70.0,70.0,0.0034210996
