Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.21667E-11,0.000000002,0.000000039,0.999101438,0,0
1.30203E-11,0.000000003,0.000000042,0.999001597,0,0
1.80191E-11,0.000000011,0.000000058,0.998502396,0,0
3.23284E-11,0.000000027,0.000000105,0.997903355,0,0
8.46905E-11,0.000000107,0.000000274,0.996405751,0,0
1.31911E-10,0.000000252,0.000000427,0.995107827,0,0
6.68946E-10,0.000001035,0.000002167,0.992911342,0,0
9.21122E-10,0.00000251,0.000002984,0.991114217,0,0
1.4388E-9,0.000010051,0.000004661,0.984624601,0,0
2.61485E-9,0.000025193,0.000008471,0.97673722,0,0
4.40008E-9,0.000050129,0.000014255,0.969448882,0,0
7.68605E-9,0.000100218,0.0000249,0.961162141,0,0
1.53106E-8,0.000250414,0.0000496,0.947384185,0,0
2.74507E-8,0.000500131,0.000088927,0.935303514,0,0
4.28923E-8,0.001002947,0.000138946,0.921026358,0,0
7.52692E-8,0.002503563,0.000243816,0.895467252,0,0
1.17855E-7,0.005008796,0.000381736,0.869508786,0,0
1.93539E-7,0.010003763,0.0006268,0.837260383,0,0
3.83561E-7,0.025011451,0.001241831,0.783346645,0,0
7.78363E-7,0.050010503,0.002518444,0.737120607,0,0
1.90298E-6,0.100090665,0.006146024,0.696984824,0,0
3.68149E-6,0.200070541,0.011855875,0.659644569,0,0
5.22149E-6,0.300082985,0.016773522,0.63688099,0,0
6.27328E-6,0.400242179,0.020118078,0.619508786,0,0
7.2852E-6,0.500363976,0.023325145,0.604832268,0,0
8.16571E-6,0.600150527,0.026107175,0.591952875,0,0
9.19584E-6,0.700587847,0.029351891,0.580371406,0,0
9.57446E-6,0.750460349,0.030541749,0.575079872,0,0
9.94009E-6,0.800310151,0.031689406,0.569988019,0,0
1.06255E-5,0.900993765,0.033837026,0.560203674,0,0
1.14515E-5,1.000913227,0.036419158,0.551118211,0,0
1.20825E-5,1.100951985,0.038386969,0.542631789,0,0
1.26384E-5,1.200079274,0.040116941,0.534644569,0,0
1.33518E-5,1.301309402,0.042332932,0.526857029,0,0
1.40269E-5,1.401321693,0.044425324,0.51956869,0,0
1.47837E-5,1.500277831,0.046765265,0.512679712,0,0
1.63127E-5,1.750204362,0.05147513,0.496605431,0,0
1.77551E-5,2.00050175,0.055897342,0.481928914,0,0
1.97119E-5,2.251947396,0.061863237,0.468550319,0,0
2.13552E-5,2.500119482,0.066844456,0.456469649,0,0
2.29388E-5,2.752249995,0.071619383,0.445087859,0,0
2.48548E-5,3.002374093,0.07736413,0.434604633,0,0
2.67512E-5,3.252480818,0.083015341,0.424920128,0,0
2.86245E-5,3.501496682,0.088563411,0.415934505,0,0
3.03952E-5,3.75019173,0.093777016,0.407547923,0,0
3.22552E-5,4.001435177,0.099221075,0.399560703,0,0
3.42409E-5,4.251222393,0.104997205,0.392072684,0,0
3.57538E-5,4.502958829,0.109373178,0.384884185,0,0
3.76629E-5,4.752758314,0.114864482,0.378095048,0,0
3.96181E-5,5.003786085,0.12045323,0.371605431,0,0
4.11126E-5,5.250060604,0.124701398,0.365515176,0,0
4.27332E-5,5.502441421,0.129284818,0.35952476,0,0
4.44781E-5,5.751374386,0.134193229,0.353833866,0,0
4.58545E-5,6.000197277,0.138045155,0.348342652,0,0
4.74258E-5,6.252392372,0.142421823,0.342951278,0,0
4.92818E-5,6.50341803,0.147562806,0.337759585,0,0
5.10992E-5,6.754373112,0.152566851,0.332767572,0,0
5.25944E-5,7.003008672,0.156661884,0.32797524,0,0
5.46542E-5,7.255131645,0.162270803,0.323282748,0,0
5.65033E-5,7.500035941,0.167274149,0.318889776,0,0
5.8296E-5,7.752100548,0.172096369,0.314496805,0,0
6.01105E-5,8.000449424,0.176948676,0.310303514,0,0
6.16006E-5,8.255821469,0.180912508,0.306110224,0,0
6.40717E-5,8.501510531,0.187443466,0.302216454,0,0
6.6858E-5,8.756443685,0.194745073,0.298322684,0,0
6.87595E-5,9.000641381,0.199690221,0.294728435,0,0
7.14996E-5,9.253232429,0.20676313,0.291134185,0,0
7.31757E-5,9.506422258,0.211058706,0.287639776,0,0
7.53844E-5,9.752058839,0.216683928,0.284345048,0,0
7.73881E-5,10.004153856,0.221752119,0.281050319,0,0
7.99707E-5,10.2561024,0.2282364,0.277855431,0,0
8.25847E-5,10.500218367,0.234744444,0.274860224,0,0
8.42006E-5,10.750831723,0.238740061,0.271865016,0,0
8.7345E-5,11.008615388,0.246455379,0.268869808,0,0
9.02917E-5,11.258884346,0.253614595,0.266074281,0,0
9.30134E-5,11.50663631,0.260166912,0.263378594,0,0
9.52969E-5,11.751733299,0.265619867,0.260782748,0,0
9.7571E-5,12.002202879,0.271010208,0.258186901,0,0
9.991E-5,12.258485535,0.276513415,0.255591054,0,0
1.02502E-4,12.50091658,0.282562435,0.253194888,0,0
1.04735E-4,12.759968868,0.287735245,0.250698882,0,0
1.06914E-4,13.003743347,0.2927452,0.248402556,0,0
1.09695E-4,13.253098451,0.299087345,0.24610623,0,0
1.11686E-4,13.507476351,0.303593897,0.243809904,0,0
1.13832E-4,13.755865856,0.30841981,0.241613419,0,0
1.1588E-4,14.009249992,0.3129922,0.239416933,0,0
1.18838E-4,14.255733344,0.319544381,0.237320288,0,0
1.21138E-4,14.50796304,0.324596105,0.235223642,0,0
1.23604E-4,14.753123911,0.329970738,0.233226837,0,0
1.25884E-4,15.002306137,0.334902077,0.231230032,0,0
1.2833E-4,15.256889427,0.34015035,0.229233227,0,0
1.31261E-4,15.504000449,0.346387034,0.227336262,0,0
1.33241E-4,15.755361375,0.350565518,0.225439297,0,0
1.3491E-4,16.010375186,0.354068154,0.223542332,0,0
1.36188E-4,16.254500542,0.356735944,0.221745208,0,0
1.38016E-4,16.500992844,0.360534388,0.219948083,0,0
1.39273E-4,16.750492121,0.363133421,0.218150958,0,0
1.41857E-4,17.003674983,0.368442645,0.216353834,0,0
1.43883E-4,17.260904957,0.372574315,0.214556709,0,0
1.45301E-4,17.506932201,0.375450813,0.212859425,0,0
1.47506E-4,17.756132701,0.379894971,0.211162141,0,0
1.48978E-4,18.008451973,0.38284579,0.209464856,0,0
1.5072E-4,18.263371836,0.386317947,0.207767572,0,0
1.52445E-4,18.506277381,0.389738797,0.206170128,0,0
1.54856E-4,18.752061192,0.394486647,0.204572684,0,0
1.56463E-4,19.001240925,0.39763142,0.20297524,0,0
1.57892E-4,19.253028082,0.400412895,0.201377796,0,0
1.59565E-4,19.507021183,0.403654037,0.199780351,0,0
1.61248E-4,19.763663106,0.406896897,0.198182907,0,0
1.6309E-4,20.006803168,0.410425563,0.196685304,0,0
1.64984E-4,20.252604314,0.414031511,0.1951877,0,0
1.67076E-4,20.50159877,0.417990219,0.193690096,0,0
1.68298E-4,20.753454195,0.420288727,0.192192492,0,0
1.70506E-4,21.007974203,0.424421936,0.190694888,0,0
1.71951E-4,21.264876856,0.427108707,0.189197284,0,0
1.75045E-4,21.508160955,0.432822667,0.187799521,0,0
1.76401E-4,21.754279518,0.435310025,0.186401757,0,0
1.78307E-4,22.00276248,0.438785181,0.185003994,0,0
1.79963E-4,22.253854515,0.441788135,0.18360623,0,0
1.82024E-4,22.507722277,0.445502099,0.182208466,0,0
1.83496E-4,22.763596029,0.448140572,0.180810703,0,0
1.84844E-4,23.003214325,0.450546351,0.17951278,0,0
1.8619E-4,23.262970043,0.452936961,0.178115016,0,0
1.87634E-4,23.505858063,0.45548867,0.176817093,0,0
1.89507E-4,23.750926697,0.458784247,0.175519169,0,0
1.91444E-4,24.017933897,0.4621697,0.174121406,0,0
1.94028E-4,24.26892539,0.466652586,0.172823482,0,0
1.95487E-4,24.502346636,0.469168373,0.171625399,0,0
1.97076E-4,24.757631343,0.471893235,0.170327476,0,0
1.99209E-4,25.015458788,0.475530121,0.169029553,0,0
2.0169E-4,25.256596643,0.479729163,0.16783147,0,0
2.03346E-4,25.520022323,0.48251141,0.166533546,0,0
2.04865E-4,25.765017516,0.485052764,0.165335463,0,0
2.06882E-4,26.011994686,0.488406154,0.16413738,0,0
2.10103E-4,26.262207111,0.493716451,0.162939297,0,0
2.12034E-4,26.515748603,0.496873819,0.161741214,0,0
