x,y,species stddev
1.0,1.0,0.026952533
2.0,2.0,3.9710358E-5
3.0,3.0,0.010033844
4.0,4.0,0.01860778
5.0,5.0,0.025330503
6.0,6.0,2.8849706E-6
7.0,7.0,0.014660763
8.0,8.0,0.005191241
9.0,9.0,8.599411E-5
10.0,10.0,0.01589856
11.0,11.0,3.7669466E-5
12.0,12.0,8.9817996E-7
13.0,13.0,6.441834E-5
14.0,14.0,2.0849965E-4
15.0,15.0,0.022364799
16.0,16.0,0.013059234
17.0,17.0,4.6200995E-4
18.0,18.0,0.0284871
19.0,19.0,0.009436766
20.0,20.0,1.6123109E-4
21.0,21.0,1.7023124E-4
22.0,22.0,0.030847609
23.0,23.0,0.0106597
24.0,24.0,0.009385212
25.0,25.0,9.1302365E-7
26.0,26.0,0.0073402696
27.0,27.0,3.2519224E-6
28.0,28.0,0.017790714
29.0,29.0,0.0020825218
30.0,30.0,0.02153293
31.0,31.0,0.0017163957
32.0,32.0,0.010943013
33.0,33.0,0.012275449
34.0,34.0,0.027368406
35.0,35.0,0.008117143
36.0,36.0,0.029822787
37.0,37.0,0.021395802
38.0,38.0,1.9716543E-4
39.0,39.0,0.039207894
40.0,40.0,1.4104112E-4
41.0,41.0,0.035147846
42.0,42.0,0.027344411
43.0,43.0,0.02952615
44.0,44.0,4.990863E-5
45.0,45.0,0.014882517
46.0,46.0,0.009138891
47.0,47.0,0.005584733
48.0,48.0,0.017202595
49.0,49.0,3.398025E-5
50.0,50.0,7.701731E-9
51.0,51.0,1.2534985E-6
52.0,52.0,0.0064756884
53.0,53.0,0.041400332
54.0,54.0,0.02921239
55.0,55.0,9.3339827E-7
56.0,56.0,3.5273342E-4
57.0,57.0,0.005273514
58.0,58.0,0.02012223
59.0,59.0,0.009792584
60.0,60.0,0.003433053
61.0,61.0,6.4867686E-7
62.0,62.0,0.017832145
63.0,63.0,0.021686979
64.0,64.0,0.016816841
65.0,65.0,0.017126672
66.0,66.0,0.0070480136
67.0,67.0,0.032482386
68.0,68.0,0.0025761384
69.0,69.0,0.0034391894
70.0,70.0,5.818085E-4
71.0,71.0,0.004213979
72.0,72.0,0.008428884
73.0,73.0,0.027834456
74.0,74.0,0.025417924
75.0,75.0,0.0058093835
76.0,76.0,3.9494666E-6
77.0,77.0,0.019193245
78.0,78.0,1.0418119E-4
79.0,79.0,6.020156E-7
80.0,80.0,9.871849E-4
81.0,81.0,0.0067552887
82.0,82.0,0.035100378
83.0,83.0,0.0032316216
84.0,84.0,3.6248428E-5
85.0,85.0,0.004191005
86.0,86.0,0.0036688696
87.0,87.0,0.008819341
88.0,88.0,0.008895583
89.0,89.0,0.018015338
90.0,90.0,0.012551757
91.0,91.0,6.3632186E-5
92.0,92.0,0.008066875
93.0,93.0,0.0015083012
94.0,94.0,1.1345046E-4
95.0,95.0,0.0015541946
96.0,96.0,7.855518E-7
97.0,97.0,0.015449258
98.0,98.0,0.014840802
99.0,99.0,0.0023493744
100.0,100.0,0.01472896
101.0,101.0,0.011273745
102.0,102.0,1.7746557E-4
103.0,103.0,0.0015598419
104.0,104.0,0.00882691
105.0,105.0,0.008731569
106.0,106.0,0.008407816
107.0,107.0,0.032787852
108.0,108.0,0.015883343
109.0,109.0,0.0018763301
110.0,110.0,0.0030584845
111.0,111.0,0.021473328
112.0,112.0,0.0021893473
113.0,113.0,0.021371525
114.0,114.0,2.1737736E-5
115.0,115.0,7.510862E-5
116.0,116.0,8.936313E-6
117.0,117.0,0.012271126
118.0,118.0,0.01629674
119.0,119.0,0.019930892
120.0,120.0,0.0021974412
121.0,121.0,0.021018194
122.0,122.0,4.802091E-7
123.0,123.0,3.1035088E-5
124.0,124.0,0.010246364
125.0,125.0,0.0026523129
126.0,126.0,0.0069228346
127.0,127.0,5.9360053E-5
128.0,128.0,8.808301E-5
129.0,129.0,0.0021733681
130.0,130.0,0.006369256
131.0,131.0,0.031166125
132.0,132.0,0.0031812205
133.0,133.0,0.0059328172
134.0,134.0,0.0063912375
135.0,135.0,0.0269752
136.0,136.0,0.011126561
137.0,137.0,0.0049182666
138.0,138.0,9.621126E-5
139.0,139.0,1.5724088E-5
140.0,140.0,0.0062112883
141.0,141.0,0.0040344833
142.0,142.0,9.96777E-5
143.0,143.0,4.7982958E-5
144.0,144.0,9.976579E-5
145.0,145.0,0.0170313
146.0,146.0,0.0106113525
147.0,147.0,1.4686601E-5
148.0,148.0,0.026338615
149.0,149.0,0.04238399
150.0,150.0,0.0089663975
151.0,151.0,0.03673925
152.0,152.0,0.052613493
153.0,153.0,0.0017106147
154.0,154.0,0.010921544
155.0,155.0,3.420824E-5
156.0,156.0,7.656795E-6
157.0,157.0,5.812861E-7
158.0,158.0,5.9521204E-5
159.0,159.0,0.0069381217
160.0,160.0,1.1208172E-4
161.0,161.0,0.017674012
162.0,162.0,0.027955793
163.0,163.0,1.2477774E-5
164.0,164.0,0.011279958
165.0,165.0,0.008914599
166.0,166.0,0.03175497
167.0,167.0,0.02722492
168.0,168.0,3.2545454E-4
169.0,169.0,0.0050116503
170.0,170.0,0.016900036
171.0,171.0,0.026017264
172.0,172.0,0.008976059
173.0,173.0,0.010273821
174.0,174.0,0.033082657
175.0,175.0,3.9226226E-5
176.0,176.0,7.360987E-5
177.0,177.0,0.016022338
178.0,178.0,0.040249184
179.0,179.0,0.0016877218
180.0,180.0,5.6661305E-4
181.0,181.0,2.7492337E-5
182.0,182.0,0.011059203
183.0,183.0,1.2417926E-4
184.0,184.0,0.02548049
185.0,185.0,0.008066139
186.0,186.0,1.2908914E-7
187.0,187.0,0.007125945
188.0,188.0,0.011752216
189.0,189.0,0.0038087866
190.0,190.0,0.02012312
191.0,191.0,1.6514411E-4
192.0,192.0,6.797568E-5
193.0,193.0,7.6101256E-5
194.0,194.0,0.0029402555
195.0,195.0,4.781278E-7
196.0,196.0,0.04160021
197.0,197.0,5.8994574E-5
198.0,198.0,0.028296242
199.0,199.0,2.7790487E-5
200.0,200.0,0.0024704912
201.0,201.0,0.007269181
202.0,202.0,0.0038541218
203.0,203.0,2.5089798E-4
204.0,204.0,0.0016820612
205.0,205.0,0.026291706
206.0,206.0,1.4127303E-6
207.0,207.0,0.0050876364
208.0,208.0,0.021734891
209.0,209.0,0.028527383
210.0,210.0,3.1788873E-6
211.0,211.0,0.017077895
212.0,212.0,6.4632174E-4
213.0,213.0,1.3795101E-6
214.0,214.0,0.0017259584
215.0,215.0,0.033004455
216.0,216.0,8.5516884E-5
217.0,217.0,0.025468266
218.0,218.0,0.014355718
219.0,219.0,4.0142806E-4
220.0,220.0,0.02424771
221.0,221.0,0.031435467
222.0,222.0,0.009742647
223.0,223.0,0.010478703
224.0,224.0,0.006053317
225.0,225.0,0.00786464
226.0,226.0,0.031636506
227.0,227.0,0.03889349
228.0,228.0,0.0327987
229.0,229.0,0.03369307
230.0,230.0,0.009483873
231.0,231.0,0.019930318
232.0,232.0,0.031401128
233.0,233.0,0.0033660019
234.0,234.0,3.841138E-5
235.0,235.0,0.027308233
236.0,236.0,1.0220754E-5
237.0,237.0,0.0061295163
238.0,238.0,0.007405356
239.0,239.0,4.013286E-9
240.0,240.0,0.0045357984
241.0,241.0,0.0050711194
242.0,242.0,0.035706647
243.0,243.0,9.4542265E-5
244.0,244.0,0.009484044
245.0,245.0,0.01689643
246.0,246.0,1.5571823E-5
247.0,247.0,0.0027557965
248.0,248.0,0.007017094
249.0,249.0,4.9564807E-4
250.0,250.0,0.002454866
251.0,251.0,0.0023721869
252.0,252.0,1.3522578E-4
253.0,253.0,0.0043199663
254.0,254.0,0.018129587
255.0,255.0,0.006416323
256.0,256.0,0.020487553
257.0,257.0,0.014931828
258.0,258.0,4.9850263E-7
259.0,259.0,0.0062357723
260.0,260.0,0.004433734
261.0,261.0,0.026273021
262.0,262.0,5.888638E-5
263.0,263.0,0.019478066
264.0,264.0,9.687614E-8
265.0,265.0,0.032336775
266.0,266.0,0.013013735
267.0,267.0,1.2798383E-4
268.0,268.0,0.001337961
269.0,269.0,1.2648833E-4
270.0,270.0,0.0026286067
271.0,271.0,7.941128E-5
272.0,272.0,0.0017905118
273.0,273.0,7.8904195E-5
274.0,274.0,0.0014191653
275.0,275.0,0.036848225
276.0,276.0,0.016890327
277.0,277.0,0.031924117
278.0,278.0,0.024898237
279.0,279.0,0.0043762433
280.0,280.0,0.026629966
281.0,281.0,8.1766315E-4
282.0,282.0,0.021512773
283.0,283.0,0.0058276667
284.0,284.0,3.1070344E-4
285.0,285.0,0.018621868
286.0,286.0,0.03225016
287.0,287.0,1.9983809E-5
288.0,288.0,0.007138663
289.0,289.0,0.007863892
290.0,290.0,0.0066059045
291.0,291.0,0.005058305
292.0,292.0,0.010625711
293.0,293.0,0.02664212
294.0,294.0,3.4680102E-7
295.0,295.0,0.023802875
296.0,296.0,0.02547849
297.0,297.0,0.03288131
298.0,298.0,0.027105538
299.0,299.0,0.001182451
300.0,300.0,0.0051780716
301.0,301.0,1.6052127E-5
302.0,302.0,0.03894233
303.0,303.0,0.010950674
304.0,304.0,0.009551764
305.0,305.0,0.02535855
306.0,306.0,7.848313E-6
307.0,307.0,0.019842979
308.0,308.0,9.421382E-6
309.0,309.0,0.0025713737
310.0,310.0,0.001808568
311.0,311.0,0.01674609
312.0,312.0,0.012430086
313.0,313.0,0.0025868735
314.0,314.0,0.006116845
315.0,315.0,0.0072912597
316.0,316.0,1.2177705E-4
317.0,317.0,0.001830201
318.0,318.0,0.005891797
319.0,319.0,0.020453572
320.0,320.0,0.008694664
321.0,321.0,0.021384044
322.0,322.0,0.030092234
323.0,323.0,4.903525E-7
324.0,324.0,0.007585755
325.0,325.0,0.005129437
326.0,326.0,0.023664223
327.0,327.0,2.652846E-4
328.0,328.0,0.047278557
329.0,329.0,0.011106621
330.0,330.0,1.407777E-4
331.0,331.0,0.015239515
332.0,332.0,0.006078901
333.0,333.0,0.013163
334.0,334.0,7.552658E-7
335.0,335.0,8.967157E-6
336.0,336.0,8.735716E-5
337.0,337.0,0.0027011214
338.0,338.0,3.529895E-5
339.0,339.0,5.1034073E-4
340.0,340.0,0.009731957
341.0,341.0,0.0055449703
342.0,342.0,0.017741146
343.0,343.0,2.7949729E-5
344.0,344.0,0.03698765
345.0,345.0,0.011700407
346.0,346.0,0.00272411
347.0,347.0,0.0054300837
348.0,348.0,0.012481868
349.0,349.0,9.576816E-4
350.0,350.0,0.035127718
351.0,351.0,0.009503474
352.0,352.0,0.008446614
353.0,353.0,0.0020470186
354.0,354.0,4.670206E-7
355.0,355.0,0.014267674
356.0,356.0,0.013516833
357.0,357.0,0.021186737
358.0,358.0,4.374093E-5
359.0,359.0,0.018302424
360.0,360.0,4.0406085E-6
361.0,361.0,8.608596E-5
362.0,362.0,0.02590789
363.0,363.0,2.839827E-5
364.0,364.0,1.1312826E-4
365.0,365.0,6.251421E-7
366.0,366.0,0.028897308
367.0,367.0,7.369385E-5
368.0,368.0,5.9011014E-5
369.0,369.0,5.912782E-4
370.0,370.0,2.165818E-4
371.0,371.0,2.1576985E-4
372.0,372.0,2.279706E-4
373.0,373.0,0.023533348
374.0,374.0,0.0026565809
375.0,375.0,0.0031811998
376.0,376.0,3.0195658E-6
377.0,377.0,0.03023869
378.0,378.0,0.0032969923
379.0,379.0,0.032716084
