Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tmean11 contribution,vpdmax11 contribution,vpdmin11 contribution,ppt11 permutation importance,tmean11 permutation importance,vpdmax11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tmean11,Training gain without vpdmax11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tmean11,Training gain with only vpdmax11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tmean11,Test gain without vpdmax11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tmean11,Test gain with only vpdmax11,Test gain with only vpdmin11,AUC without ppt11,AUC without tmean11,AUC without vpdmax11,AUC without vpdmin11,AUC with only ppt11,AUC with only tmean11,AUC with only vpdmax11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,17,1.0955,1.7112,300,0.9506,2,0.9157,0.8786,0.0163,10017,17.7197,31.3652,44.6443,6.2709,12.9730,23.0005,55.0129,9.0137,0.9398,0.9880,0.8216,1.0415,0.2335,0.5656,0.6408,0.0863,1.4704,0.7548,0.5545,0.7329,-0.0875,0.8653,0.9541,0.1219,0.9354,0.8601,0.8008,0.8413,0.4976,0.8550,0.8583,0.6242,8.1164,0.1958,1.0000,0.0298,0.5937,0.0000,0.0000,3.525E-1,5.0000,0.1276,0.4099,0.0000,0.0000,1.68E-1,10.0000,0.2137,0.3195,0.0000,0.0000,1.021E-1,34.0117,0.5228,0.1359,0.0000,0.5000,2.533E-1,34.8194,0.5341,0.1324,0.0588,0.5000,2.472E-1,38.4110,0.5793,0.1176,0.1176,0.5000,2.214E-1,34.0117,0.5228,0.1359,0.0000,0.5000,2.533E-1,32.2089,0.4997,0.1444,0.0000,0.0000,2.084E-2,32.2089,0.4997,0.1444,0.0000,0.0000,2.084E-2,4.8996,0.1250,0.4124,0.0000,0.0000,1.701E-1,8.9759,0.1982,0.3343,0.0000,0.0000,1.118E-1
species_1,17,0.9920,1.6286,260,0.9515,2,1.8705,0.9761,0.0105,10017,6.9151,32.6925,54.5366,5.8558,3.8419,26.0388,59.4496,10.6697,0.9382,0.8860,0.6908,0.9424,0.1828,0.5488,0.6614,0.0694,1.5347,1.6067,1.5335,1.6729,0.2192,0.9862,0.8500,0.2301,0.9432,0.9586,0.9841,0.9633,0.5619,0.9137,0.8350,0.7435,8.2210,0.2183,1.0000,0.0295,0.6296,0.0000,0.0000,3.964E-1,5.0000,0.1328,0.4231,0.0000,0.0000,1.79E-1,10.0000,0.2370,0.3309,0.0000,0.0000,1.095E-1,45.8453,0.6757,0.1059,0.0000,0.0000,1.122E-2,50.1595,0.7062,0.0923,0.0588,0.0000,8.527E-3,50.1595,0.7062,0.0923,0.1176,0.0000,8.527E-3,45.8453,0.6757,0.1059,0.0000,0.0000,1.122E-2,72.3044,0.8581,0.0387,0.6471,0.0000,1.5E-3,72.3044,0.8581,0.0387,0.6471,0.0000,1.5E-3,5.2077,0.1379,0.4179,0.0000,0.0000,1.746E-1,7.4152,0.1885,0.3712,0.0000,0.0000,1.378E-1
species_2,17,1.1001,1.7530,420,0.9533,2,0.8954,0.8550,0.0737,10017,8.5389,34.7403,48.2687,8.4521,3.5024,23.3373,47.7552,25.4050,1.0406,0.9604,0.7920,0.9735,0.1697,0.5604,0.6443,0.1366,0.5866,0.9922,0.7730,1.4110,0.4311,0.8988,0.9650,-0.3843,0.8119,0.8636,0.8114,0.9322,0.8464,0.8662,0.8742,0.4367,8.1131,0.1951,1.0000,0.0281,0.5864,0.0000,0.0000,3.439E-1,5.0000,0.1265,0.3963,0.0000,0.0000,1.571E-1,10.0000,0.2249,0.3085,0.0000,0.0000,9.516E-2,31.6817,0.5121,0.1449,0.0000,0.5000,2.687E-1,43.1940,0.6392,0.0999,0.0588,0.5000,1.899E-1,43.2246,0.6397,0.0999,0.1176,0.5000,1.899E-1,31.6817,0.5121,0.1449,0.0000,0.5000,2.687E-1,15.4742,0.3067,0.2492,0.0000,0.0000,6.209E-2,15.4742,0.3067,0.2492,0.0000,0.0000,6.209E-2,4.9158,0.1246,0.3984,0.0000,0.0000,1.587E-1,8.2699,0.1936,0.3331,0.0000,0.0000,1.11E-1
species_3,17,1.0970,1.6989,300,0.9486,2,1.0780,0.8970,0.0105,10017,15.8211,31.6928,46.1605,6.3257,9.4593,21.4687,57.0813,11.9908,0.9870,0.9703,0.7801,1.0368,0.2098,0.5575,0.6617,0.0848,1.1678,1.0165,0.9492,0.9298,0.0513,0.9566,0.8619,0.1423,0.8961,0.8956,0.8840,0.8718,0.5490,0.8900,0.8466,0.5725,8.1149,0.1955,1.0000,0.0295,0.5843,0.0000,0.0000,3.414E-1,5.0000,0.1270,0.4018,0.0000,0.0000,1.615E-1,10.0000,0.2216,0.3132,0.0000,0.0000,9.807E-2,27.6880,0.4556,0.1656,0.0000,0.0000,2.743E-2,46.1043,0.6627,0.0904,0.0588,0.5000,1.727E-1,46.1043,0.6627,0.0904,0.1176,0.5000,1.727E-1,46.1043,0.6627,0.0904,0.0588,0.5000,1.727E-1,38.1412,0.5816,0.1175,0.0588,0.0000,1.381E-2,38.1412,0.5816,0.1175,0.0588,0.0000,1.381E-2,4.8979,0.1249,0.4044,0.0000,0.0000,1.635E-1,8.5570,0.1957,0.3337,0.0000,0.0000,1.114E-1
species_4,17,1.0409,1.6613,300,0.9483,2,1.6185,0.9565,0.0027,10017,12.8575,33.0886,47.8455,6.2084,8.2032,22.7724,56.5500,12.4744,0.9444,0.9324,0.7395,0.9842,0.1898,0.5474,0.6482,0.0813,1.6197,1.4170,1.2953,1.4527,0.2342,1.0140,1.0855,0.1704,0.9539,0.9428,0.9454,0.9399,0.6456,0.9337,0.8781,0.5981,8.1715,0.2074,1.0000,0.0298,0.6050,0.0000,0.0000,3.66E-1,5.0000,0.1337,0.4147,0.0000,0.0000,1.72E-1,10.0000,0.2300,0.3250,0.0000,0.0000,1.057E-1,34.0898,0.5407,0.1434,0.0000,0.0000,2.055E-2,46.5722,0.6710,0.0959,0.0588,0.0000,9.204E-3,46.6037,0.6712,0.0959,0.1176,0.0000,9.204E-3,34.0898,0.5407,0.1434,0.0000,0.0000,2.055E-2,65.7985,0.8203,0.0468,0.5294,0.0000,2.192E-3,65.7985,0.8203,0.0468,0.5294,0.0000,2.192E-3,4.9021,0.1317,0.4172,0.0000,0.0000,1.74E-1,8.0993,0.1958,0.3532,0.0000,0.0000,1.247E-1
species_5,17,1.0752,1.6885,320,0.9493,2,1.2501,0.9155,0.0096,10017,11.8192,34.5970,48.1909,5.3929,5.3671,24.3031,57.6549,12.6750,0.9896,0.9513,0.7426,1.0093,0.1855,0.5428,0.6651,0.0825,1.1346,1.1820,1.2516,1.1568,0.2411,1.0146,0.8413,0.1353,0.8923,0.9171,0.9401,0.9011,0.6587,0.9319,0.8421,0.5435,8.1393,0.2004,1.0000,0.0291,0.5966,0.0000,0.0000,3.559E-1,5.0000,0.1285,0.4077,0.0000,0.0000,1.662E-1,10.0000,0.2236,0.3176,0.0000,0.0000,1.008E-1,32.3411,0.5207,0.1455,0.0000,0.0000,2.116E-2,40.7074,0.6116,0.1113,0.0588,0.0000,1.239E-2,40.7074,0.6116,0.1113,0.1176,0.0000,1.239E-2,32.3411,0.5207,0.1455,0.0000,0.0000,2.116E-2,44.6743,0.6541,0.0977,0.1176,0.0000,9.552E-3,44.6743,0.6541,0.0977,0.1176,0.0000,9.552E-3,4.9609,0.1278,0.4087,0.0000,0.0000,1.67E-1,8.3282,0.1927,0.3420,0.0000,0.0000,1.17E-1
species_6,17,1.1089,1.7124,300,0.9498,2,0.7720,0.8589,0.0066,10017,18.8887,28.6587,47.6485,4.8041,13.4053,20.7775,58.0119,7.8053,0.9469,1.0045,0.8130,1.0682,0.2350,0.5644,0.6693,0.0730,1.4284,0.5916,0.5492,0.5511,-0.1258,0.8734,0.7933,0.1703,0.9292,0.8327,0.7978,0.8145,0.4754,0.8579,0.8214,0.6249,8.1030,0.1933,1.0000,0.0298,0.5845,0.0000,0.0000,3.416E-1,5.0000,0.1279,0.4019,0.0000,0.0000,1.615E-1,10.0000,0.2170,0.3138,0.0000,0.0000,9.845E-2,33.3725,0.5162,0.1376,0.0000,0.5000,2.562E-1,34.4465,0.5297,0.1329,0.0588,0.5000,2.481E-1,38.1725,0.5751,0.1176,0.1176,1.0000,1E0,33.3725,0.5162,0.1376,0.0000,0.5000,2.562E-1,30.7743,0.4890,0.1498,0.0000,0.0000,2.245E-2,30.7743,0.4890,0.1498,0.0000,0.0000,2.245E-2,4.8084,0.1234,0.4067,0.0000,0.0000,1.654E-1,8.8707,0.1980,0.3298,0.0000,0.0000,1.088E-1
species_7,17,1.0983,1.7255,320,0.9525,2,1.1152,0.8957,0.0408,10017,16.8084,31.5440,44.3598,7.2878,11.3337,26.2461,52.4328,9.9874,0.9804,0.9769,0.8124,1.0288,0.2151,0.5769,0.6481,0.0962,1.3072,1.0351,0.7095,1.0563,0.0153,0.8291,1.0681,0.0310,0.9118,0.8848,0.8306,0.8868,0.5322,0.8299,0.8930,0.5831,8.1173,0.1959,1.0000,0.0297,0.5848,0.0000,0.0000,3.42E-1,5.0000,0.1304,0.4031,0.0000,0.0000,1.625E-1,10.0000,0.2170,0.3141,0.0000,0.0000,9.864E-2,43.2119,0.6393,0.0994,0.0000,0.5000,1.89E-1,50.0220,0.7054,0.0791,0.0588,0.5000,1.519E-1,50.0220,0.7054,0.0791,0.0588,0.5000,1.519E-1,43.2119,0.6393,0.0994,0.0000,0.5000,1.89E-1,28.3736,0.4615,0.1619,0.0000,0.0000,2.622E-2,28.3736,0.4615,0.1619,0.0000,0.0000,2.622E-2,4.7730,0.1251,0.4087,0.0000,0.0000,1.67E-1,8.5860,0.1943,0.3346,0.0000,0.0000,1.12E-1
species_8,17,1.0104,1.6159,320,0.9459,2,1.7888,0.9710,0.0061,10017,9.4409,34.9587,49.1113,6.4890,6.0035,24.3262,57.3927,12.2777,0.9459,0.8883,0.7039,0.9539,0.1698,0.5453,0.6399,0.0737,1.5022,1.6936,1.5686,1.5992,0.4295,1.0100,1.0135,0.1975,0.9454,0.9670,0.9827,0.9559,0.8090,0.9255,0.8832,0.6525,8.2016,0.2140,1.0000,0.0305,0.6135,0.0000,0.0000,3.763E-1,5.0000,0.1376,0.4204,0.0000,0.0000,1.767E-1,10.0000,0.2350,0.3307,0.0000,0.0000,1.094E-1,35.3329,0.5584,0.1423,0.0000,0.0000,2.024E-2,45.4365,0.6624,0.1034,0.0588,0.0000,1.07E-2,45.4662,0.6624,0.1033,0.1176,0.0000,1.068E-2,35.3329,0.5584,0.1423,0.0000,0.0000,2.024E-2,72.0013,0.8594,0.0374,0.6471,0.0000,1.401E-3,72.0013,0.8594,0.0374,0.6471,0.0000,1.401E-3,4.8914,0.1354,0.4231,0.0000,0.0000,1.79E-1,7.7906,0.1948,0.3640,0.0000,0.0000,1.325E-1
species_9,18,1.0283,1.6676,400,0.9530,1,2.5098,0.9994,-1.0000,10018,8.9139,34.6169,49.8609,6.6083,16.2686,31.7044,39.4080,12.6190,0.9649,0.9124,0.7478,0.9681,0.1886,0.5925,0.6608,0.0771,1.9461,2.3386,1.8488,2.2523,0.3826,0.8209,1.2809,0.2960,0.9920,0.9985,0.9967,0.9988,0.6387,0.8241,0.9482,0.9098,8.1832,0.2101,1.0000,0.0300,0.5977,0.0000,0.0000,5.977E-1,5.0000,0.1393,0.4094,0.0000,0.0000,4.094E-1,10.0000,0.2399,0.3228,0.0000,0.0000,3.228E-1,38.0683,0.5954,0.1279,0.0000,0.0000,1.279E-1,52.5359,0.7383,0.0805,0.0556,0.0000,8.046E-2,52.5359,0.7383,0.0805,0.0556,0.0000,8.046E-2,38.0683,0.5954,0.1279,0.0000,0.0000,1.279E-1,99.2053,0.9876,0.0006,0.9444,0.0000,5.989E-4,99.2053,0.9876,0.0006,0.9444,0.0000,5.989E-4,4.7253,0.1331,0.4162,0.0000,0.0000,4.162E-1,7.6361,0.1953,0.3574,0.0000,0.0000,3.574E-1
