x,y,species_1 cloglog values
1.0,1.0,0.016945854
2.0,2.0,0.03436206
3.0,3.0,0.027622785
4.0,4.0,0.3783253
5.0,5.0,0.8167099
6.0,6.0,0.1955783
7.0,7.0,0.13514215
8.0,8.0,0.018108923
9.0,9.0,0.6816616
10.0,10.0,0.25118217
11.0,11.0,0.013023772
12.0,12.0,0.16836607
13.0,13.0,0.10289924
14.0,14.0,0.0039555114
15.0,15.0,0.037864186
16.0,16.0,0.78947765
17.0,17.0,0.18888079
18.0,18.0,0.3095137
19.0,19.0,0.049200475
20.0,20.0,0.30966818
21.0,21.0,0.033499848
22.0,22.0,0.0011064559
23.0,23.0,0.46153587
24.0,24.0,0.18740043
25.0,25.0,0.17601053
26.0,26.0,0.27417368
27.0,27.0,0.0440427
28.0,28.0,0.0037832933
29.0,29.0,0.032636624
30.0,30.0,0.004293807
31.0,31.0,0.26765868
32.0,32.0,0.33955446
33.0,33.0,0.581549
34.0,34.0,0.12940109
35.0,35.0,0.4942924
36.0,36.0,0.1316922
37.0,37.0,0.70785993
38.0,38.0,0.8328684
39.0,39.0,0.029354252
40.0,40.0,0.018161274
41.0,41.0,0.08957873
42.0,42.0,0.030124106
43.0,43.0,3.9523593E-4
44.0,44.0,0.011804086
45.0,45.0,0.3239932
46.0,46.0,0.7692429
47.0,47.0,0.0011016395
48.0,48.0,0.015415393
49.0,49.0,0.031891588
50.0,50.0,0.032416005
51.0,51.0,0.19908011
52.0,52.0,7.884845E-4
53.0,53.0,0.678518
54.0,54.0,0.8098893
55.0,55.0,0.023956934
56.0,56.0,0.038946137
57.0,57.0,0.89589226
58.0,58.0,0.06364367
59.0,59.0,0.63506407
60.0,60.0,0.19410387
61.0,61.0,0.18161863
62.0,62.0,0.57819915
63.0,63.0,0.44151235
64.0,64.0,0.21508692
65.0,65.0,0.028705858
66.0,66.0,0.7984387
67.0,67.0,0.0105986735
68.0,68.0,0.79610556
69.0,69.0,0.06955608
70.0,70.0,0.022813687
71.0,71.0,0.010757755
72.0,72.0,0.6539424
73.0,73.0,0.68771166
74.0,74.0,0.192845
75.0,75.0,0.13929509
76.0,76.0,0.018886644
77.0,77.0,0.7339578
78.0,78.0,0.20578468
79.0,79.0,0.27382872
80.0,80.0,0.010044625
81.0,81.0,0.005352094
82.0,82.0,0.9777881
83.0,83.0,0.028708274
84.0,84.0,0.64205366
85.0,85.0,0.44987315
86.0,86.0,0.019822584
87.0,87.0,0.3731908
88.0,88.0,0.14237219
89.0,89.0,0.09206498
90.0,90.0,0.027749617
91.0,91.0,0.03396005
92.0,92.0,0.008439633
93.0,93.0,0.035088163
94.0,94.0,0.048459683
95.0,95.0,0.032379217
96.0,96.0,0.04239951
97.0,97.0,0.03905072
98.0,98.0,0.06277489
99.0,99.0,0.010527789
100.0,100.0,0.038646072
101.0,101.0,0.12233206
102.0,102.0,0.009273251
103.0,103.0,0.5677612
104.0,104.0,0.03792742
105.0,105.0,0.36463237
106.0,106.0,0.521347
107.0,107.0,0.47986266
108.0,108.0,0.4916535
109.0,109.0,0.5883983
110.0,110.0,0.0038009265
111.0,111.0,0.032861944
112.0,112.0,0.010297775
113.0,113.0,0.002807231
114.0,114.0,0.0059311897
115.0,115.0,0.015149466
116.0,116.0,0.17060918
117.0,117.0,0.73131526
118.0,118.0,0.0018906108
119.0,119.0,0.0040295753
120.0,120.0,0.44358736
121.0,121.0,0.035204846
122.0,122.0,0.440183
123.0,123.0,0.016538577
124.0,124.0,0.33139563
125.0,125.0,0.005082985
126.0,126.0,0.006319588
127.0,127.0,0.146361
128.0,128.0,0.0017545465
129.0,129.0,0.18999258
130.0,130.0,0.014512844
131.0,131.0,0.56545424
132.0,132.0,0.6054649
133.0,133.0,0.0065697473
134.0,134.0,0.6400093
135.0,135.0,0.2514431
136.0,136.0,0.50394565
137.0,137.0,0.0029052773
138.0,138.0,0.017545542
139.0,139.0,0.9019755
140.0,140.0,0.8036579
141.0,141.0,0.0111825
142.0,142.0,0.2892038
143.0,143.0,0.09531964
144.0,144.0,0.848426
145.0,145.0,0.002013489
146.0,146.0,0.7866154
147.0,147.0,0.9688221
148.0,148.0,0.012535269
149.0,149.0,0.28713173
150.0,150.0,0.20595106
151.0,151.0,0.28271303
152.0,152.0,0.12902197
153.0,153.0,0.0145298345
154.0,154.0,0.030992486
155.0,155.0,0.035128266
156.0,156.0,0.07970084
157.0,157.0,0.03332021
158.0,158.0,1.6248108E-4
159.0,159.0,0.06800506
160.0,160.0,0.62583804
161.0,161.0,0.6222546
162.0,162.0,0.46619987
163.0,163.0,0.08005369
164.0,164.0,0.007750548
165.0,165.0,0.36301556
166.0,166.0,0.0049909395
167.0,167.0,0.8820327
168.0,168.0,0.0024918686
169.0,169.0,0.17417508
170.0,170.0,0.005255131
171.0,171.0,0.7765987
172.0,172.0,0.0070118806
173.0,173.0,0.07673776
174.0,174.0,0.0057063946
175.0,175.0,0.04524466
176.0,176.0,0.24871995
177.0,177.0,0.2631813
178.0,178.0,0.34143022
179.0,179.0,0.7108129
180.0,180.0,0.0057038395
181.0,181.0,0.78475773
182.0,182.0,0.41796544
183.0,183.0,0.8422058
184.0,184.0,0.36440352
185.0,185.0,0.008539763
186.0,186.0,0.31318378
187.0,187.0,0.098213464
188.0,188.0,3.2775823E-4
189.0,189.0,0.6987357
190.0,190.0,0.03862083
191.0,191.0,0.06742839
192.0,192.0,0.61238706
193.0,193.0,0.020314202
194.0,194.0,0.04547625
195.0,195.0,0.3959276
196.0,196.0,0.2992907
197.0,197.0,0.009433262
198.0,198.0,0.032958724
199.0,199.0,0.22017884
200.0,200.0,0.020896241
201.0,201.0,0.023933245
202.0,202.0,1.1759101E-5
203.0,203.0,0.049873758
204.0,204.0,0.2659934
205.0,205.0,0.6491257
206.0,206.0,0.112308994
207.0,207.0,0.57747346
208.0,208.0,0.0019427858
209.0,209.0,8.576686E-5
210.0,210.0,0.0019878508
211.0,211.0,0.05060929
212.0,212.0,0.004617586
213.0,213.0,0.0085006645
214.0,214.0,0.00729835
215.0,215.0,0.50681525
216.0,216.0,0.7649477
217.0,217.0,0.027931508
218.0,218.0,0.0077531044
219.0,219.0,0.7054434
220.0,220.0,0.019677889
221.0,221.0,0.24188322
222.0,222.0,0.016104704
223.0,223.0,0.19386771
224.0,224.0,0.014655445
225.0,225.0,0.086880624
226.0,226.0,0.7428767
227.0,227.0,0.15833573
228.0,228.0,3.8668961E-4
229.0,229.0,0.028735586
230.0,230.0,0.3739924
231.0,231.0,0.14906083
232.0,232.0,0.011350103
233.0,233.0,0.13756506
234.0,234.0,2.2667703E-4
235.0,235.0,8.731213E-7
236.0,236.0,0.058954727
237.0,237.0,0.6143348
238.0,238.0,0.040367786
239.0,239.0,0.004043222
240.0,240.0,0.015770528
241.0,241.0,0.009091848
242.0,242.0,0.47788894
243.0,243.0,0.7398096
244.0,244.0,0.01995784
245.0,245.0,0.93832946
246.0,246.0,0.642589
247.0,247.0,0.57748777
248.0,248.0,0.28289357
249.0,249.0,0.004356975
250.0,250.0,0.00940217
251.0,251.0,0.058619466
252.0,252.0,0.25374842
253.0,253.0,0.9862331
254.0,254.0,0.013429955
255.0,255.0,0.84650123
256.0,256.0,0.010508372
257.0,257.0,0.10690699
258.0,258.0,0.25876087
259.0,259.0,0.02874484
260.0,260.0,6.85462E-4
261.0,261.0,0.04532403
262.0,262.0,0.012995244
263.0,263.0,0.0087969
264.0,264.0,0.0027473315
265.0,265.0,0.016716162
266.0,266.0,0.055184875
267.0,267.0,0.0051882453
268.0,268.0,0.3015683
269.0,269.0,0.039068565
270.0,270.0,0.08660104
271.0,271.0,0.24271892
272.0,272.0,0.009877941
273.0,273.0,0.14916769
274.0,274.0,0.090948924
275.0,275.0,0.09015926
276.0,276.0,0.040110298
277.0,277.0,0.44209695
278.0,278.0,0.80938125
279.0,279.0,1.9605596E-4
280.0,280.0,0.3144132
281.0,281.0,0.24923992
282.0,282.0,0.7542787
283.0,283.0,0.05623366
284.0,284.0,0.12294227
285.0,285.0,0.85923856
286.0,286.0,0.06584548
287.0,287.0,0.0029008056
288.0,288.0,0.06930118
289.0,289.0,0.19962265
290.0,290.0,0.022443116
291.0,291.0,0.013634646
292.0,292.0,0.0022575248
293.0,293.0,0.03404767
294.0,294.0,0.8620201
295.0,295.0,0.0075550294
296.0,296.0,0.0060922164
297.0,297.0,0.17551388
298.0,298.0,0.019261349
299.0,299.0,0.070713155
300.0,300.0,0.290547
301.0,301.0,0.6131902
302.0,302.0,0.012906288
303.0,303.0,0.38017178
304.0,304.0,0.106744714
305.0,305.0,0.7690239
306.0,306.0,0.062294964
307.0,307.0,0.12017025
308.0,308.0,0.13563712
309.0,309.0,1.06679174E-4
310.0,310.0,0.011220394
311.0,311.0,0.40840238
312.0,312.0,0.006344151
313.0,313.0,0.6697332
314.0,314.0,0.0230041
315.0,315.0,0.008084387
316.0,316.0,0.040646717
317.0,317.0,0.002970085
318.0,318.0,0.0039615296
319.0,319.0,0.056287527
320.0,320.0,0.20634188
321.0,321.0,1.7767998E-4
322.0,322.0,0.008108701
323.0,323.0,0.4602593
324.0,324.0,0.0178831
325.0,325.0,0.07912778
326.0,326.0,0.01787955
327.0,327.0,0.0068069114
328.0,328.0,0.022640929
329.0,329.0,0.70177466
330.0,330.0,0.055509705
331.0,331.0,0.28113368
332.0,332.0,0.23134302
333.0,333.0,0.0011691238
334.0,334.0,0.40303957
335.0,335.0,0.016225014
336.0,336.0,0.56974816
337.0,337.0,0.24183087
338.0,338.0,0.020258471
339.0,339.0,0.004202768
340.0,340.0,0.008532569
341.0,341.0,0.59046584
342.0,342.0,0.06700334
343.0,343.0,0.053272787
344.0,344.0,0.06556525
345.0,345.0,0.060016155
346.0,346.0,0.72705585
347.0,347.0,0.0955338
348.0,348.0,0.31587428
349.0,349.0,0.021170994
350.0,350.0,0.01260524
351.0,351.0,0.01966597
352.0,352.0,0.025609586
353.0,353.0,0.03230217
354.0,354.0,0.012453186
355.0,355.0,0.021752955
356.0,356.0,0.30302724
357.0,357.0,0.0074594244
358.0,358.0,0.084245525
359.0,359.0,0.018683277
360.0,360.0,0.20477924
361.0,361.0,0.32984212
362.0,362.0,0.020925866
363.0,363.0,0.44415146
364.0,364.0,0.154911
365.0,365.0,0.21408384
366.0,366.0,0.081079595
367.0,367.0,0.20173989
368.0,368.0,0.06936812
369.0,369.0,0.65828377
370.0,370.0,0.16391154
371.0,371.0,0.0133890305
372.0,372.0,0.010089044
