Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.71673E-12,0.000000001,0.000000006,0.997604073,0,0
9.29434E-12,0.000000003,0.000000035,0.997304582,0,0
2.16106E-11,0.000000012,0.00000008,0.996805431,0,0
1.33095E-10,0.000000025,0.000000495,0.9967056,0,0
3.77926E-10,0.000000136,0.000001405,0.996306279,0,0
4.09262E-10,0.000000256,0.000001522,0.996006788,0,0
7.03681E-10,0.00000101,0.000002616,0.994808825,0,0
1.06413E-9,0.000002567,0.000003957,0.99301188,0,0
4.47655E-9,0.000010326,0.000016644,0.98961765,0,0
8.78322E-9,0.000025091,0.000032656,0.987321553,0,0
1.38399E-8,0.000050912,0.000051457,0.984925626,0,0
2.14211E-8,0.000102113,0.000079643,0.981930718,0,0
3.81415E-8,0.000253351,0.000141804,0.976839373,0,0
5.3585E-8,0.000503808,0.000199215,0.971448537,0,0
8.89083E-8,0.001008685,0.000330516,0.964360587,0,0
1.67791E-7,0.002506166,0.000623669,0.952380952,0,0
2.81246E-7,0.005008145,0.001045156,0.941000299,0,0
4.18328E-7,0.010014029,0.00155418,0.926624738,0,0
7.2165E-7,0.025040893,0.002679575,0.900269542,0,0
1.10813E-6,0.050012551,0.004111682,0.873215534,0,0
1.71815E-6,0.100074888,0.006367894,0.837775781,0,0
2.64859E-6,0.200165292,0.009799422,0.791754018,0,0
3.42227E-6,0.300232068,0.012643771,0.758909853,0,0
4.12232E-6,0.400161663,0.015210364,0.732454827,0,0
4.75909E-6,0.500079608,0.017539188,0.709893182,0,0
5.3893E-6,0.600215986,0.019838586,0.690226615,0,0
5.98234E-6,0.700364221,0.021997433,0.672556654,0,0
6.28415E-6,0.750584086,0.023094301,0.66437057,0,0
6.66092E-6,0.800347575,0.024461865,0.656683638,0,0
7.42955E-6,0.900058511,0.027245822,0.642607567,0,0
8.06265E-6,1.000690068,0.02953291,0.62962963,0,0
8.84075E-6,1.100204807,0.032336492,0.617849656,0,0
9.52561E-6,1.200741411,0.0347974,0.606868324,0,0
1.02673E-5,1.300399285,0.037455624,0.596785465,0,0
1.08346E-5,1.400564327,0.039483569,0.587301587,0,0
1.15856E-5,1.50032212,0.04216201,0.578416692,0,0
1.34832E-5,1.750079468,0.048896069,0.558450634,0,0
1.54718E-5,2.00098126,0.055902494,0.541179994,0,0
1.75461E-5,2.251497335,0.063155793,0.52600579,0,0
1.94663E-5,2.500245913,0.069820694,0.512628531,0,0
2.12651E-5,2.751721201,0.076021126,0.500349406,0,0
2.29455E-5,3.000171918,0.081775958,0.489168414,0,0
2.50923E-5,3.250143736,0.089076202,0.478786064,0,0
2.69786E-5,3.500547852,0.095442558,0.469202356,0,0
2.92049E-5,3.752049728,0.102899241,0.46021763,0,0
3.10235E-5,4.002594756,0.108944629,0.451931716,0,0
3.30178E-5,4.252718901,0.115527342,0.444144954,0,0
3.45619E-5,4.50293931,0.120590614,0.436757512,0,0
3.66177E-5,4.752234858,0.12728696,0.429769392,0,0
3.83342E-5,5.00381937,0.132839058,0.423080763,0,0
4.01718E-5,5.251725302,0.138743806,0.416791455,0,0
4.19775E-5,5.502469224,0.144506458,0.410701807,0,0
4.35934E-5,5.751688734,0.149631199,0.40491165,0,0
4.50715E-5,6.004012044,0.154291488,0.399221324,0,0
4.66554E-5,6.252029077,0.159257516,0.393830488,0,0
4.88978E-5,6.500159549,0.166237959,0.388639313,0,0
5.08309E-5,6.754557623,0.172209284,0.383547968,0,0
5.24607E-5,7.002626735,0.177210158,0.378756115,0,0
5.45767E-5,7.254435801,0.183658039,0.374064091,0,0
5.67358E-5,7.505625673,0.19018538,0.369571728,0,0
5.83056E-5,7.752788126,0.194898114,0.365279026,0,0
5.99138E-5,8.001432143,0.199697948,0.361086154,0,0
