X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,3.9919066592919894E-4,57.26659896898582,0.7667651631536512
2.0,2.0,train,2.977641891451807E-4,45.45174828348546,0.6623827368905655
3.0,3.0,train,3.2870308118492474E-4,49.61542994765735,0.6984036533090244
4.0,4.0,train,7.344497994736809E-4,85.29043798861767,0.9313190112888199
5.0,5.0,train,4.15299315156553E-4,58.975458782009824,0.7800713465713336
6.0,6.0,train,2.2411540576621646E-4,35.294310323515376,0.5583647208603586
7.0,7.0,train,0.0013097859549173173,99.25991143821355,0.9915731614613522
9.0,9.0,train,3.3286364658832333E-4,49.961647707990494,0.7029449756777533
10.0,10.0,train,3.368649542872968E-4,50.46034328986175,0.7072479479828628
12.0,12.0,train,0.0012810508812673728,98.86830380259465,0.9906422161802221
13.0,13.0,train,4.804447502169576E-4,65.83241105247583,0.8265758273523
14.0,14.0,train,4.8035697911351404E-4,65.82138690632459,0.8265203104766411
15.0,15.0,train,5.577341520939309E-4,73.80120861620233,0.8691707674004937
16.0,16.0,train,8.190779607523145E-4,89.57327514044778,0.9495560420600947
17.0,17.0,train,5.150668708971847E-4,69.65532755948387,0.8471456308982549
18.0,18.0,train,6.026885487731076E-4,78.54018902632792,0.888952297274798
19.0,19.0,train,5.031426157171855E-4,68.35991764049695,0.8403523432794544
8.0,8.0,test,5.379475281226643E-4,72.00127273292313,0.8593818814212015
11.0,11.0,test,6.630102597353948E-4,82.12527819711315,0.9108796615415014
