x,y,species median
1.0,1.0,0.011569375
2.0,2.0,0.022658452
3.0,3.0,0.01986686
4.0,4.0,0.34133536
5.0,5.0,0.8834609
6.0,6.0,0.19645637
7.0,7.0,0.13825543
8.0,8.0,0.010478603
9.0,9.0,0.5767449
10.0,10.0,0.26482415
11.0,11.0,0.018413182
12.0,12.0,0.1520144
13.0,13.0,0.091911614
14.0,14.0,0.0021505891
15.0,15.0,0.027756942
16.0,16.0,0.7637606
17.0,17.0,0.19424929
18.0,18.0,0.28260997
19.0,19.0,0.024501367
20.0,20.0,0.25903225
21.0,21.0,0.027132425
22.0,22.0,4.5577E-4
23.0,23.0,0.3675525
24.0,24.0,0.17774256
25.0,25.0,0.1580356
26.0,26.0,0.21094091
27.0,27.0,0.036564037
28.0,28.0,0.0019355079
29.0,29.0,0.023480501
30.0,30.0,0.0023560482
31.0,31.0,0.2905587
32.0,32.0,0.31611365
33.0,33.0,0.59032434
34.0,34.0,0.099030584
35.0,35.0,0.38653064
36.0,36.0,0.12325229
37.0,37.0,0.57063425
38.0,38.0,0.93214643
39.0,39.0,0.026037596
40.0,40.0,0.011461406
41.0,41.0,0.08317719
42.0,42.0,0.022953233
43.0,43.0,1.4169635E-4
44.0,44.0,0.0073432648
45.0,45.0,0.42313993
46.0,46.0,0.8393913
47.0,47.0,0.0030236698
48.0,48.0,0.015464886
49.0,49.0,0.021074854
50.0,50.0,0.028750632
51.0,51.0,0.116405144
52.0,52.0,2.9410244E-4
53.0,53.0,0.729784
54.0,54.0,0.7104214
55.0,55.0,0.018989533
56.0,56.0,0.03458785
57.0,57.0,0.82479805
58.0,58.0,0.054481752
59.0,59.0,0.51232827
60.0,60.0,0.21208248
61.0,61.0,0.19343504
62.0,62.0,0.6033273
63.0,63.0,0.44151235
64.0,64.0,0.23530044
65.0,65.0,0.015144684
66.0,66.0,0.7534847
67.0,67.0,0.006641203
68.0,68.0,0.84965855
69.0,69.0,0.061936315
70.0,70.0,0.0131349135
71.0,71.0,0.005898952
72.0,72.0,0.56222993
73.0,73.0,0.61751175
74.0,74.0,0.1855758
75.0,75.0,0.1480231
76.0,76.0,0.012567459
77.0,77.0,0.7935659
78.0,78.0,0.2007421
79.0,79.0,0.23657183
80.0,80.0,0.006009803
81.0,81.0,0.0033879175
82.0,82.0,0.9906246
83.0,83.0,0.018409131
84.0,84.0,0.46961635
85.0,85.0,0.32939476
86.0,86.0,0.013108812
87.0,87.0,0.36297935
88.0,88.0,0.11458049
89.0,89.0,0.08012375
90.0,90.0,0.022435825
91.0,91.0,0.025767203
92.0,92.0,0.0048565385
93.0,93.0,0.028662866
94.0,94.0,0.036895968
95.0,95.0,0.025234275
96.0,96.0,0.0355612
97.0,97.0,0.03905072
98.0,98.0,0.05619489
99.0,99.0,0.006556547
100.0,100.0,0.028198402
101.0,101.0,0.112662576
102.0,102.0,0.009066954
103.0,103.0,0.48159218
104.0,104.0,0.030154536
105.0,105.0,0.3948194
106.0,106.0,0.44231796
107.0,107.0,0.40190047
108.0,108.0,0.5528018
109.0,109.0,0.6486564
110.0,110.0,0.0022327073
111.0,111.0,0.027337205
112.0,112.0,0.006107004
113.0,113.0,0.0021097036
114.0,114.0,0.016019378
115.0,115.0,0.00972238
116.0,116.0,0.17868935
117.0,117.0,0.692769
118.0,118.0,9.7463577E-4
119.0,119.0,0.0022417032
120.0,120.0,0.3232368
121.0,121.0,0.02841568
122.0,122.0,0.46335572
123.0,123.0,0.011845545
124.0,124.0,0.31412873
125.0,125.0,0.0031866166
126.0,126.0,0.0034790456
127.0,127.0,0.13881172
128.0,128.0,8.2131923E-4
129.0,129.0,0.16219136
130.0,130.0,0.010223072
131.0,131.0,0.54548544
132.0,132.0,0.63918084
133.0,133.0,0.0035873211
134.0,134.0,0.59631497
135.0,135.0,0.26934746
136.0,136.0,0.3764562
137.0,137.0,0.0015591289
138.0,138.0,0.012765383
139.0,139.0,0.78795403
140.0,140.0,0.6808542
141.0,141.0,0.0080449125
142.0,142.0,0.2299664
143.0,143.0,0.08757544
144.0,144.0,0.7574061
145.0,145.0,0.0011185709
146.0,146.0,0.7721584
147.0,147.0,0.95470035
148.0,148.0,0.00757905
149.0,149.0,0.20204997
150.0,150.0,0.17325674
151.0,151.0,0.23090437
152.0,152.0,0.11841221
153.0,153.0,0.009289325
154.0,154.0,0.022775168
155.0,155.0,0.022061862
156.0,156.0,0.07239055
157.0,157.0,0.02787266
158.0,158.0,5.912786E-5
159.0,159.0,0.057951774
160.0,160.0,0.458069
161.0,161.0,0.66430384
162.0,162.0,0.42673773
163.0,163.0,0.07621708
164.0,164.0,0.013711086
165.0,165.0,0.35942566
166.0,166.0,0.0029403735
167.0,167.0,0.8115019
168.0,168.0,0.0024918686
169.0,169.0,0.16910827
170.0,170.0,0.003294354
171.0,171.0,0.63848954
172.0,172.0,0.0044918037
173.0,173.0,0.06969792
174.0,174.0,0.0034694357
175.0,175.0,0.050908674
176.0,176.0,0.24871995
177.0,177.0,0.18257919
178.0,178.0,0.4135682
179.0,179.0,0.6252759
180.0,180.0,0.011157841
181.0,181.0,0.64842606
182.0,182.0,0.45135933
183.0,183.0,0.8325884
184.0,184.0,0.37503234
185.0,185.0,0.0055175475
186.0,186.0,0.32210582
187.0,187.0,0.08912216
188.0,188.0,0.001059398
189.0,189.0,0.61670405
190.0,190.0,0.027604531
191.0,191.0,0.058303177
192.0,192.0,0.6868436
193.0,193.0,0.014011085
194.0,194.0,0.0375494
195.0,195.0,0.33300334
196.0,196.0,0.21686716
197.0,197.0,0.0058687436
198.0,198.0,0.024180321
199.0,199.0,0.19717436
200.0,200.0,0.013713049
201.0,201.0,0.017909015
202.0,202.0,1.52211305E-5
203.0,203.0,0.028319094
204.0,204.0,0.20339373
205.0,205.0,0.7348222
206.0,206.0,0.10857167
207.0,207.0,0.6411221
208.0,208.0,8.804273E-4
209.0,209.0,1.7109579E-4
210.0,210.0,0.002544054
211.0,211.0,0.048773378
212.0,212.0,0.008615679
213.0,213.0,0.0203251
