x,y,species min
1.0,1.0,0.007183756
2.0,2.0,0.017306354
3.0,3.0,0.017184531
4.0,4.0,0.3121191
5.0,5.0,0.7302786
6.0,6.0,0.17377596
7.0,7.0,0.07974121
8.0,8.0,0.0073775914
9.0,9.0,0.5192804
10.0,10.0,0.23514728
11.0,11.0,0.008883709
12.0,12.0,0.11738918
13.0,13.0,0.065113276
14.0,14.0,0.0017492212
15.0,15.0,0.022855978
16.0,16.0,0.6561154
17.0,17.0,0.16000788
18.0,18.0,0.23520981
19.0,19.0,0.017973773
20.0,20.0,0.22340691
21.0,21.0,0.02071253
22.0,22.0,1.0778568E-4
23.0,23.0,0.25516135
24.0,24.0,0.14534973
25.0,25.0,0.12609982
26.0,26.0,0.16336408
27.0,27.0,0.019620808
28.0,28.0,0.0012666228
29.0,29.0,0.018718492
30.0,30.0,6.658708E-4
31.0,31.0,0.1528467
32.0,32.0,0.25242186
33.0,33.0,0.32928532
34.0,34.0,0.058478337
35.0,35.0,0.3400953
36.0,36.0,0.11227902
37.0,37.0,0.4805154
38.0,38.0,0.8328684
39.0,39.0,0.016923917
40.0,40.0,0.008238344
41.0,41.0,0.06284668
42.0,42.0,0.019615293
43.0,43.0,8.0672486E-5
44.0,44.0,0.0054221936
45.0,45.0,0.16882528
46.0,46.0,0.65814173
47.0,47.0,0.0011016395
48.0,48.0,0.014366777
49.0,49.0,0.014202414
50.0,50.0,0.022871109
51.0,51.0,0.048445545
52.0,52.0,1.6183787E-4
53.0,53.0,0.5258899
54.0,54.0,0.6172193
55.0,55.0,0.014932753
56.0,56.0,0.022003025
57.0,57.0,0.7599963
58.0,58.0,0.04476931
59.0,59.0,0.42822868
60.0,60.0,0.18154009
61.0,61.0,0.15072091
62.0,62.0,0.47428617
63.0,63.0,0.36718893
64.0,64.0,0.17900483
65.0,65.0,0.00495599
66.0,66.0,0.70244944
67.0,67.0,0.0056141424
68.0,68.0,0.6640184
69.0,69.0,0.04624798
70.0,70.0,0.00954914
71.0,71.0,0.004768987
72.0,72.0,0.4216976
73.0,73.0,0.48022863
74.0,74.0,0.1668318
75.0,75.0,0.1302665
76.0,76.0,0.009509498
77.0,77.0,0.66633636
