Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt9 contribution,tmean9 contribution,vpdmin9 contribution,ppt9 permutation importance,tmean9 permutation importance,vpdmin9 permutation importance,Training gain without ppt9,Training gain without tmean9,Training gain without vpdmin9,Training gain with only ppt9,Training gain with only tmean9,Training gain with only vpdmin9,Test gain without ppt9,Test gain without tmean9,Test gain without vpdmin9,Test gain with only ppt9,Test gain with only tmean9,Test gain with only vpdmin9,AUC without ppt9,AUC without tmean9,AUC without vpdmin9,AUC with only ppt9,AUC with only tmean9,AUC with only vpdmin9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,45,0.3467,0.6201,300,0.8163,6,0.5930,0.8120,0.0671,10045,12.5271,84.1307,3.3422,20.3683,74.3827,5.2490,0.2849,0.1491,0.3373,0.0860,0.2824,0.0624,0.4265,0.1493,0.6408,0.1446,0.4511,-0.0080,0.7503,0.6416,0.8346,0.6503,0.7698,0.5062,8.8682,0.4327,1.0000,0.1008,0.8413,0.0000,0.0000,3.546E-1,5.0000,0.2369,0.6829,0.0000,0.0000,1.014E-1,10.0000,0.3779,0.5858,0.0000,0.0000,4.04E-2,12.8118,0.4332,0.5477,0.0000,0.0000,2.7E-2,19.2562,0.4997,0.4763,0.0889,0.1667,8.867E-2,44.3216,0.6328,0.2664,0.2667,0.1667,6.263E-3,40.5938,0.6149,0.2934,0.1778,0.1667,9.852E-3,54.3840,0.6911,0.2006,0.4000,0.1667,1.623E-3,54.3840,0.6911,0.2006,0.4000,0.1667,1.623E-3,5.2834,0.2462,0.6758,0.0000,0.0000,9.523E-2,4.1385,0.2110,0.7070,0.0000,0.0000,1.249E-1
species_1,46,0.3538,0.6056,420,0.8098,5,0.6061,0.8050,0.0744,10046,13.4227,84.0289,2.5484,22.2210,62.7529,15.0261,0.2896,0.1521,0.3484,0.0927,0.2889,0.0592,0.4317,0.1387,0.6104,0.0940,0.4322,0.0235,0.7428,0.6549,0.8165,0.6321,0.7480,0.6256,8.8614,0.4295,1.0000,0.1023,0.8352,0.0000,0.0000,4.063E-1,5.0000,0.2362,0.6788,0.0000,0.0000,1.441E-1,10.0000,0.3775,0.5818,0.0000,0.0000,6.667E-2,13.8703,0.4370,0.5304,0.0000,0.0000,4.196E-2,15.6264,0.4570,0.5096,0.0870,0.0000,3.435E-2,44.7394,0.6449,0.2609,0.2609,0.4000,1.153E-1,49.3942,0.6672,0.2303,0.2609,0.4000,8.388E-2,30.3625,0.5743,0.3681,0.1957,0.4000,2.639E-1,25.7979,0.5429,0.4072,0.1957,0.0000,1.12E-2,5.2430,0.2447,0.6726,0.0000,0.0000,1.377E-1,4.1593,0.2097,0.7022,0.0000,0.0000,1.707E-1
species_2,46,0.4103,0.6892,400,0.8263,5,-0.0387,0.5936,0.0907,10046,25.0278,73.8058,1.1664,32.3413,55.3577,12.3009,0.2758,0.2060,0.4049,0.1513,0.2754,0.0470,0.5439,-0.4583,-0.0261,-0.5444,0.5380,0.1297,0.8372,0.3727,0.5967,0.3112,0.8292,0.7321,8.8034,0.4033,1.0000,0.0936,0.8200,0.0000,0.0000,3.708E-1,5.0000,0.2043,0.6556,0.0000,0.0000,1.211E-1,10.0000,0.3227,0.5455,0.0000,0.2000,2.495E-1,17.0492,0.4611,0.4527,0.0000,0.6000,7.478E-1,19.1737,0.4837,0.4307,0.0870,0.8000,9.402E-1,38.0054,0.6291,0.2826,0.2826,0.8000,8.1E-1,17.0492,0.4611,0.4527,0.0000,0.6000,7.478E-1,12.7941,0.3866,0.5034,0.0000,0.6000,8.167E-1,8.7077,0.2923,0.5690,0.0000,0.0000,5.963E-2,6.1664,0.2328,0.6243,0.0000,0.0000,9.486E-2,4.7626,0.1990,0.6627,0.0000,0.0000,1.278E-1
species_3,46,0.3531,0.5974,300,0.8040,5,0.5677,0.7982,0.0625,10046,13.1279,86.5209,0.3512,23.3850,71.2352,5.3799,0.2909,0.1176,0.3515,0.0813,0.2885,0.0372,0.4010,0.4225,0.5900,0.2148,0.4360,0.1845,0.7326,0.8152,0.8106,0.7254,0.7458,0.7544,8.8617,0.4299,1.0000,0.1042,0.8352,0.0000,0.0000,4.063E-1,5.0000,0.2405,0.6755,0.0000,0.0000,1.406E-1,10.0000,0.3754,0.5795,0.0000,0.0000,6.537E-2,11.8076,0.4099,0.5543,0.0000,0.0000,5.23E-2,18.2697,0.4981,0.4808,0.0870,0.0000,2.569E-2,39.1313,0.6194,0.3043,0.3043,0.2000,3.244E-2,55.5717,0.6890,0.1953,0.3261,0.4000,5.438E-2,49.7015,0.6635,0.2318,0.3261,0.2000,1.176E-2,49.7015,0.6635,0.2318,0.3261,0.2000,1.176E-2,5.1680,0.2449,0.6713,0.0000,0.0000,1.363E-1,4.0364,0.2055,0.7024,0.0000,0.0000,1.709E-1
species_4,46,0.3734,0.6258,400,0.8115,5,0.4242,0.7308,0.0845,10046,14.9836,82.4091,2.6074,24.3699,62.4873,13.1428,0.2942,0.1637,0.3680,0.0987,0.2934,0.0621,0.3826,0.0435,0.4322,0.0631,0.3855,-0.0133,0.7240,0.5942,0.7289,0.5901,0.7227,0.5584,8.8419,0.4201,1.0000,0.1003,0.8332,0.0000,0.0000,4.015E-1,5.0000,0.2320,0.6766,0.0000,0.0000,1.418E-1,10.0000,0.3619,0.5780,0.0000,0.0000,6.453E-2,13.9087,0.4275,0.5250,0.0000,0.0000,3.988E-2,15.9519,0.4480,0.5006,0.0870,0.0000,3.144E-2,43.0004,0.6206,0.2609,0.2609,0.6000,3.902E-1,46.9353,0.6422,0.2337,0.2609,0.6000,3.329E-1,25.7082,0.5221,0.4000,0.1522,0.4000,3.174E-1,16.6116,0.4549,0.4930,0.1087,0.0000,2.913E-2,5.3401,0.2405,0.6679,0.0000,0.0000,1.329E-1,4.5590,0.2180,0.6885,0.0000,0.0000,1.547E-1
species_5,46,0.3353,0.5846,340,0.8073,5,0.7154,0.8812,0.0256,10046,13.4879,83.2302,3.2820,22.1571,65.5783,12.2646,0.2747,0.1203,0.3302,0.0730,0.2740,0.0444,0.5233,0.4054,0.7286,0.2772,0.5341,0.1314,0.8226,0.8359,0.8936,0.7779,0.8394,0.6563,8.8806,0.4391,1.0000,0.1036,0.8351,0.0000,0.0000,4.061E-1,5.0000,0.2461,0.6810,0.0000,0.0000,1.464E-1,10.0000,0.3781,0.5846,0.0000,0.0000,6.829E-2,18.3457,0.5126,0.4857,0.0000,0.0000,2.702E-2,22.8020,0.5537,0.4439,0.0870,0.0000,1.723E-2,46.7898,0.6539,0.2624,0.2609,0.0000,1.244E-3,21.9992,0.5488,0.4511,0.0217,0.0000,1.868E-2,56.4930,0.6922,0.2000,0.3913,0.2000,6.717E-3,53.9851,0.6800,0.2154,0.3261,0.0000,4.638E-4,5.0970,0.2488,0.6786,0.0000,0.0000,1.439E-1,3.7621,0.2051,0.7158,0.0000,0.0000,1.879E-1
species_6,46,0.3671,0.6127,440,0.8103,5,0.4709,0.7416,0.1063,10046,13.5393,86.3184,0.1424,23.4701,70.3563,6.1736,0.3019,0.1374,0.3665,0.0867,0.3018,0.0491,0.3177,0.2747,0.4499,0.1671,0.3184,0.0986,0.7109,0.7226,0.7380,0.6680,0.7096,0.6469,8.8476,0.4232,1.0000,0.0980,0.8320,0.0000,0.0000,3.986E-1,5.0000,0.2375,0.6721,0.0000,0.0000,1.372E-1,10.0000,0.3749,0.5770,0.0000,0.0000,6.398E-2,12.9536,0.4318,0.5376,0.0000,0.2000,2.381E-1,19.1822,0.4945,0.4691,0.0870,0.4000,4.423E-1,43.9272,0.6198,0.2609,0.2609,0.4000,1.153E-1,39.7377,0.6020,0.2917,0.2174,0.4000,1.522E-1,26.4590,0.5380,0.4000,0.1739,0.4000,3.174E-1,73.0915,0.7996,0.0974,0.6522,0.4000,7.932E-3,5.1455,0.2419,0.6685,0.0000,0.0000,1.335E-1,4.2480,0.2130,0.6926,0.0000,0.0000,1.594E-1
species_7,46,0.3410,0.5992,360,0.8125,5,0.6908,0.8677,0.0388,10046,13.3307,84.5060,2.1633,22.4678,64.0229,13.5093,0.2790,0.1207,0.3362,0.0684,0.2781,0.0492,0.5016,0.3912,0.6969,0.3020,0.5115,0.0928,0.8074,0.8017,0.8750,0.8176,0.8124,0.6034,8.8735,0.4356,1.0000,0.1033,0.8341,0.0000,0.0000,4.036E-1,5.0000,0.2446,0.6797,0.0000,0.0000,1.45E-1,10.0000,0.3781,0.5837,0.0000,0.0000,6.776E-2,18.6828,0.5163,0.4817,0.0000,0.0000,2.593E-2,22.2135,0.5422,0.4484,0.0870,0.0000,1.813E-2,48.4321,0.6497,0.2455,0.2391,0.0000,8.912E-4,18.6828,0.5163,0.4817,0.0000,0.0000,2.593E-2,55.4731,0.6845,0.2000,0.4130,0.2000,6.717E-3,48.5762,0.6503,0.2446,0.2609,0.0000,8.751E-4,5.0627,0.2472,0.6782,0.0000,0.0000,1.435E-1,3.8875,0.2077,0.7107,0.0000,0.0000,1.814E-1
species_8,46,0.3578,0.6201,420,0.8148,5,0.5548,0.7916,0.0720,10046,16.4883,79.9038,3.6079,22.1832,59.2129,18.6039,0.2819,0.1557,0.3458,0.0838,0.2783,0.0664,0.4688,0.0998,0.6324,0.1849,0.5201,-0.0603,0.7854,0.6244,0.8285,0.6746,0.8170,0.4907,8.8580,0.4280,1.0000,0.1041,0.8307,0.0000,0.0000,3.955E-1,5.0000,0.2410,0.6785,0.0000,0.0000,1.438E-1,10.0000,0.3655,0.5810,0.0000,0.0000,6.622E-2,17.5803,0.4752,0.4870,0.0000,0.0000,2.738E-2,18.8147,0.4841,0.4736,0.0870,0.2000,1.563E-1,44.3912,0.6406,0.2609,0.2609,0.2000,1.833E-2,50.4430,0.6735,0.2213,0.2609,0.4000,7.557E-2,46.1449,0.6504,0.2491,0.2609,0.2000,1.54E-2,46.1449,0.6504,0.2491,0.2609,0.2000,1.54E-2,5.1260,0.2439,0.6754,0.0000,0.0000,1.405E-1,4.2089,0.2198,0.6998,0.0000,0.0000,1.678E-1
species_9,46,0.3712,0.6233,340,0.8087,5,0.3775,0.7151,0.0640,10046,15.9350,82.8001,1.2649,23.9818,65.9147,10.1035,0.2905,0.1455,0.3657,0.0987,0.2856,0.0486,0.3807,0.1683,0.4534,0.0626,0.4642,0.0193,0.7203,0.6452,0.7493,0.5773,0.7756,0.4997,8.8452,0.4220,1.0000,0.1014,0.8313,0.0000,0.0000,3.969E-1,5.0000,0.2369,0.6751,0.0000,0.0000,1.402E-1,10.0000,0.3595,0.5774,0.0000,0.0000,6.42E-2,14.5731,0.4396,0.5152,0.0000,0.0000,3.631E-2,20.8565,0.5038,0.4477,0.0870,0.2000,1.29E-1,37.6940,0.6019,0.3043,0.3043,0.6000,4.806E-1,14.5731,0.4396,0.5152,0.0000,0.0000,3.631E-2,30.7950,0.5663,0.3586,0.2826,0.4000,2.486E-1,19.1026,0.4883,0.4654,0.0870,0.0000,2.182E-2,5.1177,0.2413,0.6722,0.0000,0.0000,1.373E-1,4.4178,0.2175,0.6908,0.0000,0.0000,1.573E-1
