x,y,species_8 cloglog values
1.0,1.0,0.5948518
2.0,2.0,0.40150073
3.0,3.0,0.43741843
4.0,4.0,0.25787666
5.0,5.0,0.0072615305
6.0,6.0,0.6042361
7.0,7.0,0.11736548
8.0,8.0,0.6009553
9.0,9.0,0.57815224
10.0,10.0,0.83260715
11.0,11.0,0.6532545
12.0,12.0,6.0712505E-4
13.0,13.0,0.24361037
14.0,14.0,0.5487045
15.0,15.0,0.7469779
16.0,16.0,0.058605444
17.0,17.0,0.6829286
18.0,18.0,0.26656836
19.0,19.0,0.64918816
20.0,20.0,0.062984265
21.0,21.0,0.8517461
22.0,22.0,0.75194365
23.0,23.0,0.39832187
24.0,24.0,0.67069006
25.0,25.0,0.8206
26.0,26.0,0.7158823
27.0,27.0,0.84113854
28.0,28.0,0.1518198
29.0,29.0,0.111012146
30.0,30.0,0.6845463
31.0,31.0,0.010436205
32.0,32.0,0.16013716
33.0,33.0,0.06566506
34.0,34.0,0.48234266
35.0,35.0,0.57475483
36.0,36.0,0.00108932
37.0,37.0,0.7002215
38.0,38.0,0.036912773
39.0,39.0,0.84297186
40.0,40.0,0.85507256
41.0,41.0,1.2773476E-5
42.0,42.0,0.65011805
43.0,43.0,0.04144135
44.0,44.0,0.6562058
45.0,45.0,0.07553778
46.0,46.0,0.5293519
47.0,47.0,0.24110615
48.0,48.0,0.33551344
49.0,49.0,0.6264026
50.0,50.0,0.795603
51.0,51.0,0.70071936
52.0,52.0,0.010106525
53.0,53.0,0.7777798
54.0,54.0,0.7676602
55.0,55.0,0.82171273
56.0,56.0,0.02544176
57.0,57.0,0.28228086
58.0,58.0,0.80125725
59.0,59.0,0.7204993
60.0,60.0,0.57416683
61.0,61.0,0.16141212
62.0,62.0,0.26101625
63.0,63.0,0.77024
64.0,64.0,0.65061694
65.0,65.0,0.853232
66.0,66.0,0.5980681
67.0,67.0,0.8112785
68.0,68.0,0.81642896
69.0,69.0,0.81587327
70.0,70.0,0.46625793
71.0,71.0,0.54844284
72.0,72.0,1.21248995E-5
73.0,73.0,0.18123679
74.0,74.0,0.85760885
75.0,75.0,0.73629165
76.0,76.0,0.82183033
77.0,77.0,2.200939E-5
78.0,78.0,0.78405005
79.0,79.0,0.34351355
80.0,80.0,0.030235283
81.0,81.0,0.0013592289
82.0,82.0,0.48323226
83.0,83.0,0.84014106
84.0,84.0,0.65724283
85.0,85.0,0.4243795
86.0,86.0,0.7902798
87.0,87.0,0.65014625
88.0,88.0,0.38643745
89.0,89.0,0.57708555
90.0,90.0,0.0998776
91.0,91.0,0.06543836
92.0,92.0,0.16725722
93.0,93.0,0.5179142
94.0,94.0,0.056027222
95.0,95.0,0.8088445
96.0,96.0,0.48257956
97.0,97.0,0.54572296
98.0,98.0,0.59990525
99.0,99.0,0.4223238
100.0,100.0,0.60274315
101.0,101.0,0.33056936
102.0,102.0,0.5424274
103.0,103.0,0.6436241
104.0,104.0,0.43253905
105.0,105.0,0.8288314
106.0,106.0,0.48318702
107.0,107.0,0.588046
108.0,108.0,0.0011929852
109.0,109.0,0.028735528
110.0,110.0,0.86546415
111.0,111.0,0.85705084
112.0,112.0,0.5257539
113.0,113.0,0.61355674
114.0,114.0,0.5675394
115.0,115.0,0.67215365
116.0,116.0,0.1279214
117.0,117.0,0.23758236
118.0,118.0,0.5030639
119.0,119.0,0.11403747
120.0,120.0,0.72465074
121.0,121.0,0.6070291
122.0,122.0,0.49934432
123.0,123.0,0.46571365
124.0,124.0,0.15386316
125.0,125.0,0.2703464
126.0,126.0,0.0020040097
127.0,127.0,0.4078778
128.0,128.0,0.6140533
129.0,129.0,0.043008894
130.0,130.0,0.45643574
131.0,131.0,0.099925846
132.0,132.0,0.6876691
133.0,133.0,0.7408502
134.0,134.0,0.035742152
135.0,135.0,0.34458292
136.0,136.0,0.049874708
137.0,137.0,0.49330637
138.0,138.0,0.2971164
139.0,139.0,4.265929E-5
140.0,140.0,0.50930756
141.0,141.0,0.08454497
142.0,142.0,0.84933966
143.0,143.0,0.6072932
144.0,144.0,0.33097547
145.0,145.0,0.6230679
146.0,146.0,0.5585906
147.0,147.0,0.501884
148.0,148.0,2.599583E-6
149.0,149.0,0.14038625
150.0,150.0,0.54261553
151.0,151.0,0.61625093
152.0,152.0,0.7202689
153.0,153.0,0.23789659
154.0,154.0,0.11604934
155.0,155.0,0.6138158
156.0,156.0,0.7670321
157.0,157.0,0.64354473
158.0,158.0,0.6323634
159.0,159.0,0.60607386
160.0,160.0,0.37421474
161.0,161.0,0.58776253
162.0,162.0,0.40101665
163.0,163.0,0.33606285
164.0,164.0,0.20380054
165.0,165.0,0.7941514
166.0,166.0,0.07137623
167.0,167.0,0.27702996
168.0,168.0,0.02911517
169.0,169.0,0.30755687
170.0,170.0,0.57121056
171.0,171.0,0.79383826
172.0,172.0,0.0628723
173.0,173.0,0.81930965
174.0,174.0,1.9670213E-6
175.0,175.0,0.7403858
176.0,176.0,0.13681476
177.0,177.0,0.8715056
178.0,178.0,0.66474146
