x,y,species median
1.0,1.0,0.59634984
2.0,2.0,0.37608448
3.0,3.0,0.48327467
4.0,4.0,0.25211048
5.0,5.0,0.0075813252
6.0,6.0,0.6042361
7.0,7.0,0.11736548
8.0,8.0,0.6541092
9.0,9.0,0.57225806
10.0,10.0,0.83260715
11.0,11.0,0.6445216
12.0,12.0,6.7895715E-4
13.0,13.0,0.24942964
14.0,14.0,0.55112773
15.0,15.0,0.73734546
16.0,16.0,0.056225747
17.0,17.0,0.6829286
18.0,18.0,0.26656836
19.0,19.0,0.6484457
20.0,20.0,0.060957707
21.0,21.0,0.8555421
22.0,22.0,0.75194365
23.0,23.0,0.43380117
24.0,24.0,0.6587149
25.0,25.0,0.8273887
26.0,26.0,0.7257512
27.0,27.0,0.82261384
28.0,28.0,0.15233588
29.0,29.0,0.12087398
30.0,30.0,0.7024645
31.0,31.0,0.013157619
32.0,32.0,0.1577513
33.0,33.0,0.07406158
34.0,34.0,0.49750504
35.0,35.0,0.5600889
36.0,36.0,0.0023363014
37.0,37.0,0.65457743
38.0,38.0,0.040433742
39.0,39.0,0.8310573
40.0,40.0,0.83172816
41.0,41.0,1.43568395E-5
42.0,42.0,0.64431924
43.0,43.0,0.04144135
44.0,44.0,0.5741631
45.0,45.0,0.07210053
46.0,46.0,0.57771885
47.0,47.0,0.25468066
48.0,48.0,0.3328539
49.0,49.0,0.6264026
50.0,50.0,0.82346356
51.0,51.0,0.7169696
52.0,52.0,0.012192605
53.0,53.0,0.7527717
54.0,54.0,0.7488287
55.0,55.0,0.82171273
56.0,56.0,0.02544176
57.0,57.0,0.2663276
58.0,58.0,0.81917924
59.0,59.0,0.6880459
60.0,60.0,0.5528756
61.0,61.0,0.15900935
62.0,62.0,0.26101625
63.0,63.0,0.7183581
64.0,64.0,0.66466665
65.0,65.0,0.86408895
66.0,66.0,0.5696742
67.0,67.0,0.8201041
68.0,68.0,0.81642896
69.0,69.0,0.8186178
70.0,70.0,0.51241577
71.0,71.0,0.54844284
72.0,72.0,1.21248995E-5
73.0,73.0,0.18124673
74.0,74.0,0.8416132
75.0,75.0,0.7068293
76.0,76.0,0.8280674
77.0,77.0,2.200939E-5
78.0,78.0,0.75311595
79.0,79.0,0.35488167
80.0,80.0,0.035118118
81.0,81.0,0.0027412937
82.0,82.0,0.48836747
83.0,83.0,0.8412395
84.0,84.0,0.6369323
85.0,85.0,0.4194422
86.0,86.0,0.7613384
87.0,87.0,0.6516587
88.0,88.0,0.411824
89.0,89.0,0.5667232
90.0,90.0,0.0998776
91.0,91.0,0.06642466
92.0,92.0,0.17392902
93.0,93.0,0.52289504
94.0,94.0,0.06616015
95.0,95.0,0.8088445
96.0,96.0,0.5141427
97.0,97.0,0.5895327
98.0,98.0,0.59990525
99.0,99.0,0.4223238
100.0,100.0,0.62386334
101.0,101.0,0.37329495
102.0,102.0,0.55235016
103.0,103.0,0.6321632
104.0,104.0,0.41864994
105.0,105.0,0.82626593
106.0,106.0,0.49605533
107.0,107.0,0.5769883
108.0,108.0,0.0012090248
109.0,109.0,0.02897258
110.0,110.0,0.86546415
111.0,111.0,0.8723699
112.0,112.0,0.58219236
113.0,113.0,0.6121375
114.0,114.0,0.6000537
115.0,115.0,0.65459687
116.0,116.0,0.1333136
117.0,117.0,0.20410435
118.0,118.0,0.5030639
119.0,119.0,0.1146027
120.0,120.0,0.6958156
121.0,121.0,0.63291883
122.0,122.0,0.45604807
123.0,123.0,0.46571365
124.0,124.0,0.1395138
125.0,125.0,0.25269088
126.0,126.0,0.0020040097
127.0,127.0,0.4139584
128.0,128.0,0.5788469
129.0,129.0,0.043250833
130.0,130.0,0.43701518
131.0,131.0,0.10159487
132.0,132.0,0.6876691
133.0,133.0,0.72453517
134.0,134.0,0.03581707
135.0,135.0,0.35843274
136.0,136.0,0.057896193
137.0,137.0,0.5345461
138.0,138.0,0.2971164
139.0,139.0,5.479605E-5
140.0,140.0,0.47853777
141.0,141.0,0.08210765
142.0,142.0,0.8216739
143.0,143.0,0.61728925
144.0,144.0,0.33885345
