x,y,species min
1.0,1.0,0.5488069
2.0,2.0,0.3139513
3.0,3.0,0.24076405
4.0,4.0,0.10695438
5.0,5.0,0.006566615
6.0,6.0,0.57679456
7.0,7.0,0.022201348
8.0,8.0,0.6009553
9.0,9.0,0.46832106
10.0,10.0,0.81054646
11.0,11.0,0.57254136
12.0,12.0,2.7988676E-4
13.0,13.0,0.23375732
14.0,14.0,0.524433
15.0,15.0,0.72612953
16.0,16.0,0.039728496
17.0,17.0,0.60665405
18.0,18.0,0.10726948
19.0,19.0,0.61274046
20.0,20.0,0.051607
21.0,21.0,0.8224218
22.0,22.0,0.73377556
23.0,23.0,0.3894133
24.0,24.0,0.6170788
25.0,25.0,0.78451127
26.0,26.0,0.66523993
27.0,27.0,0.77016795
28.0,28.0,0.1478966
29.0,29.0,0.10677366
30.0,30.0,0.6809594
31.0,31.0,0.003549681
32.0,32.0,0.043536738
33.0,33.0,0.06566506
34.0,34.0,0.45711794
35.0,35.0,0.49790373
36.0,36.0,2.67241E-4
37.0,37.0,0.4656283
38.0,38.0,0.0031463215
39.0,39.0,0.7884765
40.0,40.0,0.7719598
41.0,41.0,3.1209165E-6
42.0,42.0,0.51975965
43.0,43.0,0.03704711
44.0,44.0,0.48822665
45.0,45.0,0.058136728
46.0,46.0,0.52573735
47.0,47.0,0.124845594
48.0,48.0,0.32069778
49.0,49.0,0.5823316
50.0,50.0,0.77870655
51.0,51.0,0.6967303
52.0,52.0,0.004588595
53.0,53.0,0.70790213
54.0,54.0,0.6977441
55.0,55.0,0.74528974
56.0,56.0,0.015762132
57.0,57.0,0.11543511
58.0,58.0,0.7962552
59.0,59.0,0.66068083
60.0,60.0,0.5144427
61.0,61.0,0.14348903
62.0,62.0,0.23726963
63.0,63.0,0.69493496
64.0,64.0,0.633571
65.0,65.0,0.8434035
66.0,66.0,0.52168506
67.0,67.0,0.7722511
68.0,68.0,0.7855568
69.0,69.0,0.81135607
70.0,70.0,0.46625793
71.0,71.0,0.44435483
72.0,72.0,7.502687E-6
73.0,73.0,0.17787044
74.0,74.0,0.79126817
75.0,75.0,0.66117525
76.0,76.0,0.72574544
77.0,77.0,1.4027089E-5
78.0,78.0,0.71746355
79.0,79.0,0.19065373
80.0,80.0,0.014525894
81.0,81.0,3.47838E-4
82.0,82.0,0.44518703
