Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.45451E-11,0.000000004,0.000000328,1,0,0
5.75752E-10,0.000000062,0.000004234,0.999900408,0,0
6.03642E-10,0.000000122,0.000004439,0.999800817,0,0
6.76683E-10,0.000000256,0.000004976,0.999601633,0,0
1.59091E-9,0.00000114,0.000011699,0.998904492,0,0
2.64482E-9,0.000002532,0.000019449,0.998306942,0,0
7.09105E-9,0.000010077,0.000052143,0.996813066,0,0
1.44452E-8,0.000025453,0.000106219,0.995418783,0,0
1.8805E-8,0.000050598,0.000138275,0.993924908,0,0
3.01792E-8,0.000102742,0.000221901,0.991833483,0,0
5.48822E-8,0.000252371,0.0004035,0.988447366,0,0
8.54963E-8,0.000501362,0.000628508,0.984862066,0,0
1.3792E-7,0.001011531,0.001013694,0.98038044,0,0
2.66157E-7,0.00251418,0.001955295,0.972413106,0,0
4.98516E-7,0.00500954,0.003659179,0.965840056,0,0
9.22951E-7,0.010027546,0.00676403,0.95837068,0,0
1.9047E-6,0.025138078,0.013908738,0.947714371,0,0
3.48075E-6,0.050289578,0.025271267,0.93815357,0,0
4.78294E-6,0.100279589,0.034560517,0.926302161,0,0
6.60763E-6,0.200174683,0.04742825,0.908475251,0,0
8.84266E-6,0.300590346,0.062956352,0.895428742,0,0
1.06725E-5,0.400605443,0.075480717,0.885270391,0,0
1.16144E-5,0.500540412,0.081862132,0.876406732,0,0
1.26759E-5,0.60029821,0.08900108,0.868240215,0,0
1.38778E-5,0.701326442,0.097017057,0.860671248,0,0
1.45502E-5,0.75116171,0.101471269,0.857185539,0,0
1.52297E-5,0.801463233,0.105949324,0.853799422,0,0
1.63174E-5,0.900568217,0.113071877,0.847525147,0,0
1.73858E-5,1.000407894,0.120012936,0.841649238,0,0
1.84184E-5,1.100945088,0.126669663,0.836072104,0,0
1.91886E-5,1.200575185,0.13160198,0.830793746,0,0
1.98916E-5,1.300362298,0.13608003,0.82571457,0,0
2.07303E-5,1.40183928,0.141391429,0.820734987,0,0
2.14851E-5,1.501035324,0.146144274,0.816054178,0,0
2.3333E-5,1.751032347,0.157668514,0.80489991,0,0
2.50236E-5,2.000017818,0.168075232,0.794641968,0,0
2.6514E-5,2.252630347,0.177143633,0.784881984,0,0
2.76395E-5,2.501956406,0.183925787,0.77571955,0,0
2.88601E-5,2.75100023,0.19121807,0.766955483,0,0
2.99859E-5,3.001430135,0.197885592,0.75849019,0,0
3.14252E-5,3.252971547,0.206330824,0.750323673,0,0
3.27223E-5,3.502949732,0.21386493,0.742555522,0,0
3.41139E-5,3.750641178,0.221868929,0.735185738,0,0
3.51796E-5,4.00322341,0.227942644,0.727915546,0,0
3.64656E-5,4.250700269,0.235209343,0.721043721,0,0
3.77413E-5,4.502882204,0.242350694,0.714271487,0,0
3.89056E-5,4.752059462,0.24880974,0.707798028,0,0
4.01751E-5,5.001717275,0.255789717,0.701523753,0,0
4.14979E-5,5.251115256,0.26299382,0.69544866,0,0
4.25632E-5,5.503155543,0.268744777,0.68947316,0,0
4.35746E-5,5.753289151,0.274163088,0.683696843,0,0
4.49175E-5,6.001222161,0.281295829,0.678119709,0,0
4.60984E-5,6.251399916,0.287509764,0.672642167,0,0
4.73391E-5,6.503487935,0.293980838,0.667264217,0,0
4.86008E-5,6.75290565,0.300500718,0.66208545,0,0
4.97975E-5,7.003757518,0.30662964,0.657006274,0,0
5.09191E-5,7.250436449,0.312324686,0.652126282,0,0
5.17644E-5,7.502163328,0.316586017,0.64724629,0,0
