x,y,species stddev
1.0,1.0,0.023469148
2.0,2.0,0.030787269
3.0,3.0,0.07436017
4.0,4.0,0.05927182
5.0,5.0,0.001051981
6.0,6.0,0.01817812
7.0,7.0,0.038859718
8.0,8.0,0.034428332
9.0,9.0,0.044888448
10.0,10.0,0.012929733
11.0,11.0,0.033777718
12.0,12.0,2.2349415E-4
13.0,13.0,0.011800171
14.0,14.0,0.019377347
15.0,15.0,0.010447621
16.0,16.0,0.009416338
17.0,17.0,0.03055998
18.0,18.0,0.052270878
19.0,19.0,0.01940873
20.0,20.0,0.0047458317
21.0,21.0,0.016451765
22.0,22.0,0.008448435
23.0,23.0,0.027302327
24.0,24.0,0.026063282
25.0,25.0,0.018008241
26.0,26.0,0.02763854
27.0,27.0,0.022965027
28.0,28.0,0.004379726
29.0,29.0,0.01182812
30.0,30.0,0.012410296
31.0,31.0,0.0046049664
32.0,32.0,0.0470215
33.0,33.0,0.0058677504
34.0,34.0,0.033126164
35.0,35.0,0.03263223
36.0,36.0,0.0013963697
37.0,37.0,0.08323256
38.0,38.0,0.017753469
39.0,39.0,0.025711508
40.0,40.0,0.030140087
41.0,41.0,9.106343E-6
42.0,42.0,0.045963503
43.0,43.0,0.0019609039
44.0,44.0,0.05956446
45.0,45.0,0.006716299
46.0,46.0,0.038208917
47.0,47.0,0.03916707
48.0,48.0,0.007647169
49.0,49.0,0.022901358
50.0,50.0,0.01858298
51.0,51.0,0.011050991
52.0,52.0,0.0026368587
53.0,53.0,0.02660798
54.0,54.0,0.032466568
55.0,55.0,0.027118886
56.0,56.0,0.0042412104
57.0,57.0,0.06176896
58.0,58.0,0.027571967
59.0,59.0,0.02667156
60.0,60.0,0.027114568
61.0,61.0,0.0063541783
62.0,62.0,0.012620718
63.0,63.0,0.031604104
64.0,64.0,0.016277092
65.0,65.0,0.016915515
66.0,66.0,0.030988976
67.0,67.0,0.018769745
68.0,68.0,0.016644707
69.0,69.0,0.007906536
70.0,70.0,0.041898567
71.0,71.0,0.038184077
72.0,72.0,6.5910017E-6
73.0,73.0,0.0045431573
74.0,74.0,0.029412482
75.0,75.0,0.026872499
76.0,76.0,0.032191735
77.0,77.0,1.1454862E-5
78.0,78.0,0.018673351
79.0,79.0,0.050341357
80.0,80.0,0.0065309675
81.0,81.0,0.0015015787
82.0,82.0,0.0366814
83.0,83.0,0.017299248
84.0,84.0,0.054751333
85.0,85.0,0.046996035
86.0,86.0,0.04420871
87.0,87.0,0.01891494
88.0,88.0,0.058059324
89.0,89.0,0.024088858
90.0,90.0,0.002757596
91.0,91.0,0.026983583
92.0,92.0,0.0067233187
93.0,93.0,0.035190996
94.0,94.0,0.007948036
95.0,95.0,0.012287401
96.0,96.0,0.05085294
97.0,97.0,0.034118395
98.0,98.0,0.049211122
99.0,99.0,0.010122838
100.0,100.0,0.019032372
101.0,101.0,0.048531078
102.0,102.0,0.018412067
103.0,103.0,0.025847366
104.0,104.0,0.021075126
105.0,105.0,0.007848136
106.0,106.0,0.03493599
107.0,107.0,0.032244273
108.0,108.0,2.9926034E-4
109.0,109.0,0.001780427
110.0,110.0,0.014612991
111.0,111.0,0.011546119
112.0,112.0,0.046177793
113.0,113.0,0.018536739
114.0,114.0,0.054581918
115.0,115.0,0.02844295
116.0,116.0,0.005803962
117.0,117.0,0.024563728
118.0,118.0,0.035730857
119.0,119.0,0.0041127726
120.0,120.0,0.049370762
121.0,121.0,0.022006338
122.0,122.0,0.043271802
123.0,123.0,0.038374506
124.0,124.0,0.011050948
125.0,125.0,0.013497538
126.0,126.0,3.8348298E-4
127.0,127.0,0.05255687
128.0,128.0,0.03472859
129.0,129.0,0.0025309396
130.0,130.0,0.020454641
131.0,131.0,0.00676441
132.0,132.0,0.019260094
133.0,133.0,0.051725682
134.0,134.0,0.002132842
135.0,135.0,0.013601813
136.0,136.0,0.0064956546
137.0,137.0,0.06021929
138.0,138.0,0.057577107
139.0,139.0,3.0768308E-5
140.0,140.0,0.033624966
141.0,141.0,0.00657065
142.0,142.0,0.036936287
143.0,143.0,0.018893654
144.0,144.0,0.045822795
145.0,145.0,0.018611088
146.0,146.0,0.07175081
147.0,147.0,0.014550122
148.0,148.0,3.2144383E-6
149.0,149.0,0.010138081
150.0,150.0,0.023692776
151.0,151.0,0.018346244
152.0,152.0,0.019053552
153.0,153.0,0.021257423
154.0,154.0,0.02642157
155.0,155.0,0.01960847
156.0,156.0,0.05393162
157.0,157.0,0.023571253
158.0,158.0,0.015801653
159.0,159.0,0.021843577
160.0,160.0,0.041846905
161.0,161.0,0.027182056
162.0,162.0,0.07333079
163.0,163.0,0.07232124
164.0,164.0,0.009307252
165.0,165.0,0.047178913
166.0,166.0,0.010704754
167.0,167.0,0.05411931
168.0,168.0,0.0066437013
169.0,169.0,0.007576105
170.0,170.0,0.028374428
171.0,171.0,0.029933345
172.0,172.0,0.013311217
173.0,173.0,0.023030244
174.0,174.0,2.885757E-6
175.0,175.0,0.012738255
176.0,176.0,0.008173935
177.0,177.0,0.010321844
178.0,178.0,0.012736729
179.0,179.0,0.045103267
180.0,180.0,0.009645443
181.0,181.0,0.04320133
182.0,182.0,0.01683609
183.0,183.0,0.019274147
184.0,184.0,0.0065757697
185.0,185.0,0.0066756187
186.0,186.0,0.002409738
187.0,187.0,0.06795018
188.0,188.0,0.020630343
189.0,189.0,0.047915313
190.0,190.0,0.043885645
191.0,191.0,0.0073253987
192.0,192.0,0.022068612
193.0,193.0,0.028427519
194.0,194.0,0.033305924
195.0,195.0,0.01625934
196.0,196.0,0.004839726
197.0,197.0,0.022047618
198.0,198.0,0.0068519693
199.0,199.0,0.026767312
200.0,200.0,0.07468424
201.0,201.0,0.022540487
202.0,202.0,0.021008836
203.0,203.0,0.05193208
204.0,204.0,0.019589512
205.0,205.0,0.0029942137
206.0,206.0,0.016888274
207.0,207.0,0.012039094
208.0,208.0,0.021454778
209.0,209.0,0.005305806
210.0,210.0,0.021275518
211.0,211.0,0.06243809
212.0,212.0,0.041727077
213.0,213.0,0.004023071
214.0,214.0,0.014133464
215.0,215.0,0.0049977447
216.0,216.0,0.058505118
217.0,217.0,0.0015994305
218.0,218.0,0.055478197
219.0,219.0,0.001561029
220.0,220.0,0.019865071
221.0,221.0,0.03197092
222.0,222.0,0.048742794
223.0,223.0,0.07909787
224.0,224.0,0.050438575
