Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,ppt11 contribution,tmean11 contribution,vpdmax11 contribution,vpdmin11 contribution,ppt11 permutation importance,tmean11 permutation importance,vpdmax11 permutation importance,vpdmin11 permutation importance,Training gain without ppt11,Training gain without tmean11,Training gain without vpdmax11,Training gain without vpdmin11,Training gain with only ppt11,Training gain with only tmean11,Training gain with only vpdmax11,Training gain with only vpdmin11,Test gain without ppt11,Test gain without tmean11,Test gain without vpdmax11,Test gain without vpdmin11,Test gain with only ppt11,Test gain with only tmean11,Test gain with only vpdmax11,Test gain with only vpdmin11,AUC without ppt11,AUC without tmean11,AUC without vpdmax11,AUC without vpdmin11,AUC with only ppt11,AUC with only tmean11,AUC with only vpdmax11,AUC with only vpdmin11,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity Cloglog threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity Cloglog threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
species_0,45,0.3324,0.5528,300,0.7927,6,0.8084,0.9039,0.0516,10045,12.3626,80.0116,6.7718,0.8540,16.8864,66.7015,14.4862,1.9260,0.3038,0.2097,0.3058,0.3283,0.1834,0.2744,0.0705,0.0025,0.7377,0.5131,0.7032,0.7652,0.4105,0.5982,0.0651,0.0362,0.8790,0.8335,0.9328,0.9016,0.7789,0.9162,0.6668,0.7606,8.8825,0.4408,1.0000,0.0984,0.8211,0.0000,0.0000,3.065E-1,5.0000,0.2672,0.6729,0.0000,0.0000,9.281E-2,10.0000,0.4072,0.5850,0.0000,0.0000,4.007E-2,12.1364,0.4509,0.5577,0.0000,0.0000,3.009E-2,19.2468,0.5292,0.4825,0.0889,0.0000,1.262E-2,40.3047,0.6359,0.3111,0.3111,0.1667,1.295E-2,12.1364,0.4509,0.5577,0.0000,0.0000,3.009E-2,63.4089,0.7258,0.1667,0.4667,0.1667,6.641E-4,75.6101,0.7669,0.1028,0.6222,0.1667,6.309E-5,4.5329,0.2493,0.6841,0.0000,0.0000,1.025E-1,3.3395,0.2062,0.7172,0.0000,0.0000,1.361E-1
species_1,46,0.3783,0.6296,380,0.8069,5,0.5994,0.7963,0.0578,10046,8.4695,81.4753,8.8169,1.2382,9.2003,72.4624,13.7827,4.5547,0.3520,0.2254,0.3444,0.3681,0.1845,0.3113,0.0668,0.0076,0.5187,0.5077,0.5432,0.5661,0.4305,0.4275,0.1596,0.0340,0.7584,0.8103,0.7784,0.7953,0.7785,0.7390,0.6515,0.5865,8.8368,0.4193,1.0000,0.0895,0.8073,0.0000,0.0000,3.429E-1,5.0000,0.2532,0.6570,0.0000,0.0000,1.224E-1,10.0000,0.3857,0.5685,0.0217,0.0000,5.937E-2,8.9117,0.3640,0.5843,0.0000,0.0000,6.811E-2,16.5007,0.4697,0.4895,0.0870,0.0000,2.812E-2,38.0512,0.6146,0.3011,0.3043,0.4000,1.646E-1,16.2711,0.4675,0.4921,0.0652,0.0000,2.887E-2,33.9184,0.5895,0.3319,0.2609,0.4000,2.077E-1,33.8980,0.5892,0.3320,0.2609,0.0000,4.032E-3,4.5960,0.2397,0.6668,0.0000,0.0000,1.319E-1,3.9043,0.2170,0.6851,0.0000,0.0000,1.51E-1
species_2,46,0.4004,0.6453,400,0.7985,5,0.3343,0.7082,0.0440,10046,11.8928,78.8664,6.9027,2.3381,8.8671,76.6410,9.1965,5.2954,0.3730,0.2624,0.3687,0.3888,0.2104,0.3309,0.0818,0.0113,0.2713,0.1551,0.2428,0.3090,0.1775,0.1837,0.0356,0.0013,0.6797,0.6571,0.6688,0.6965,0.6241,0.6363,0.5871,0.4708,8.8142,0.4084,1.0000,0.0866,0.8143,0.0000,0.0000,3.579E-1,5.0000,0.2385,0.6576,0.0000,0.0000,1.229E-1,10.0000,0.3576,0.5634,0.0217,0.0000,5.677E-2,7.6790,0.3134,0.6015,0.0000,0.0000,7.876E-2,13.3802,0.4051,0.5165,0.0870,0.0000,3.677E-2,35.5245,0.5980,0.3043,0.3043,0.6000,4.806E-1,20.7482,0.4786,0.4322,0.1304,0.0000,1.508E-2,27.1198,0.5342,0.3719,0.2609,0.4000,2.701E-1,25.7622,0.5240,0.3839,0.2174,0.0000,8.342E-3,4.8938,0.2350,0.6603,0.0000,0.0000,1.255E-1,4.5279,0.2214,0.6697,0.0000,0.0000,1.347E-1
species_3,46,0.3606,0.5928,360,0.7975,5,0.7217,0.8514,0.0572,10046,9.1917,80.8504,8.6812,1.2767,11.5791,69.8310,16.0052,2.5847,0.3312,0.2153,0.3213,0.3558,0.1837,0.2921,0.0611,0.0053,0.6646,0.5772,0.7182,0.6533,0.4388,0.5619,0.2061,0.0477,0.8414,0.8315,0.9034,0.8367,0.7881,0.8286,0.7076,0.6549,8.8541,0.4271,1.0000,0.0920,0.8141,0.0000,0.0000,3.575E-1,5.0000,0.2574,0.6648,0.0000,0.0000,1.299E-1,10.0000,0.3899,0.5756,0.0000,0.0000,6.316E-2,11.0414,0.4094,0.5614,0.0000,0.0000,5.577E-2,22.1409,0.5214,0.4401,0.0870,0.0000,1.651E-2,39.2082,0.6247,0.3009,0.3043,0.2000,3.113E-2,22.1409,0.5214,0.4401,0.0870,0.0000,1.651E-2,55.0924,0.7035,0.2000,0.4348,0.2000,6.717E-3,29.7360,0.5712,0.3733,0.2174,0.0000,7.248E-3,4.5366,0.2432,0.6761,0.0000,0.0000,1.413E-1,3.7576,0.2169,0.6970,0.0000,0.0000,1.645E-1
species_4,46,0.3978,0.6637,340,0.8167,5,0.3218,0.6931,0.0981,10046,10.4133,73.4289,15.2898,0.8681,11.3166,63.9651,22.9716,1.7467,0.3691,0.2580,0.3280,0.3944,0.1823,0.2957,0.1128,0.0070,0.2645,0.1672,0.6323,0.2687,0.4183,0.5500,-0.2469,0.0084,0.6696,0.6389,0.8347,0.6724,0.7750,0.8130,0.4235,0.4738,8.8168,0.4099,1.0000,0.0904,0.8048,0.0000,0.0000,3.376E-1,5.0000,0.2521,0.6589,0.0000,0.0000,1.242E-1,10.0000,0.3588,0.5668,0.0000,0.0000,5.85E-2,17.3082,0.4488,0.4725,0.0000,0.4000,4.486E-1,22.9671,0.5027,0.4136,0.0870,0.4000,3.412E-1,33.7650,0.5831,0.3211,0.3261,0.4000,1.921E-1,17.3082,0.4488,0.4725,0.0000,0.4000,4.486E-1,24.4232,0.5148,0.4000,0.1304,0.4000,3.174E-1,10.5197,0.3666,0.5590,0.0000,0.0000,5.46E-2,4.4125,0.2354,0.6730,0.0000,0.0000,1.381E-1,4.4727,0.2374,0.6715,0.0000,0.0000,1.365E-1
species_5,46,0.3881,0.6152,360,0.7964,5,0.4398,0.7513,0.0954,10046,26.9055,62.3314,7.9652,2.7978,21.1684,60.6264,11.6071,6.5981,0.3338,0.2795,0.3613,0.3740,0.2480,0.2922,0.0698,0.0112,0.6485,-0.0659,0.3332,0.4484,-0.1551,0.5840,0.0736,0.0063,0.8117,0.5800,0.7166,0.7476,0.5025,0.8409,0.7237,0.5512,8.8263,0.4144,1.0000,0.0876,0.8065,0.0000,0.0000,3.412E-1,5.0000,0.2473,0.6559,0.0000,0.0000,1.214E-1,10.0000,0.3668,0.5629,0.0217,0.2000,2.76E-1,5.7740,0.2665,0.6382,0.0000,0.0000,1.058E-1,14.4519,0.4394,0.5045,0.0870,0.2000,1.931E-1,37.0184,0.6124,0.3043,0.3043,0.4000,1.688E-1,32.0714,0.5851,0.3410,0.1522,0.4000,2.214E-1,24.8941,0.5382,0.4000,0.1522,0.4000,3.174E-1,69.7252,0.7644,0.1149,0.5870,0.4000,1.267E-2,4.5384,0.2374,0.6672,0.0000,0.0000,1.322E-1,4.1252,0.2238,0.6779,0.0000,0.0000,1.431E-1
species_6,46,0.3896,0.6276,280,0.7992,5,0.4355,0.7796,0.1050,10046,20.8240,68.9024,4.5671,5.7066,20.4100,63.7674,6.8512,8.9714,0.3400,0.2742,0.3697,0.3641,0.2324,0.2940,0.0548,0.0237,0.5624,0.0022,0.2707,0.5697,0.0228,0.5726,0.2248,-0.1427,0.8061,0.6376,0.7308,0.8239,0.6447,0.8305,0.7637,0.3487,8.8257,0.4145,1.0000,0.0884,0.8014,0.0000,0.0000,3.306E-1,5.0000,0.2469,0.6524,0.0000,0.2000,4.33E-1,10.0000,0.3725,0.5602,0.0435,0.2000,2.718E-1,6.8506,0.2966,0.6126,0.0000,0.2000,3.59E-1,14.2754,0.4482,0.5056,0.0870,0.2000,1.945E-1,37.7399,0.6160,0.3018,0.3043,0.2000,3.147E-2,22.7457,0.5307,0.4209,0.1087,0.2000,1.041E-1,51.5160,0.6824,0.2132,0.4565,0.2000,8.571E-3,51.5160,0.6824,0.2132,0.4565,0.2000,8.571E-3,4.5887,0.2372,0.6625,0.0000,0.2000,4.526E-1,4.0117,0.2204,0.6775,0.0000,0.0000,1.427E-1
species_7,46,0.4095,0.6469,280,0.8074,5,0.2045,0.6551,0.1065,10046,12.1901,79.0218,7.0815,1.7066,14.7471,69.1530,11.5006,4.5992,0.3737,0.2635,0.3834,0.3973,0.2270,0.3366,0.0635,0.0092,0.1831,0.1620,0.1112,0.2224,0.0670,0.0933,0.1791,0.0218,0.6448,0.6230,0.6421,0.6645,0.5946,0.6123,0.6805,0.5354,8.8061,0.4048,1.0000,0.0853,0.8102,0.0000,0.0000,3.491E-1,5.0000,0.2319,0.6535,0.0000,0.0000,1.192E-1,10.0000,0.3487,0.5561,0.0435,0.2000,2.655E-1,5.4708,0.2441,0.6419,0.0000,0.0000,1.09E-1,18.4898,0.4617,0.4484,0.0870,0.6000,7.414E-1,34.9525,0.5964,0.3043,0.3043,0.6000,4.806E-1,17.8924,0.4558,0.4549,0.0652,0.6000,7.511E-1,14.2108,0.4115,0.4979,0.0652,0.4000,4.961E-1,9.0133,0.3283,0.5720,0.0435,0.0000,6.122E-2,5.0658,0.2333,0.6519,0.0000,0.0000,1.177E-1,4.5824,0.2213,0.6643,0.0000,0.0000,1.294E-1
species_8,46,0.4444,0.7446,400,0.8339,5,-0.2192,0.5490,0.1009,10046,17.3886,72.6821,5.7416,4.1878,18.0361,65.3611,9.1753,7.4276,0.3769,0.2834,0.4176,0.4189,0.2421,0.3247,0.0540,0.0221,0.2403,-0.2346,-0.3285,-0.0877,-0.2353,0.2903,0.2421,-0.1278,0.6582,0.5093,0.5260,0.5769,0.4941,0.6633,0.7555,0.3117,8.7700,0.3903,1.0000,0.0799,0.7865,0.0000,0.0000,3.009E-1,5.0000,0.2277,0.6286,0.0000,0.2000,3.881E-1,10.0000,0.3509,0.5338,0.0435,0.4000,5.633E-1,6.3148,0.2626,0.5986,0.0000,0.2000,3.346E-1,26.8900,0.5448,0.3575,0.0870,0.8000,8.905E-1,40.1749,0.6276,0.2609,0.2609,0.8000,7.794E-1,30.4160,0.5689,0.3297,0.1087,0.8000,8.647E-1,12.4684,0.3934,0.5001,0.0435,0.6000,8.126E-1,2.6816,0.1567,0.6988,0.0000,0.0000,1.666E-1,4.9413,0.2256,0.6301,0.0000,0.2000,3.909E-1,4.5270,0.2122,0.6409,0.0000,0.2000,4.11E-1
species_9,46,0.3903,0.6242,520,0.7987,5,0.4225,0.7308,0.0783,10046,18.3387,71.1046,9.3360,1.2208,13.4276,67.0364,14.9049,4.6311,0.3550,0.2606,0.3566,0.3817,0.2271,0.3128,0.0800,0.0042,0.4132,0.0955,0.4008,0.4016,0.0618,0.3750,-0.0551,0.0508,0.7228,0.6512,0.7097,0.7133,0.5836,0.7324,0.6507,0.7009,8.8244,0.4132,1.0000,0.0861,0.8137,0.0000,0.0000,3.566E-1,5.0000,0.2438,0.6585,0.0000,0.0000,1.238E-1,10.0000,0.3665,0.5648,0.0217,0.0000,5.748E-2,7.1422,0.3006,0.6127,0.0000,0.0000,8.633E-2,14.1424,0.4291,0.5097,0.0870,0.2000,1.998E-1,35.3368,0.5922,0.3126,0.3043,0.4000,1.801E-1,21.2419,0.4981,0.4328,0.1087,0.2000,1.147E-1,28.1839,0.5506,0.3697,0.2391,0.4000,2.665E-1,13.3160,0.4184,0.5198,0.0652,0.0000,3.795E-2,4.7430,0.2370,0.6648,0.0000,0.0000,1.299E-1,4.2851,0.2238,0.6767,0.0000,0.0000,1.419E-1
