x,y,species cloglog values
1.0,1.0,0.0854667
2.0,2.0,0.05847469
3.0,3.0,0.76897985
4.0,4.0,0.1980022
5.0,5.0,0.8309894
6.0,6.0,0.4806287
7.0,7.0,0.263125
8.0,8.0,0.7997935
9.0,9.0,0.5888919
10.0,10.0,0.22220008
11.0,11.0,0.59803444
12.0,12.0,0.5683531
13.0,13.0,0.12482433
14.0,14.0,0.742303
15.0,15.0,0.06797752
16.0,16.0,0.29928157
17.0,17.0,0.81623876
18.0,18.0,0.32552177
19.0,19.0,0.630313
20.0,20.0,0.5063831
21.0,21.0,0.10943632
22.0,22.0,0.080757484
23.0,23.0,0.12120662
24.0,24.0,0.15491967
25.0,25.0,0.41181085
26.0,26.0,0.30398303
27.0,27.0,0.9550795
28.0,28.0,0.03297803
29.0,29.0,9.326821E-4
30.0,30.0,0.7561122
31.0,31.0,0.58518475
32.0,32.0,0.53884375
33.0,33.0,0.8696088
34.0,34.0,0.16284361
35.0,35.0,0.83900505
36.0,36.0,0.74509126
37.0,37.0,0.7578461
38.0,38.0,0.09491455
39.0,39.0,0.50865936
40.0,40.0,0.46789572
41.0,41.0,0.6112672
42.0,42.0,0.74331796
43.0,43.0,0.022599837
44.0,44.0,0.31946063
45.0,45.0,0.105916806
46.0,46.0,0.5331608
47.0,47.0,4.8669006E-4
48.0,48.0,0.4933811
49.0,49.0,0.30496067
50.0,50.0,0.5979427
51.0,51.0,0.4717797
52.0,52.0,0.3512404
53.0,53.0,0.81234545
54.0,54.0,0.7494306
55.0,55.0,0.8838229
56.0,56.0,0.26313415
57.0,57.0,0.63972825
58.0,58.0,0.085749365
59.0,59.0,0.5260331
60.0,60.0,0.5702825
61.0,61.0,0.75017774
62.0,62.0,0.44087592
63.0,63.0,0.34704357
64.0,64.0,0.3858646
65.0,65.0,0.37198028
66.0,66.0,2.8661882E-5
67.0,67.0,0.8321012
68.0,68.0,0.72098124
69.0,69.0,0.50703406
70.0,70.0,0.6155039
71.0,71.0,0.49038377
72.0,72.0,0.81763273
73.0,73.0,0.08454344
74.0,74.0,0.40844953
75.0,75.0,4.5852255E-4
76.0,76.0,0.07966892
77.0,77.0,0.5588704
78.0,78.0,0.115524225
79.0,79.0,0.03157501
80.0,80.0,7.963887E-5
81.0,81.0,0.21808188
82.0,82.0,0.8087739
83.0,83.0,0.59526527
84.0,84.0,0.5920528
85.0,85.0,0.7169261
86.0,86.0,0.38741425
87.0,87.0,0.38125563
88.0,88.0,0.69014704
89.0,89.0,0.33784375
90.0,90.0,0.3861581
91.0,91.0,0.3687986
92.0,92.0,0.64025
93.0,93.0,0.8043636
94.0,94.0,0.5307346
95.0,95.0,0.305145
96.0,96.0,0.09939332
97.0,97.0,0.4784736
98.0,98.0,0.6123968
99.0,99.0,0.65085703
100.0,100.0,0.55497926
101.0,101.0,0.07126452
102.0,102.0,0.7500544
103.0,103.0,0.7630316
104.0,104.0,0.19846714
105.0,105.0,0.4700801
106.0,106.0,0.041980732
107.0,107.0,0.06605107
108.0,108.0,0.26188242
109.0,109.0,0.023342587
110.0,110.0,0.2293005
111.0,111.0,0.7517512
