X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,2.9207065518952987E-4,98.89292932046843,0.8780761939732578
2.0,2.0,train,2.738773120235068E-4,97.28431042882197,0.8609993350123945
4.0,4.0,train,2.015516211414868E-4,75.39664060731438,0.7659387533788227
5.0,5.0,train,1.9850009326315883E-4,74.00897062474715,0.7607356586120849
7.0,7.0,train,8.372731271495698E-5,12.293699860840404,0.45297041528208404
8.0,8.0,train,9.894806844909946E-5,17.14771566714634,0.5097880406508252
9.0,9.0,train,1.5218996332754764E-4,47.25262008185065,0.6659696502679271
10.0,10.0,train,1.9090852963302176E-4,69.89822519433197,0.7472841019741725
12.0,12.0,train,1.089325807736293E-4,21.280466880625813,0.5438143738080132
13.0,13.0,train,8.575565705197372E-5,12.87624018548662,0.46090665616933335
15.0,15.0,train,2.8412182696249005E-4,98.223725696795,0.8708896659711824
16.0,16.0,train,1.3395617910768047E-4,36.45884245595188,0.6190738055356078
17.0,17.0,train,2.0764571420957425E-4,78.0967154265547,0.775993495584907
18.0,18.0,train,2.624430946229626E-4,95.46968757287291,0.8490631015898733
19.0,19.0,train,2.555407596459881E-4,94.009403454077,0.8413670658668206
20.0,20.0,train,2.8977776752795207E-4,98.63908468285311,0.8760452617113581
21.0,21.0,train,1.9626152961676205E-4,72.71438433458404,0.7568453294207207
23.0,23.0,train,2.0632313108626092E-4,77.5372711100469,0.7738486976566822
24.0,24.0,train,1.779925149143737E-4,62.46116285073379,0.72263748625675
25.0,25.0,train,1.636668674363036E-4,53.94738479029922,0.6924796822320974
26.0,26.0,train,2.1167007080061685E-4,79.54097856580178,0.782395381618878
27.0,27.0,train,1.5114876887341175E-4,46.68011678803156,0.6634544088137937
28.0,28.0,train,1.6022289892082914E-4,51.86704208616367,0.6847535123970028
29.0,29.0,train,1.16264612947704E-4,25.441805045612465,0.5672878339583592
30.0,30.0,train,1.1958763686171514E-4,27.452259671733742,0.5775249080784166
31.0,31.0,train,1.3368343926567993E-4,36.263997526533196,0.6183245186954973
32.0,32.0,train,1.3466487489135286E-4,36.96797740780704,0.6210139062593849
33.0,33.0,train,1.1570411009164675E-4,25.053355890789717,0.5655368343064153
34.0,34.0,train,1.1786008224669612E-4,26.287824756065664,0.5722335101277878
35.0,35.0,train,2.757247673172451E-4,97.54751594984842,0.8628372926946382
36.0,36.0,train,1.838737205551585E-4,65.80637975073113,0.7341448846680263
37.0,37.0,train,1.045661906538485E-4,19.251371999119883,0.5292347832595314
38.0,38.0,train,8.320294111817765E-5,12.155115656365195,0.45089978513556117
39.0,39.0,train,2.177607822328592E-4,81.69144829867041,0.7917381101162266
40.0,40.0,train,1.5048170148000063E-4,46.07871839425115,0.6618330109765737
41.0,41.0,train,1.698313259643849E-4,57.83341106239667,0.705839231770738
42.0,42.0,train,1.8750358969306502E-4,67.82727157594341,0.7410076823754983
43.0,43.0,train,1.293678436237907E-4,33.715804438357154,0.6062703762752104
44.0,44.0,train,2.251936465972608E-4,84.61847904588802,0.8025978846505095
45.0,45.0,train,1.975356819984573E-4,73.44316597437033,0.7590673288945788
46.0,46.0,train,2.3021485545016919E-4,86.21154252031933,0.8096117883459871
47.0,47.0,train,2.4953291968073734E-4,92.6893603824227,0.8343496532283206
49.0,49.0,train,2.499703544660979E-4,92.85204861613973,0.834870911982783
50.0,50.0,train,2.673249240336147E-4,96.2526722057272,0.8542797852184876
51.0,51.0,train,2.239956253308054E-4,84.17223062587283,0.8008865934045389
3.0,3.0,test,3.0145317464537E-4,99.34461788447977,0.8860459176725053
6.0,6.0,test,2.021492666867323E-4,75.59302512822643,0.7669444578877598
11.0,11.0,test,1.283178929101405E-4,33.04933818152896,0.6032805728904318
14.0,14.0,test,2.8790802182364393E-4,98.49503050274915,0.8743641129291115
22.0,22.0,test,2.097933569519017E-4,78.93464793615384,0.7794330234450606
48.0,48.0,test,2.633903014634286E-4,95.6096515136666,0.850089677453701
