Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.15254E-11,0.000000002,0.000000078,0.999900458,0,0
1.51563E-11,0.000000003,0.000000103,0.999800916,0,0
4.84308E-11,0.00000001,0.00000033,0.999601832,0,0
9.83008E-11,0.000000033,0.000000669,0.999303205,0,0
1.84742E-10,0.000000116,0.000001257,0.998705953,0,0
3.12701E-10,0.000000276,0.000002128,0.9981087,0,0
7.15927E-10,0.000001031,0.000004873,0.996516026,0,0
1.2273E-9,0.000002567,0.000008354,0.994923353,0,0
3.2109E-9,0.000010211,0.000021855,0.991240295,0,0
8.11011E-9,0.000025612,0.000055202,0.988453116,0,0
1.1804E-8,0.000050766,0.000080343,0.985765479,0,0
1.82218E-8,0.000100673,0.000124023,0.982281505,0,0
4.464E-8,0.000251131,0.000303806,0.977105316,0,0
8.30999E-8,0.0005041,0.000565478,0.972924547,0,0
1.39915E-7,0.001006014,0.000951906,0.96834561,0,0
3.1887E-7,0.002503336,0.002168106,0.961477205,0,0
5.77197E-7,0.005001574,0.003921112,0.955803305,0,0
9.51021E-7,0.010039248,0.006452429,0.94943261,0,0
1.61548E-6,0.025075676,0.010935876,0.938184352,0,0
2.50098E-6,0.050137074,0.016879388,0.926040215,0,0
3.6781E-6,0.100255849,0.024725042,0.910013936,0,0
5.33173E-6,0.200098875,0.035640961,0.88801513,0,0
6.71029E-6,0.30046691,0.044647698,0.871292057,0,0
7.90483E-6,0.40006719,0.052384063,0.85775433,0,0
9.08717E-6,0.500017607,0.059979768,0.846008362,0,0
9.99365E-6,0.600225522,0.065762001,0.83555644,0,0
1.08037E-5,0.701005399,0.070898894,0.825900856,0,0
1.1271E-5,0.75075,0.073849332,0.821421461,0,0
1.17078E-5,0.800205936,0.07659897,0.817141151,0,0
1.27847E-5,0.900305738,0.08334286,0.808978698,0,0
1.36055E-5,1.000843559,0.088449788,0.801413498,0,0
1.45056E-5,1.100676036,0.0940181,0.794346008,0,0
1.5406E-5,1.201072807,0.099553297,0.787676687,0,0
1.64029E-5,1.301068128,0.105642705,0.781405535,0,0
1.74838E-5,1.400782048,0.112198782,0.77553255,0,0
1.836E-5,1.500953831,0.117478204,0.769958192,0,0
2.03071E-5,1.750658301,0.129097295,0.757117261,0,0
2.24605E-5,2.000277545,0.141769502,0.745470834,0,0
2.46267E-5,2.251316136,0.1543307,0.734819829,0,0
2.66167E-5,2.500260115,0.165708572,0.725164244,0,0
2.86595E-5,2.75247395,0.177228712,0.716105913,0,0
3.01439E-5,3.002591447,0.185500607,0.707644834,0,0
3.18868E-5,3.250553836,0.195105774,0.699681465,0,0
