x,y,species avg
1.0,1.0,0.6629147
2.0,2.0,0.5701047
3.0,3.0,0.8728777
4.0,4.0,0.23646876
5.0,5.0,0.110006265
6.0,6.0,0.8510006
7.0,7.0,0.03088026
8.0,8.0,0.54781234
9.0,9.0,0.7940352
10.0,10.0,0.3139907
11.0,11.0,0.08639104
12.0,12.0,0.07051886
13.0,13.0,0.69962496
14.0,14.0,0.057576828
15.0,15.0,0.8294853
16.0,16.0,0.07704872
17.0,17.0,0.071158715
18.0,18.0,0.51221806
19.0,19.0,0.002980755
20.0,20.0,0.0052992846
21.0,21.0,0.22709034
22.0,22.0,0.038515154
23.0,23.0,0.78280616
24.0,24.0,0.39797506
25.0,25.0,0.77967876
26.0,26.0,0.1389468
27.0,27.0,0.5090729
28.0,28.0,0.43563092
29.0,29.0,0.39703068
30.0,30.0,0.6933652
31.0,31.0,0.22253571
32.0,32.0,0.30429575
33.0,33.0,0.0018187019
34.0,34.0,0.02511743
35.0,35.0,0.75407034
36.0,36.0,0.6555877
37.0,37.0,0.37586516
38.0,38.0,0.49914286
39.0,39.0,0.6209023
40.0,40.0,0.017914707
41.0,41.0,0.088898905
42.0,42.0,0.41221684
43.0,43.0,0.4663904
44.0,44.0,0.6343073
45.0,45.0,0.08983009
46.0,46.0,0.25386536
47.0,47.0,0.13630095
48.0,48.0,0.6833069
49.0,49.0,0.10218826
50.0,50.0,3.1474637E-4
51.0,51.0,0.02733996
52.0,52.0,0.5473014
53.0,53.0,0.62577915
54.0,54.0,0.08749203
55.0,55.0,0.2510989
56.0,56.0,0.48493716
57.0,57.0,0.6154622
58.0,58.0,0.68801796
59.0,59.0,0.3652192
60.0,60.0,0.60177314
61.0,61.0,0.6929946
62.0,62.0,0.09238821
63.0,63.0,0.49362698
64.0,64.0,0.13474447
65.0,65.0,0.62007314
66.0,66.0,0.05929382
67.0,67.0,0.55237365
68.0,68.0,0.7511781
69.0,69.0,0.058726024
70.0,70.0,0.19060285
71.0,71.0,0.3542887
72.0,72.0,0.6381272
73.0,73.0,0.40961152
74.0,74.0,0.07154745
75.0,75.0,0.61650854
76.0,76.0,0.59782666
77.0,77.0,0.5496288
78.0,78.0,0.33047044
79.0,79.0,0.82732356
80.0,80.0,0.23382834
81.0,81.0,0.77114934
82.0,82.0,0.26396066
83.0,83.0,0.036958586
84.0,84.0,0.0020199728
85.0,85.0,0.61048895
86.0,86.0,0.16024944
87.0,87.0,0.46961734
88.0,88.0,0.7704362
89.0,89.0,0.59687155
90.0,90.0,0.53671193
91.0,91.0,0.030806355
92.0,92.0,0.49201894
93.0,93.0,0.64046645
94.0,94.0,0.73241955
95.0,95.0,0.29746422
96.0,96.0,0.7471965
97.0,97.0,0.7742836
98.0,98.0,0.0011560143
99.0,99.0,0.41058946
100.0,100.0,0.583602
101.0,101.0,0.21799994
102.0,102.0,0.42938992
103.0,103.0,0.071533896
104.0,104.0,0.09655234
105.0,105.0,0.74186254
106.0,106.0,0.3419817
107.0,107.0,0.72184026
108.0,108.0,0.12383223
109.0,109.0,0.03882775
110.0,110.0,0.09777987
111.0,111.0,0.55090994
112.0,112.0,0.6986087
113.0,113.0,0.1755294
114.0,114.0,0.47585747
115.0,115.0,0.3187851
116.0,116.0,0.6724008
117.0,117.0,0.18164319
118.0,118.0,0.6931862
119.0,119.0,0.034800343
120.0,120.0,0.73856497
121.0,121.0,0.47631064
122.0,122.0,0.5203671
123.0,123.0,0.28548527
124.0,124.0,2.6517693E-5
125.0,125.0,0.053975333
126.0,126.0,0.0023386588
127.0,127.0,0.46032962
128.0,128.0,0.5903491
129.0,129.0,0.73343784
130.0,130.0,0.66010755
131.0,131.0,0.6788995
132.0,132.0,0.6093576
133.0,133.0,0.06416455
134.0,134.0,0.02131992
135.0,135.0,0.4237587
136.0,136.0,0.08597741
137.0,137.0,0.21607664
138.0,138.0,0.53298634
