x,y,species max
1.0,1.0,0.754568
2.0,2.0,0.612735
3.0,3.0,0.9228602
4.0,4.0,0.27294663
5.0,5.0,0.14400768
6.0,6.0,0.88804686
7.0,7.0,0.040456027
8.0,8.0,0.5828177
9.0,9.0,0.8735884
10.0,10.0,0.35400987
11.0,11.0,0.10903086
12.0,12.0,0.097053096
13.0,13.0,0.7490245
14.0,14.0,0.069896735
15.0,15.0,0.8904967
16.0,16.0,0.08787663
17.0,17.0,0.084992744
18.0,18.0,0.64958787
19.0,19.0,0.0057164975
20.0,20.0,0.009540721
21.0,21.0,0.26734576
22.0,22.0,0.051963907
23.0,23.0,0.8394258
24.0,24.0,0.50912136
25.0,25.0,0.8453373
26.0,26.0,0.17398265
27.0,27.0,0.5975353
28.0,28.0,0.5662175
29.0,29.0,0.49107623
30.0,30.0,0.7377006
31.0,31.0,0.25340262
32.0,32.0,0.38355902
33.0,33.0,0.0036246497
34.0,34.0,0.033203445
35.0,35.0,0.79303074
36.0,36.0,0.7414025
37.0,37.0,0.4318029
38.0,38.0,0.6066973
39.0,39.0,0.6684776
40.0,40.0,0.028927136
41.0,41.0,0.1100978
42.0,42.0,0.48276374
43.0,43.0,0.5396654
44.0,44.0,0.6981857
45.0,45.0,0.10332132
46.0,46.0,0.29714498
47.0,47.0,0.16799474
48.0,48.0,0.7537026
49.0,49.0,0.13662595
50.0,50.0,7.5269E-4
51.0,51.0,0.03725486
52.0,52.0,0.6036595
53.0,53.0,0.6946022
54.0,54.0,0.11895371
55.0,55.0,0.29785448
56.0,56.0,0.61344945
57.0,57.0,0.6558464
58.0,58.0,0.7446242
59.0,59.0,0.49381956
60.0,60.0,0.67966473
61.0,61.0,0.79080904
62.0,62.0,0.120408036
63.0,63.0,0.5598167
64.0,64.0,0.15059023
65.0,65.0,0.6593574
66.0,66.0,0.085615315
67.0,67.0,0.607429
68.0,68.0,0.7661098
69.0,69.0,0.076695144
70.0,70.0,0.25513342
71.0,71.0,0.39238134
72.0,72.0,0.6903419
73.0,73.0,0.5010512
74.0,74.0,0.09903062
75.0,75.0,0.65416455
76.0,76.0,0.68922615
77.0,77.0,0.6213744
78.0,78.0,0.3924166
79.0,79.0,0.8801981
80.0,80.0,0.29648644
81.0,81.0,0.8189232
82.0,82.0,0.3003779
83.0,83.0,0.051712744
84.0,84.0,0.0041117505
85.0,85.0,0.65587926
86.0,86.0,0.21691678
87.0,87.0,0.52999425
88.0,88.0,0.80605555
89.0,89.0,0.67394876
90.0,90.0,0.65761805
91.0,91.0,0.04298448
92.0,92.0,0.5718828
93.0,93.0,0.7010834
94.0,94.0,0.8073829
95.0,95.0,0.36394763
96.0,96.0,0.78651816
97.0,97.0,0.7955365
98.0,98.0,0.0023027945
99.0,99.0,0.5120822
100.0,100.0,0.6634688
101.0,101.0,0.2491765
102.0,102.0,0.5200046
103.0,103.0,0.09724503
104.0,104.0,0.11055578
105.0,105.0,0.8184329
106.0,106.0,0.41852382
107.0,107.0,0.7818541
108.0,108.0,0.16102599
109.0,109.0,0.060388606
110.0,110.0,0.11035042
111.0,111.0,0.653296
112.0,112.0,0.75733244
113.0,113.0,0.1960976
114.0,114.0,0.5814409
115.0,115.0,0.39515626
116.0,116.0,0.70938087
117.0,117.0,0.24352503
118.0,118.0,0.7942883
119.0,119.0,0.054431263
120.0,120.0,0.7900009
121.0,121.0,0.5727017
122.0,122.0,0.6276456
123.0,123.0,0.35442105
124.0,124.0,7.9760866E-5
125.0,125.0,0.06272563
126.0,126.0,0.004855221
127.0,127.0,0.56358784
128.0,128.0,0.66704535
129.0,129.0,0.77766216
130.0,130.0,0.6911371
131.0,131.0,0.7284267
132.0,132.0,0.6603195
133.0,133.0,0.085890695
134.0,134.0,0.033640582
135.0,135.0,0.45807964
136.0,136.0,0.1133687
137.0,137.0,0.26373684
138.0,138.0,0.6188934
139.0,139.0,0.09261921
140.0,140.0,0.83812284
141.0,141.0,0.1386465
142.0,142.0,0.62217623
143.0,143.0,0.0036632041
144.0,144.0,0.7347766
145.0,145.0,0.5880078
146.0,146.0,0.22914425
147.0,147.0,0.6456764
148.0,148.0,0.045040935
149.0,149.0,0.807678
150.0,150.0,0.25522768
151.0,151.0,0.5340157
152.0,152.0,0.8749415
153.0,153.0,0.71192414
154.0,154.0,0.8288906
155.0,155.0,0.68748945
156.0,156.0,0.25987294
157.0,157.0,0.06093585
158.0,158.0,0.90237886
159.0,159.0,0.2160109
160.0,160.0,0.61474544
161.0,161.0,0.08142923
162.0,162.0,0.1102616
163.0,163.0,0.043030523
164.0,164.0,0.6878671
165.0,165.0,0.598559
166.0,166.0,0.5484191
167.0,167.0,0.47482428
168.0,168.0,0.20332368
169.0,169.0,0.83408636
170.0,170.0,0.8084024
171.0,171.0,0.6021956
172.0,172.0,0.8169963
173.0,173.0,0.76633525
174.0,174.0,0.8198787
175.0,175.0,0.88955957
176.0,176.0,0.026639977
177.0,177.0,0.65069795
178.0,178.0,0.305313
179.0,179.0,0.17903824
180.0,180.0,0.6134524
181.0,181.0,0.91953397
182.0,182.0,0.5660316
183.0,183.0,0.5137038
184.0,184.0,0.5249153
185.0,185.0,0.17477122
186.0,186.0,0.4546659
187.0,187.0,0.64198136
188.0,188.0,0.86532867
189.0,189.0,0.21696456
190.0,190.0,0.095030345
191.0,191.0,0.5964378
192.0,192.0,0.6709537
193.0,193.0,0.85706174
194.0,194.0,0.6635701
195.0,195.0,0.6808873
196.0,196.0,0.7677376
197.0,197.0,0.82816756
198.0,198.0,0.5415202
199.0,199.0,0.16855448
200.0,200.0,0.13406706
201.0,201.0,0.15674946
202.0,202.0,0.8853578
203.0,203.0,0.8677407
204.0,204.0,0.6077553
205.0,205.0,0.5873158
206.0,206.0,0.55670875
207.0,207.0,0.7753227
208.0,208.0,0.5718078
209.0,209.0,0.6139315
210.0,210.0,0.66628194
211.0,211.0,0.12498387
212.0,212.0,0.1684298
213.0,213.0,0.1269072
214.0,214.0,0.44094995
215.0,215.0,0.7701982
216.0,216.0,0.15414664
217.0,217.0,0.049122136
218.0,218.0,0.002206904
219.0,219.0,0.73847586
220.0,220.0,0.66221446
221.0,221.0,0.83071387
222.0,222.0,0.6385862
223.0,223.0,0.793884
224.0,224.0,0.9125273
225.0,225.0,0.11147257
226.0,226.0,0.2711647
227.0,227.0,0.08892215
228.0,228.0,0.17398176
229.0,229.0,0.819613
230.0,230.0,0.5073256
231.0,231.0,0.058102526
232.0,232.0,0.77097374
233.0,233.0,0.20497347
234.0,234.0,0.027490012
235.0,235.0,0.622065
236.0,236.0,0.91507536
237.0,237.0,0.6270941
238.0,238.0,0.37196058
239.0,239.0,0.46274087
240.0,240.0,0.8248925
241.0,241.0,0.5322006
242.0,242.0,0.81056273
243.0,243.0,0.76791316
244.0,244.0,0.066474065
245.0,245.0,0.6111823
246.0,246.0,0.41358134
247.0,247.0,0.5784482
248.0,248.0,0.79392236
249.0,249.0,0.7159147
250.0,250.0,0.25905272
251.0,251.0,0.51033956
252.0,252.0,7.1174945E-5
253.0,253.0,3.5572454E-4
254.0,254.0,0.032111645
255.0,255.0,0.4669477
256.0,256.0,0.08211471
257.0,257.0,0.4897704
258.0,258.0,0.61738664
259.0,259.0,0.2390873
260.0,260.0,0.32975888
261.0,261.0,0.7165612
262.0,262.0,0.21938092
263.0,263.0,0.08393605
264.0,264.0,0.5629962
265.0,265.0,0.48840186
266.0,266.0,0.13229108
267.0,267.0,0.10263264
268.0,268.0,0.42636555
269.0,269.0,0.5981785
270.0,270.0,0.24644841
271.0,271.0,0.43048084
272.0,272.0,0.53750056
273.0,273.0,0.7455929
274.0,274.0,0.69627
275.0,275.0,0.665885
276.0,276.0,0.27325356
277.0,277.0,0.5248319
278.0,278.0,0.53720176
279.0,279.0,0.038498994
280.0,280.0,0.60928136
281.0,281.0,0.64316833
282.0,282.0,0.73286027
283.0,283.0,0.21897022
284.0,284.0,0.8249537
285.0,285.0,0.061374903
286.0,286.0,0.07587794
287.0,287.0,0.20686793
288.0,288.0,0.09773211
289.0,289.0,0.8817604
290.0,290.0,0.4772215
291.0,291.0,0.028809214
292.0,292.0,0.24832098
293.0,293.0,0.035785303
294.0,294.0,0.60221833
295.0,295.0,0.07990803
296.0,296.0,0.75845915
297.0,297.0,0.012312188
