X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,4.6991100564097135E-4,99.99724252469004,0.9623612654913021
2.0,2.0,train,4.0706561763291244E-4,99.69583186766825,0.941638285607168
3.0,3.0,train,4.706096201641319E-4,99.99999850157872,0.9625443432623216
4.0,4.0,train,2.1003228277929659E-4,69.29083986426241,0.7691322770016257
5.0,5.0,train,2.5169604753394654E-4,84.18616101845278,0.8273865592375272
6.0,6.0,train,2.7322017967712785E-4,89.25461769982219,0.8514639056822915
7.0,7.0,train,8.390077225513356E-5,15.71949785498343,0.44321798007391044
8.0,8.0,train,1.0211272996965268E-4,22.420770245855252,0.5096770178310795
9.0,9.0,train,1.49606256278381E-4,43.96887833545635,0.6480160753292266
10.0,10.0,train,1.8340244146467842E-4,58.138093565045764,0.7219762244068493
12.0,12.0,train,8.08093158864758E-5,14.661983928746858,0.43107393348333534
13.0,13.0,train,6.562911820151179E-5,10.542088021979175,0.36748751475704744
14.0,14.0,train,3.6623193283063865E-4,99.06410472597635,0.9223930591937501
15.0,15.0,train,4.0647364995406217E-4,99.68884574807934,0.9413966589340368
16.0,16.0,train,1.3913453195283255E-4,39.193638871990316,0.6213272371799632
17.0,17.0,train,2.1518495343818397E-4,71.1346837432157,0.7772874117600252
18.0,18.0,train,2.9905932460935026E-4,94.01832730158405,0.8759747838416222
19.0,19.0,train,2.680126210779711E-4,88.25030416176678,0.8459659169483467
22.0,22.0,train,2.0314659013077218E-4,66.41821074256255,0.7577662221109992
23.0,23.0,train,2.7174549310184543E-4,89.02807531014516,0.8499272024863956
26.0,26.0,train,1.7738592607065875E-4,55.942745062708454,0.7100528637113221
27.0,27.0,train,1.6804645706371764E-4,52.05949587982093,0.6905232404924886
28.0,28.0,train,1.6784972367241027E-4,51.97842478808464,0.6900980087482156
29.0,29.0,train,1.3237063912600164E-4,35.906510761664755,0.6030220733380054
30.0,30.0,train,1.2855508603799732E-4,34.01076984117312,0.5923083411085577
31.0,31.0,train,1.4249029383188398E-4,40.72289683212888,0.6300932197815149
32.0,32.0,train,1.3040691387832887E-4,34.950536026707766,0.5975437456685336
33.0,33.0,train,1.3006164709123693E-4,34.80527179455967,0.5965727479117847
35.0,35.0,train,1.875346754902694E-4,60.03025762971781,0.7298801087049397
36.0,36.0,train,1.2249278297890887E-4,31.36248953365144,0.5746881317480882
37.0,37.0,train,6.92820953388167E-5,11.389008379295221,0.38341007286525264
38.0,38.0,train,5.577088295870358E-5,8.322853235820467,0.3224353006247498
40.0,40.0,train,1.0515327867399556E-4,23.59094123100211,0.5199727103544007
42.0,42.0,train,1.1484688941538403E-4,27.937588666931212,0.5513752199860795
43.0,43.0,train,7.94693836103747E-5,14.182522329746574,0.4257283836243999
45.0,45.0,train,1.9473290991361232E-4,62.70360169270947,0.7431156030505766
46.0,46.0,train,2.40022237952935E-4,80.57026132141304,0.8127337411135748
48.0,48.0,train,2.8957739850648753E-4,92.38580476104731,0.8674892790807768
49.0,49.0,train,3.5247217399078185E-4,98.63664852812666,0.9145704165651998
50.0,50.0,train,3.3780692838044783E-4,98.06571573768595,0.9053630645969681
51.0,51.0,train,2.568289540990956E-4,85.77514656704719,0.8334609577511748
21.0,21.0,test,1.964003248494224E-4,63.47412572351254,0.7460878038299513
24.0,24.0,test,1.7314755856053969E-4,54.210472306228745,0.701347675411358
39.0,39.0,test,1.2699244017758032E-4,33.1720664167465,0.587837551802699
41.0,41.0,test,1.2020068797351761E-4,30.44363344987696,0.5678294612825165
34.0,34.0,test,8.235453843526746E-5,15.191553433814867,0.4371767237432773
47.0,47.0,test,2.596670187134879E-4,86.2791919721604,0.8367273288238558
11.0,11.0,test,9.636439064829115E-5,20.196976389233345,0.4896051800312343
44.0,44.0,test,2.3739562549290012E-4,79.77345813194097,0.809269055843603
20.0,20.0,test,3.4569046400953176E-4,98.39393923124204,0.9104295851230509
25.0,25.0,test,1.2711974763343853E-4,33.221542166371925,0.5882036104688046
